gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test,C1_vs_C2,C1_vs_C3,C2_vs_C3
KMT2E,10.1667251667252,0.00233644106751796,0.0199233160920636,0.553841590838233,0.494963082806792,0.132284448211745,0.928571428571429,-0.165628004084736,0.667269282273712,0.201189258493786,0.636363636363636,0.505057141644331,0.312795239372206,0.0943113132006372,1,0.71946959492297,-0.71946959492297,0.830804879865109,0.830804879865109,0.0487844491939028,-0.0487844491939028,0.585516280828739,0.585516280828739,-0.670685145729067,0.670685145729067,0.736945830329469,0.736945830329469,limma_multi(mod_F),TRUE,FALSE,TRUE
MYCBP2,21.9566514566515,4.47066775816304e-07,3.8922406210575e-05,0.243307651358158,0.416000748866147,0.111180876778465,0.714285714285714,-0.688117224679214,0.713070079857793,0.214998718556097,0.272727272727273,0.897237135897007,0.547955987324709,0.165214946507709,0.909090909090909,0.931424876037372,-0.931424876037372,0.825545614636523,0.825545614636523,-0.653929484538848,0.653929484538848,0.687977025126706,0.687977025126706,-1.58535436057622,1.58535436057622,0.899291222482126,0.899291222482126,limma_multi(mod_F),TRUE,TRUE,TRUE
ITGAL,25.8990873990874,7.43619941233802e-12,7.14253858235296e-08,-0.568172533808474,0.523748887949634,0.13997777824367,0.142857142857143,-1.32575354082026,0.508458393137206,0.153305973776648,0,1.20136459640003,0.662241793460067,0.199673413581734,1,0.757581007011785,-0.757581007011785,0.72996084496372,0.72996084496372,-1.7695371302085,1.7695371302085,0.844320490473661,0.844320490473661,-2.52711813722029,2.52711813722029,0.834921631386369,0.834921631386369,limma_multi(mod_F),TRUE,TRUE,TRUE
OSBPL7,11.1486486486486,0.000583674943948741,0.0075432053232618,0.164424764939149,0.381569366133408,0.101978702668551,0.571428571428571,-0.361326829661465,0.754701767671655,0.227551144725896,0.272727272727273,0.653619024493836,0.525204440061704,0.158355096901216,0.818181818181818,0.525751594600614,-0.525751594600614,0.845677207507789,0.845677207507789,-0.489194259554688,0.489194259554688,0.649180163769642,0.649180163769642,-1.0149458541553,1.0149458541553,0.919464225507033,0.919464225507033,limma_multi(mod_F),TRUE,TRUE,TRUE
YBX2,8.92839592839593,0.00481281496311309,0.0331985371241019,-0.951202891747118,1.0857331388165,0.290174387065573,0.142857142857143,0.38884484494315,0.723049673382828,0.218007679218169,0.727272727272727,-0.408721395476425,0.974014903859328,0.293676543301407,0.363636363636364,-1.34004773669027,1.34004773669027,1.30446053175378,1.30446053175378,-0.542481496270694,0.542481496270694,1.45860257838262,1.45860257838262,0.797566240419574,-0.797566240419574,1.21305641382382,1.21305641382382,limma_multi(mod_F),TRUE,TRUE,TRUE
MAP3K14,19.8208728208728,6.84848299996576e-06,0.000288212002588252,0.408307698565971,0.459180272586142,0.122721089913058,0.857142857142857,-0.201117077901069,0.522028128194036,0.157397402839197,0.454545454545455,1.03186071493961,0.510534461450044,0.153931931925087,1,0.60942477646704,-0.60942477646704,0.695240885850403,0.695240885850403,-0.623553016373636,0.623553016373636,0.686652720857036,0.686652720857036,-1.23297779284068,1.23297779284068,0.730177240780521,0.730177240780521,limma_multi(mod_F),TRUE,TRUE,TRUE
TMEM132A,10.8808938808939,0.00248389901081225,0.0207787139077675,-0.22962051671773,0.774108139484771,0.206889102733216,0.5,0.564557553762805,0.610617499769502,0.184108103378215,0.909090909090909,-0.553319452529305,0.77542351893188,0.233798987810372,0.272727272727273,-0.794178070480535,0.794178070480535,0.985949868219136,0.985949868219136,0.323698935811576,-0.323698935811576,1.09568473811096,1.09568473811096,1.11787700629211,-1.11787700629211,0.986982960712827,0.986982960712827,limma_multi(mod_F),TRUE,TRUE,TRUE
CACNA1G,13.4357669357669,0.00084167541886293,0.00966693005508368,0.461688899159434,0.551714951228747,0.147452023047048,0.714285714285714,-0.26244479657959,0.756769048566858,0.228174453368228,0.272727272727273,0.716835891551838,0.371963650516326,0.112151260401231,1,0.724133695739024,-0.724133695739024,0.936530181189121,0.936530181189121,-0.255146992392404,0.255146992392404,0.665391873045328,0.665391873045328,-0.979280688131428,0.979280688131428,0.843241572845065,0.843241572845065,limma_multi(mod_F),TRUE,TRUE,TRUE
GGCT,11.4818064818065,0.000711508711247695,0.00865915280602244,-0.318209909630817,0.519300862504317,0.138788993439097,0.285714285714286,0.443828812082439,0.625102388837789,0.188475461757254,0.818181818181818,-0.400247529102898,0.422217286163771,0.127303301655213,0.272727272727273,-0.762038721713256,0.762038721713256,0.812666218276875,0.812666218276875,0.0820376194720818,-0.0820376194720818,0.669283813141501,0.669283813141501,0.844076341185338,-0.844076341185338,0.754334430651425,0.754334430651425,limma_multi(mod_F),TRUE,FALSE,TRUE
CCDC124,14.7691002691003,7.8041391381515e-05,0.00175857474558883,-0.101697954873673,0.30253537163953,0.0808559791468176,0.5,0.576206526495111,0.500029865451816,0.150764677061415,0.909090909090909,-0.233479448452061,0.449910820140973,0.135653216320789,0.363636363636364,-0.677904481368785,0.677904481368785,0.584429223633478,0.584429223633478,0.131781493578388,-0.131781493578388,0.542169159186495,0.542169159186495,0.809685974947173,-0.809685974947173,0.672643748520481,0.672643748520481,limma_multi(mod_F),TRUE,FALSE,TRUE
