gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test
MAD1L1,10.3221013221013,0.00859344710730707,0.0503609326875868,-0.154794148315136,0.356911110050115,0.0953885065243356,0.357142857142857,0.323107811108142,0.353388190754811,0.106550548552386,0.818181818181818,0.423261179943381,0.678768393766737,0.204656371061498,0.818181818181818,-0.477901959423278,0.477901959423278,0.502263629822192,0.502263629822192,-0.578055328258517,0.578055328258517,0.766884654204191,0.766884654204191,-0.100153368835239,0.100153368835239,0.765251426487815,0.765251426487815,limma_multi(mod_F)
LASP1,2.55007605007604,0.279608088307815,0.52035439094301,-0.0440049752939674,0.6278499367925,0.167799953841801,0.5,-0.00947070056781546,0.48127747768149,0.145110619410741,0.272727272727273,0.298735903178746,0.570114469759802,0.171895980340517,0.636363636363636,-0.034534274726152,0.034534274726152,0.791090104636509,0.791090104636509,-0.342740878472714,0.342740878472714,0.848071961427712,0.848071961427712,-0.308206603746562,0.308206603746562,0.74609551610565,0.74609551610565,limma_multi(mod_F)
SNX11,2.62185562185562,0.230948176994775,0.464531244771009,0.0778767132686958,0.453692258840624,0.121254356543798,0.714285714285714,-0.0596239928693278,0.482211773029884,0.145392320057468,0.454545454545455,0.278676543957071,0.453609229052232,0.136768328564421,0.636363636363636,0.137500706138024,-0.137500706138024,0.662091277529415,0.662091277529415,-0.200799830688375,0.200799830688375,0.641559037356086,0.641559037356086,-0.338300536826398,0.338300536826398,0.662034384854733,0.662034384854733,limma_multi(mod_F)
TMEM176A,6.62168012168011,0.0108716849472904,0.0598027474635661,0.253578436119575,0.618350669883126,0.165261167970344,0.642857142857143,-0.586198583569062,1.52020986991553,0.45836052191862,0.272727272727273,0.823534011472714,0.939718858473011,0.283335896543279,0.818181818181818,0.839777019688637,-0.839777019688637,1.64115678700529,1.64115678700529,-0.569955575353139,0.569955575353139,1.12491292281435,1.12491292281435,-1.40973259504178,1.40973259504178,1.78720720163008,1.78720720163008,limma_multi(mod_F)
M6PR,1.492862992863,0.284358152380516,0.525129283498795,-0.0388036190466182,0.498090544154522,0.133120297415573,0.5,0.0288540716323992,0.519809945770477,0.156728595674151,0.636363636363636,0.278971741201261,0.521067260587113,0.157107690355072,0.727272727272727,-0.0676576906790174,0.0676576906790174,0.719928169957291,0.719928169957291,-0.317775360247879,0.317775360247879,0.720836514219352,0.720836514219352,-0.250117669568861,0.250117669568861,0.736011867959794,0.736011867959794,limma_multi(mod_F)
KLHL13,3.16222066222065,0.035230026337465,0.137114696480117,0.676916686831615,0.782508642963468,0.209134231725622,0.714285714285714,-0.566087666783613,1.980478894414,0.597136854362648,0.636363636363636,0.65722817659397,0.842619882274792,0.254059453672629,0.909090909090909,1.24300435361523,-1.24300435361523,2.12946388265494,2.12946388265494,0.0196885102376457,-0.0196885102376457,1.14992523335968,1.14992523335968,-1.22331584337758,1.22331584337758,2.15227900543217,2.15227900543217,limma_multi(mod_F)
CYP26B1,8.71504621504622,0.00708157210939828,0.0437679636419603,0.397888023844897,0.493073584646044,0.131779458586713,0.785714285714286,-0.470853062229843,1.16057650367577,0.349926982108643,0.272727272727273,0.616623150973176,0.742781315649852,0.223956993208827,0.818181818181818,0.86874108607474,-0.86874108607474,1.26097556707495,1.26097556707495,-0.218735127128279,0.218735127128279,0.891541161559142,0.891541161559142,-1.08747621320302,1.08747621320302,1.37791941120038,1.37791941120038,limma_multi(mod_F)
ICA1,7.42102492102492,0.0143959743048108,0.0732470496374642,-0.279767372060892,0.642736175131296,0.171778468387632,0.5,0.465005699253371,0.95816155238184,0.288896577981366,0.727272727272727,-0.513892706319206,0.7857549190076,0.236914022138573,0.0909090909090909,-0.744773071314263,0.744773071314263,1.15376919324672,1.15376919324672,0.234125334258314,-0.234125334258314,1.01514559722586,1.01514559722586,0.978898405572577,-0.978898405572577,1.23914662296575,1.23914662296575,limma_multi(mod_F)
DBNDD1,13.4165204165204,0.00072890648560679,0.00882401013310168,-0.487210395166921,0.724519035605209,0.19363585724504,0.285714285714286,0.601352549945835,0.713446950446339,0.215112349313981,0.818181818181818,-0.855967209822469,1.10932446169274,0.334473910017983,0.363636363636364,-1.08856294511276,1.08856294511276,1.01682564093137,1.01682564093137,0.368756814655549,-0.368756814655549,1.32496361997762,1.32496361997762,1.4573197597683,-1.4573197597683,1.3189417395818,1.3189417395818,limma_multi(mod_F)
ALS2,2.13232713232712,0.598622610371453,0.780180601907721,0.318933479037317,0.346188405997896,0.0925227433226802,0.857142857142857,0.312374513431512,0.38678788789088,0.116620936144373,0.727272727272727,0.187124829598688,0.302279856758804,0.0911408060501208,0.818181818181818,0.00655896560580538,-0.00655896560580538,0.519086970233748,0.519086970233748,0.13180864943863,-0.13180864943863,0.459586253329543,0.459586253329543,0.125249683832824,-0.125249683832824,0.490895082498502,0.490895082498502,limma_multi(mod_F)
