gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test,Dys-CIM_(C2)_vs_C1_Fun-CIM,Dys-CIM_(C2)_vs_C3_Fun-CIM
YBX2,8.92839592839593,0.00481281496311309,0.0331985371241019,-0.951202891747118,1.0857331388165,0.290174387065573,0.142857142857143,0.38884484494315,0.723049673382828,0.218007679218169,0.727272727272727,-0.408721395476425,0.974014903859328,0.293676543301407,0.363636363636364,-1.34004773669027,1.34004773669027,1.30446053175378,1.30446053175378,-0.542481496270694,0.542481496270694,1.45860257838262,1.45860257838262,0.797566240419574,-0.797566240419574,1.21305641382382,1.21305641382382,limma_multi(mod_F),TRUE,TRUE
TMEM132A,10.8808938808939,0.00248389901081225,0.0207787139077675,-0.22962051671773,0.774108139484771,0.206889102733216,0.5,0.564557553762805,0.610617499769502,0.184108103378215,0.909090909090909,-0.553319452529305,0.77542351893188,0.233798987810372,0.272727272727273,-0.794178070480535,0.794178070480535,0.985949868219136,0.985949868219136,0.323698935811576,-0.323698935811576,1.09568473811096,1.09568473811096,1.11787700629211,-1.11787700629211,0.986982960712827,0.986982960712827,limma_multi(mod_F),TRUE,TRUE
GGCT,11.4818064818065,0.000711508711247695,0.00865915280602244,-0.318209909630817,0.519300862504317,0.138788993439097,0.285714285714286,0.443828812082439,0.625102388837789,0.188475461757254,0.818181818181818,-0.400247529102898,0.422217286163771,0.127303301655213,0.272727272727273,-0.762038721713256,0.762038721713256,0.812666218276875,0.812666218276875,0.0820376194720818,-0.0820376194720818,0.669283813141501,0.669283813141501,0.844076341185338,-0.844076341185338,0.754334430651425,0.754334430651425,limma_multi(mod_F),TRUE,TRUE
CCDC124,14.7691002691003,7.8041391381515e-05,0.00175857474558883,-0.101697954873673,0.30253537163953,0.0808559791468176,0.5,0.576206526495111,0.500029865451816,0.150764677061415,0.909090909090909,-0.233479448452061,0.449910820140973,0.135653216320789,0.363636363636364,-0.677904481368785,0.677904481368785,0.584429223633478,0.584429223633478,0.131781493578388,-0.131781493578388,0.542169159186495,0.542169159186495,0.809685974947173,-0.809685974947173,0.672643748520481,0.672643748520481,limma_multi(mod_F),TRUE,TRUE
TRAPPC6A,8.71223821223821,0.0055616469910365,0.0367284173044026,-0.184734481991756,0.618720212654035,0.165359932430237,0.357142857142857,0.387762227435271,0.499363129676762,0.150563648661401,0.818181818181818,-0.257459691423583,0.220853695518038,0.0665898946906118,0.0909090909090909,-0.572496709427027,0.572496709427027,0.795096369522101,0.795096369522101,0.0727252094318277,-0.0727252094318277,0.656955901389605,0.656955901389605,0.645221918858854,-0.645221918858854,0.546021876946836,0.546021876946836,limma_multi(mod_F),TRUE,TRUE
RPUSD1,14.4124254124254,7.67305720749378e-05,0.0017371813216417,-0.138357176789926,0.390883085418507,0.10446789885151,0.285714285714286,0.548291082977954,0.399460026762131,0.12044172977412,0.818181818181818,-0.178125385715235,0.389032751727942,0.117297788058279,0.454545454545455,-0.68664825976788,0.68664825976788,0.558889881324662,0.558889881324662,0.0397682089253096,-0.0397682089253096,0.551485329254828,0.551485329254828,0.726416468693189,-0.726416468693189,0.557597341186108,0.557597341186108,limma_multi(mod_F),TRUE,TRUE
PSMB1,11.9142389142389,0.0011667320493316,0.0122093730909407,-0.0713594453013699,0.296712568901154,0.0792997696555482,0.357142857142857,0.414904040563532,0.316532887534902,0.0954382565237303,0.909090909090909,-0.056039472219756,0.373586388236362,0.112640534233096,0.454545454545455,-0.486263485864902,0.486263485864902,0.433856447958429,0.433856447958429,-0.0153199730816139,0.0153199730816139,0.477079802569143,0.477079802569143,0.470943512783288,-0.470943512783288,0.489652793688214,0.489652793688214,limma_multi(mod_F),TRUE,TRUE
PLEKHG6,12.2989352989353,0.000823291648485934,0.00952299514235561,0.136529930766272,0.528759980588995,0.141317049085804,0.571428571428571,0.883331247837943,0.576763005089549,0.173900589167261,0.909090909090909,-0.22236532978182,0.81697051865523,0.246325879560131,0.272727272727273,-0.746801317071671,0.746801317071671,0.782459379848182,0.782459379848182,0.358895260548092,-0.358895260548092,0.973153608339542,0.973153608339542,1.10569657761976,-1.10569657761976,1.00004819503448,1.00004819503448,limma_multi(mod_F),TRUE,TRUE
UQCRC1,11.8731133731134,0.00122846131884287,0.0126284390969095,-0.0843720550017529,0.493923880442979,0.132006709697394,0.428571428571429,0.505353019890891,0.393829212019542,0.118743975250013,0.909090909090909,-0.196873752168002,0.438774849259359,0.132295594767095,0.272727272727273,-0.589725074892644,0.589725074892644,0.63171373889744,0.63171373889744,0.112501697166249,-0.112501697166249,0.6606694847005,0.6606694847005,0.702226772058893,-0.702226772058893,0.589597164666272,0.589597164666272,limma_multi(mod_F),TRUE,TRUE
ANLN,8.62378612378612,0.00427671678153577,0.0306601898441785,-0.905786808993857,1.10902746798692,0.296400058409176,0.142857142857143,0.376293305456187,1.1814486563427,0.356220172923479,0.636363636363636,-1.33311346947752,1.28692381695313,0.388022130418686,0.0909090909090909,-1.28208011445004,1.28208011445004,1.62042057883854,1.62042057883854,0.427326660483667,-0.427326660483667,1.69885692022333,1.69885692022333,1.70940677493371,-1.70940677493371,1.74699566061716,1.74699566061716,limma_multi(mod_F),TRUE,TRUE
