gene,endpoint,n_patients,n_events,coefficient,hazard_ratio,conf_low,conf_high,p_value,ph_p_value,model_status,warning_text,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj,fdr_all_genes,fdr_within_signature,association_direction,fdr_supported,nominal_p_below_0_05,expected_survival_direction,observed_survival_direction,direction_concordant
VHL,RFS,20,6,0.8680410383184816,2.3822395635578975,0.9518937743571599,5.9618683208775565,0.06364946041227895,0.8462160170672272,converged,NA,Fun-CIM,0.342,0.00408987466916216,0.0122120201389067,0.21230822268149802,0.4905554841774928,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
UPK1A-AS1,RFS,20,6,-1.197592297034995,0.3019202718268206,0.08482356027495776,1.0746524932989987,0.06448437226589429,0.9871296606452857,converged,NA,Dys-CIM,-0.338,0.00477528955621676,0.032835381245134,0.21460978724896504,0.08499251688816231,Higher change associated with lower relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Beneficial,FALSE
SLC47A1,RFS,20,6,1.0599287461911142,2.886165331668146,0.9350782040220246,8.908292681717665,0.06529508885491182,0.11646337569950242,converged,NA,Fun-CIM,0.397,0.0017253070141414,0.00628462348793775,0.21634021408419915,0.4928978793982223,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
LDLRAD3,RFS,20,6,1.1729808169240858,3.231611137084434,0.9278011818667683,11.255978915995609,0.06543600525607708,0.06725879284045223,converged,NA,Dys-CIM,-0.343,0.00580696131695322,0.0380745092534253,0.21634021408419915,0.08596494808151303,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
ZNF154,RFS,20,6,-0.9917326366348429,0.3709334410546779,0.12914113759754958,1.0654360047644105,0.06544254956767132,0.2680676445217386,converged,NA,Fun-CIM,0.512,2.49035532884212e-7,1.42593292290802e-5,0.21634021408419915,0.4928978793982223,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
LRGUK,RFS,20,6,-1.0318542651320572,0.3563455883794572,0.11880599150922144,1.0688196507972032,0.06559142521724384,0.3308356937718787,converged,NA,Fun-CIM,0.387,0.00206554875171845,0.00720540554037366,0.21634944487024083,0.4928978793982223,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
CCDC81,RFS,20,6,-0.8120053489145489,0.4439668644666083,0.1866665396817255,1.055928808025193,0.06623094653771766,0.6883440857335004,converged,NA,Fun-CIM,0.369,0.00297255031437356,0.0095120843611868,0.21751140008378303,0.4928978793982223,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
MYO1H,RFS,20,6,-0.8500091270922511,0.4274110309110159,0.17256043809662472,1.0586446775368414,0.06623743513692515,0.2593717840512217,converged,NA,Fun-CIM,0.419,5.4853793377283e-4,0.00265098879847664,0.21751140008378303,0.4928978793982223,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
FXYD1,RFS,20,6,-1.0416030210562306,0.3528885405507093,0.11574292177678881,1.0759217076977485,0.06705491066262528,0.32409469691236836,converged,NA,Fun-CIM,0.407,8.1384678753575e-4,0.00354525038953932,0.2193306752385758,0.49549603388762137,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
TOP1MT,RFS,20,6,0.7762653394733093,2.173340401465704,0.9468297705055563,4.988656512269422,0.06708764070430441,0.537417369631106,converged,NA,Dys-CIM,-0.472,4.2104084813368e-4,0.0053563597750486,0.2193306752385758,0.08784765981475691,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
