"","gene_id","NEO11 _Patient_11_T1_B_Rep1","NEO11 _Patient_11_T4_S_Rep1","NEO15 _Patient_15_T1_B_Rep1","NEO15 _Patient_15_T4_S_Rep1","NEO16 _Patient_16_T1_B_Rep1","NEO16 _Patient_16_T4_S_Rep1","NEO18 _Patient_18_T1_B_Rep1","NEO18 _Patient_18_T4_S_Rep1","NEO19 _Patient_19_T1_B_Rep1","NEO19 _Patient_19_T4_S_Rep1","NEO21 _Patient_21_T1_B_Rep1","NEO21 _Patient_21_T4_S_Rep1","NEO22 _Patient_22_T1_B_Rep1","NEO22 _Patient_22_T4_S_Rep1","NEO27 _Patient_27_T1_B_Rep1","NEO27 _Patient_27_T4_S_Rep1","NEO3 _Patient_3_T1_B_Rep1","NEO3 _Patient_3_T4_S_Rep1","NEO33 _Patient_33_T1_B_Rep1","NEO33 _Patient_33_T4_S_Rep1","NEO34 _Patient_34_T1_B_Rep1","NEO34 _Patient_34_T4_S_Rep1","NEO42 _Patient_42_T1_B_Rep1","NEO42 _Patient_42_T4_S_Rep1","NEO43 _Patient_43_T1_B_Rep1","NEO43 _Patient_43_T4_S_Rep1","NEO45 _Patient_45_T1_B_Rep1","NEO45 _Patient_45_T4_S_Rep1","NEO46 _Patient_46_T1_B_Rep1","NEO46 _Patient_46_T4_S_Rep1","NEO47 _Patient_47_T1_B_Rep1","NEO47 _Patient_47_T4_S_Rep1","NEO49 _Patient_49_T1_B_Rep1","NEO49 _Patient_49_T4_S_Rep1","NEO51 _Patient_51_T1_B_Rep1","NEO51 _Patient_51_T4_S_Rep1","NEO8 _Patient_8_T1_B_Rep1","NEO8 _Patient_8_T4_S_Rep1"
"22383","KRTAP5-9",0.599222563159831,0.0802346836499703,1.24000896473507,0,0.280362489973778,0.433279970557258,0,0.0929245472467038,0.301353518877764,0.214249170254514,0.277984747299765,0.381172604716798,0.279174108489047,0.367371065648529,0.433279970557258,0,0.280006078301305,0.265436896049098,0.678793072356292,0.958360149915368,1.70796645477598,0.665756582679399,2.00432160595009,0.990156166627392,0.563743877483891,0,0.204015477399888,0.1598874787305,0,0.489953901331306,0,0.903809558578697,0.323081789503733,0.337197281340801,0.490262048790572,0,0,1.19723635491871
"22384","KRTAP5-10",0.334225008414431,0,0.170437868508108,0,0,0,0,0.0940738842380603,0,0.571919463245557,0.0999280332435367,0.268075022534324,0,0.371503105204436,0,0,0.100722042744906,0,0.745108226125735,0.614191558525291,1.1807843910787,0.841490127613366,0.636636220055135,0.378178655208042,0.403594950641665,0.234133395612482,0.547351112455646,0,0,0.184597684155761,0.301821736339363,0.324349788902188,0.32676742469588,0.180657107560076,0.268913415757555,0.154453592679872,0.149519521490029,0.13842131042025
"22385","KRTAP5-11",0,0,0,0,0,0,0,0.107567360751366,0,0.246468895028775,0,0.555030801182208,0,0,0,0,0,0,0,0.165944087770598,0,0,0,0,0.455018096969725,0.139076515046112,0,0,0,0,0,0,0,0,0,0,0,0
"22386","LOC105379409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166972472410695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22387","FAM86C1P",2.11902410314227,1.12167855658825,1.87970576628229,1.84559040884785,3.21723071622067,2.89665935755021,2.46571331959596,2.31063095723059,2.25459404303314,3.12300395405482,1.59979385212224,1.76595900604575,1.59550366050274,2.8108543624115,2.89665935755021,1.98039095606147,1.71369581484336,2.45496547363471,2.59884157813329,3.29983076182237,2.70043971814109,2.56559717585422,3.15849861030451,3.71369581484336,2.88401173758352,1.80529245560071,2.15445359267987,3.06333036080695,2.298071734934,3.77610398807316,1.7497487788645,2.2025744425618,2.26423615104355,1.34027740476625,2.25670876758438,2.58784500925428,2.24305970607253,2.04334450487717
"22388","ALG1L9P",0.306962124140456,0.0251138649095724,0.383054501449792,0.359521170427595,0.610416597148905,0.403376806687082,0.11652445579062,0.407950917238573,0.439889047619779,0.623585972399712,0.30929262305752,0.282854909322555,0.297837035886644,0.439463567990981,0.403376806687082,0.288299494657331,0.233029057445185,0.520145626880826,0.577054131873994,1.34709867062227,0.7206286976902,0.505890929729957,0.742006210866736,1.20288783347014,0.666302128173095,0.400975043673087,0.457226545544628,0.324119326435102,0.249870046822498,0.902266569083071,0.0983387020508543,0.297719672043513,0.206768235468322,0.216237552053823,0.128530970750595,0.424922088210688,0.179383654356298,0.31521841136579
"22389","ZNF705EP",0,0,0.0603933122271387,0,0,0,0,0,0,0,0,0.0493519591352915,0,0,0,0,0,0.0972736789614021,0.0328766563142074,0.100789311604038,0.0384221339242214,0.0478733733915305,0,0.0950602315596322,0,0,0,0.057235368268652,0,0,0,0,0,0.064137864504641,0,0.0545290001238022,0,0
"22390","DEFB108B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22391","XNDC1N",3.8094144442359,2.30129498100914,3.611172380044,2.95847151623916,3.30786563928161,3.70376517879341,3.48542682717024,3.80219321694183,2.89297381527333,3.67355642399014,3.42371261905429,3.72465027173297,2.96772196496736,3.95233356636969,3.70376517879341,3.09794783553483,3.62993940943954,2.72027846523333,4.42693561964834,4.68929916053589,4.38681094647222,3.66220549965362,4.49569516262407,4.45220004940622,4.45811948117451,2.65786862339084,4.18903382439002,3.51096191927738,2.51172103270762,4.43162295971329,3.35191096110308,3.9136075118231,4.40053792958373,4.51475349843975,3.37364821133469,4.03913839390696,4.08321336824898,4.19140472885276
"22392","DEFB131B",0,0.399444564589458,0,0,0,0,0,0.455333796677223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917469946679193,0,0,0,0,0,0,0.429749850800216,0,0,0,0.698040631202383,0,0
