"","gene_id","NEO11 _Patient_11_T1_B_Rep1","NEO11 _Patient_11_T4_S_Rep1","NEO15 _Patient_15_T1_B_Rep1","NEO15 _Patient_15_T4_S_Rep1","NEO16 _Patient_16_T1_B_Rep1","NEO16 _Patient_16_T4_S_Rep1","NEO18 _Patient_18_T1_B_Rep1","NEO18 _Patient_18_T4_S_Rep1","NEO19 _Patient_19_T1_B_Rep1","NEO19 _Patient_19_T4_S_Rep1","NEO21 _Patient_21_T1_B_Rep1","NEO21 _Patient_21_T4_S_Rep1","NEO22 _Patient_22_T1_B_Rep1","NEO22 _Patient_22_T4_S_Rep1","NEO27 _Patient_27_T1_B_Rep1","NEO27 _Patient_27_T4_S_Rep1","NEO3 _Patient_3_T1_B_Rep1","NEO3 _Patient_3_T4_S_Rep1","NEO33 _Patient_33_T1_B_Rep1","NEO33 _Patient_33_T4_S_Rep1","NEO34 _Patient_34_T1_B_Rep1","NEO34 _Patient_34_T4_S_Rep1","NEO42 _Patient_42_T1_B_Rep1","NEO42 _Patient_42_T4_S_Rep1","NEO43 _Patient_43_T1_B_Rep1","NEO43 _Patient_43_T4_S_Rep1","NEO45 _Patient_45_T1_B_Rep1","NEO45 _Patient_45_T4_S_Rep1","NEO46 _Patient_46_T1_B_Rep1","NEO46 _Patient_46_T4_S_Rep1","NEO47 _Patient_47_T1_B_Rep1","NEO47 _Patient_47_T4_S_Rep1","NEO49 _Patient_49_T1_B_Rep1","NEO49 _Patient_49_T4_S_Rep1","NEO51 _Patient_51_T1_B_Rep1","NEO51 _Patient_51_T4_S_Rep1","NEO8 _Patient_8_T1_B_Rep1","NEO8 _Patient_8_T4_S_Rep1"
"34290","PCAT19",0,0,0,0,0,0.0399,0.04681,0,0.2381,0,0.0242,0.06888,0.07293,0,0.0399,0.02735,0.07318,0.06903,0.1369,0,0,0.1002,0,0.2359,0,0,0,0,0,0.09212,0,0.04252,0,0.02249,0,0.03812,0.03684,0.06795
"34291","LINC01480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34292","CEACAM21",0.1118,0.1572,0.5017,0.09338,0.2794,0.1521,0.575,0.1059,0.03362,0.2549,0.06149,0.1021,0.1081,0.1259,0.1521,0.08109,0.08266,0.4678,0.1932,0.1062,0.01131,0.08487,0.1585,0.2569,0.1845,0.1888,0.5274,0.3393,0.6018,0.09754,1.014,0.5673,0.3633,0.2001,0.08786,0.7912,0.4525,0.1151
"34293","LOC105372404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34294","CEACAM4",0.09168,0.0611,1.984,0,0.1146,0.2495,0.244,0.1422,0.1654,0.114,0,0.07179,0.266,0.1377,0.2495,0.1425,0.1017,0.4317,0.1664,0.03732,0.02784,0.06961,0.6826,0.3161,0.454,0.03097,1.298,0.4174,0.6033,0.288,0.3273,0.5539,0.4917,0.09378,1.045,0.3576,0.8063,0.1062
"34295","LOC105372405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34296","CEACAM7",0.06382,0,0,0,0,0.1158,0.1359,0,0,0,0.1053,0.1999,0,0.5272,0.1158,0.3175,0.1416,0,0.0331,0.1559,0.07752,0.04846,0.3395,0,0,0.04312,0,0,0,0,0,0,0,0,0,0,0,0
"34297","CEACAM5",0.2184,0,0.5462,0.03128,0,0.5151,10.93,0.5193,2.995,0,0.04806,0.2052,0,2.329,0.5152,3.993,0.1454,0,21.79,9.423,43.13,19.04,49.39,0.06694,6.273,0.1771,0,0.07955,0,0,0,0,0,0,0.103,0.07572,0.1463,0.1687
"34298","CEACAM6",4.007,0.02618,6.802,0.7596,0,0.1604,133.8,3.99,11.06,0.733,2.334,3.507,1.466,58.59,0.1604,19.57,0.1961,0,14.15,8.012,57.83,80.32,97.47,0.3612,2.043,4.897,0.9038,1.073,0,1.173,0.1578,0.883,1.954,0.09042,0.1853,0.7662,4.541,0.865
"34299","LOC112268252",0,0,0,0,0,0,0.04635,0,0,0,0,0,0,0,0,0,0,0,0.06774,0,0.02644,0.03306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34300","CEACAM3",0.3654,1.136,5.887,0.1308,0.07611,0,0.8751,0.4722,2.802,0,0.1005,0.07154,0,0.1372,0,0.2272,0.2533,0.5735,0.1421,0.1487,0,0.1387,0.6802,0.42,0,0,5.496,0.08318,1.53,0.287,1.305,0.1325,0.6235,0.3271,0.2154,0.3959,2.219,0
"34301","LYPD4",0,0,0,0,0,0,0,0.01527,0,0,0,0.02314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34302","DMRTC2",0,0,0,0,0,0,0.1261,0,0,0,0,0,0.04911,0,0,0.03683,0,0,0,0.1446,0,0,0,0,0.22,0.1601,0,0,0,0,0,0,0,0,0,0,0,0
"34303","RPS19",1229,730.2,790.1,1280,1183,701.3,1123,1067,1783,2243,951.7,1056,1620,898.7,701.3,1452,643.3,665.7,660.7,481,483.7,685.1,626.3,1357,1692,1162,607.3,798.9,905.7,564.8,1495,1381,1910,1442,1122,1454,1359,1003
"34304","MIR6797",0,0.9436,6.129,0,0,0,2.261,1.098,0,0,1.169,1.663,0,0,0,0,1.178,0,1.101,0,0,0,0,1.627,0,1.435,0,1.934,0,0,0,0,0,2.173,1.669,0,0,0
"34305","CD79A",18.78,21.45,50.59,15.54,17.27,1.136,20,23.66,9.291,25.27,7.808,5.884,4.038,6.27,1.136,95.27,1.235,9.827,18.91,32.06,1.437,7.818,7.993,36.04,3.79,110.4,7.223,39.53,39.95,5.537,381.6,64.9,171.8,3.203,3.937,97.09,15.85,16.66
"34306","ARHGEF1",4.476,0.4557,17.22,0.868,2.68,6.514,6.898,4.193,5.132,5.045,2.001,2.154,2.203,1.506,6.514,2.001,2.741,9.585,10.57,15.75,7.248,4.708,20.09,3.93,18.18,3.717,16.78,13.03,6.024,14.79,17.81,15.3,10.05,1.264,3.372,11.28,6.014,3.926
"34307","ERFL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34308","LOC100505585",0.2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34309","RABAC1",197.6,170.6,250.1,261.9,115.2,266.6,199,107.7,157.5,161,244.9,146.3,166.9,268.3,266.6,244.1,143.2,76.8,177.3,119.5,181.3,313,293.9,255.6,174.4,221.8,327.9,157.3,251.8,235.7,214.9,178.7,270.2,62.36,238.8,171.8,222.5,265.1
"34310","ATP1A3",0.04172,0,0.1605,0.1494,1.877,0.3028,0.4885,0.02157,0.07529,0.2076,0.04591,0,0.1384,0.09401,0.3028,0,0.04629,2.619,0.238,0.1698,0.152,0.1584,0.3551,0.1279,5.889,0.08457,0.2461,0.228,0.2496,0.0437,1.155,0.4235,0.4068,0.06402,0.06559,1.302,0.2097,0.1934
