Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
NEO42 _Patient_42_T4_S_Rep1,0.00721686144482084,0.0494650842163398,0,0.112339630574589,0.00796343674390564,0.16414420507438,0.0600072692095005,0,0,0.00736502228473374,0,0.05454176990494,0,0.0690152929671193,0.159391099221571,0.226128267493871,0.0326627343051257,0,0,0.0343872192477992,0,0.0153721073113045,0,0.767890785268038,0.713224435873448
NEO43 _Patient_43_T1_B_Rep1,0,0.0198079686655091,0.0250743086408454,0.194328192087508,0.172636217311739,0,0.0125803443753956,0.122886190718464,0,0.0909330936549891,0.024707644012556,0,0.0373002165354209,0.00791168136505195,0.0203591036447174,0.0583477026233888,0.148271399204839,0.00829421019849731,0.00668184205485521,0.0108892434905511,0.0352357104582384,0.00375493095743502,0,0.39662035905946,0.919438233722955
NEO43 _Patient_43_T4_S_Rep1,0,0.0503191379505535,0.0143668404486463,0.117621996418493,0,0.103625209867278,0.0130370316855821,0.0335778947331457,0,0.0791466666270359,0,0.0961791482071277,0,0.0223427463430258,0.101607968412404,0.296210620924,0.0210236923622675,0,0.0253478784038069,0.000239603033165687,0,0.0253535645834673,0,0.46872018249396,0.882708535016162
NEO45 _Patient_45_T1_B_Rep1,0,0.0103078257623665,0.00177585224184038,0.0555645879304833,0,0.114640012634375,0,0,0.00179736047147875,0,0,0.0718720806397329,0.0129902170495213,0.342275525653623,0.0706148580233515,0.180601616507033,0,0,0,0.122254391262437,0,0.0153056718237571,0,0.750473329335565,0.699118593618972
NEO45 _Patient_45_T4_S_Rep1,0,0.0251761434826682,0.0100408727466559,0.140495032490934,0,0.231509597884888,0.0522788167526127,0,0,0,0,0.0586764023167751,0.00175345550595221,0.0404978453612214,0.123697582374835,0.24440273243268,0,0.0429683571408561,0.0164572999151142,0,0,0.0120458615948079,0,0.742133792270774,0.728686452175676
NEO46 _Patient_46_T1_B_Rep1,0,0.0306309024089448,0.00494581119994837,0.150497777368659,0,0.277031701823371,0,0,0,0,0,0.0214716803276381,0,0.0175768580919786,0.0411923260822307,0.389302609680166,0.0194667438879983,0,0.0273681565285525,0,0,0.0205154326005129,0,0.55060526165109,0.840711704827676
NEO46 _Patient_46_T4_S_Rep1,0,0.0118537362345935,0.00128265794493011,0.0424610353423122,0,0.124080491568588,0,0.00160754788636675,0,0,0,0.0547770309535546,0,0.428745012272493,0.0972721646655966,0.148058033480597,0,0.000846432635192339,0,0.0708206688286042,0,0.0181951881871715,0,0.721580722522668,0.712449651480046
NEO47 _Patient_47_T1_B_Rep1,0,0.190002279719758,0,0.204950226140561,0,0.06529430525757,0.0317555398106774,0,0,0.157405364202218,0,0.0966374889495177,0,0.00977741525905678,0.0453761594634799,0.148910747972521,0.0291300788810548,0,0,0.015586103964534,0,0.00517429037905139,0,0.735251625006667,0.714518643782056
NEO47 _Patient_47_T4_S_Rep1,0,0.0652005799499049,0,0.144043284224833,0,0.19515548059537,0.024481999930365,0,0,0.091133575285628,0,0.0705679354604062,0.00170131092896778,0.0170035189025905,0.103493347147168,0.2126764466817,0.00896293503735952,0.00526028931859279,0.0526823735882911,0,0,0.007636922948823,0,0.65540808712217,0.779758058833768
NEO49 _Patient_49_T1_B_Rep1,0,0.0821604900474308,0,0.162463048249505,0,0,0.0461813453200226,0,0,0.0575722226030513,0,0.112393870935182,0,0.115412121793522,0.123267347254273,0.237354572795357,0.0325634456354921,0,0.00430114928966589,0.00879920608244421,0,0.0175311799940543,0,0.753793252119059,0.715111565681121
NEO49 _Patient_49_T4_S_Rep1,0,0.0300036186815831,0.00324303560892709,0.0717746731991768,0,0.0494010453492805,0.0292260241726069,0.018096804520112,0,0.0471432339481608,0,0.114465487179123,0,0,0.122377557130156,0.316899674999425,0.0665288797988358,0.00189441529967083,0,0.0990367489479533,0.00298357756320558,0.0269252236017838,0,0.688308600583199,0.757061580033318
NEO51 _Patient_51_T1_B_Rep1,0.0061583766524642,0.018648950964176,0.000783354671529766,0.125507255290965,0,0.115751628958338,0.0671344950299009,0,0,0.0162748057720832,0,0.0329638039341289,0,0.0501532409760674,0.10797192362709,0.355980317168999,0.0145535157854293,0,0.011157956892811,0.0502446020687491,0,0.026715772207267,0.001,0.348430282945413,0.940583062260392
NEO51 _Patient_51_T4_S_Rep1,0,0.0589906854025286,0,0.229629186458518,0.00483744721730237,0.0211483703450857,0.0943363798051708,0,0,0.0270620544648001,0,0.0882859982203585,0,0.123344120019635,0.072447269532281,0.182322836789514,0.0209141504854652,0,0.0751100084355787,0,0,0.00157149282376261,0,0.704609603680391,0.759073002076043
NEO8 _Patient_8_T1_B_Rep1,0,0.0361130294521048,0.00250144854490633,0.139316307709444,0,0.226318702981853,0,0,0,0.0103959686148638,0.0036790864338761,0.0637858461752214,0.043287766350459,0,0.0594410649519691,0.212853484419623,0.0379381378039697,0,0.108006074696692,0.0435790003895302,0,0.0127840814754877,0,0.650778695144993,0.793551368617358
NEO8 _Patient_8_T4_S_Rep1,0,0.088004266684693,0.00124707035386821,0.0925891317526144,0,0.165851881479707,0.0465320249362053,0,0,0.0189280649753752,0.0158707887721553,0.0238294572672794,0,0.0243341479490812,0.0817066301610928,0.207506479479231,0.0233614675781003,0,0.193967390478573,0,0,0.0162711981320241,0,0.71194376064955,0.772315041625234
