gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd
FLJ20021,29,0.102566334702875,0.417763098390662,-0.527839035033922,0.772677601806052,0.257559200602017,0.131062848535757,0.888154683193078,0.280859171343539,0.222222222222222,0.4,limma_2grp(mod_t),-0.658901883569679,0.658901883569679,1.17722105724055,1.17722105724055
FLJ25758,47.5,0.679171073646513,1,-0.0177940805287098,0.151519294458303,0.050506431486101,0.0182324924647782,0.214166489906523,0.0677253906588074,0.111111111111111,0.2,limma_2grp(mod_t),-0.036026572993488,0.036026572993488,0.262345920479093,0.262345920479093
FLJ30679,31.5,0.256633748102715,0.729744592419951,-0.0302363346137244,0.124259138609684,0.0414197128698948,0.0397885596657826,0.135875858671197,0.0429677192432122,0.222222222222222,0.4,limma_2grp(mod_t),-0.070024894279507,0.070024894279507,0.184126539362624,0.184126539362624
FLJ32255,30.5,0.1605671385529,0.55583817991489,-0.0248114324649179,0.0726164333205532,0.0242054777735177,0.0254839566375827,0.0770932986458217,0.0243790416056371,0.111111111111111,0.3,limma_2grp(mod_t),-0.0502953891025006,0.0502953891025006,0.105908087907828,0.105908087907828
FLJ33534,40.5,0.354936214670526,0.764460721255485,0,0,0,0.0134812356351758,0.0426314102805823,0.0134812356351758,0,0.1,limma_2grp(mod_t),-0.0134812356351758,0.0134812356351758,0.0426314102805823,0.0426314102805823
FLJ36000,28,0.234947413073201,0.688838034246521,-0.0889695178121286,0.265807707305451,0.088602569101817,0.0162826818132009,0.0572969669430431,0.0181188918559391,0.333333333333333,0.4,limma_2grp(mod_t),-0.10525219962533,0.10525219962533,0.271913000211193,0.271913000211193
FLJ37201,45,1,1,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,0,0,0
FLJ38576,45,1,1,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,0,0,0
FLJ39095,50,0.302530198456175,0.744952101064093,0.00746339900188494,0.0223901970056548,0.00746339900188495,0,0,0,0.111111111111111,0,limma_2grp(mod_t),0.00746339900188494,-0.00746339900188494,0.0223901970056548,0.0223901970056548
FLJ40194,45,0.647044021399816,1,0,0,0,0.041637939104431,0.268608209763697,0.084941374107356,0,0.1,limma_2grp(mod_t),-0.041637939104431,0.041637939104431,0.268608209763697,0.268608209763697
FLJ40288,45,1,1,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,0,0,0
FLJ42393,22,0.0264726547006272,0.166333368323124,-1.26327426755072,0.763537806021079,0.254512602007026,-0.0784552001124485,1.27861424855009,0.404333327416292,0.111111111111111,0.4,limma_2grp(mod_t),-1.18481906743827,1.18481906743827,1.48924288744946,1.48924288744946
FLJ42627,17,0.0189541401896034,0.132154181329166,-0.605804769098155,0.73303111025537,0.244343703418457,0.272488739174195,0.749393319759481,0.236978975375483,0.222222222222222,0.7,limma_2grp(mod_t),-0.87829350827235,0.87829350827235,1.04829621591531,1.04829621591531
FLJ42969,32.5,0.212243464410025,0.646364186415955,-0.00238369558242682,0.0480709207753548,0.0160236402584516,0.0328163519480905,0.067951438818891,0.0214881316953277,0.111111111111111,0.4,limma_2grp(mod_t),-0.0352000475305173,0.0352000475305173,0.0832358784524313,0.0832358784524313
FLJ43315,40,0.302529930486457,0.744952101064093,-0.010030090692996,0.030090272078988,0.010030090692996,0,0,0,0,0,limma_2grp(mod_t),-0.010030090692996,0.010030090692996,0.030090272078988,0.030090272078988
FLJ44635,21,0.0192064009627653,0.133160694900058,-0.0267935242555892,0.0428002838273464,0.0142667612757821,0.026345146991848,0.0468462731262462,0.0148140922969275,0,0.5,limma_2grp(mod_t),-0.0531386712474372,0.0531386712474372,0.0634542165779412,0.0634542165779412
FLJ45513,24,0.0743148344761747,0.337552419253943,-0.198352976259299,0.449269630379182,0.149756543459727,0.0903579978414769,0.170930159352816,0.0540528624370432,0.222222222222222,0.5,limma_2grp(mod_t),-0.288710974100776,0.288710974100776,0.48068734137423,0.48068734137423
FLJ46284,45,1,1,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,0,0,0
FLJ46875,40.5,0.354938817097524,0.764460721255485,0,0,0,0.00298698200598121,0.00944566646883931,0.00298698200598121,0,0.1,limma_2grp(mod_t),-0.00298698200598121,0.00298698200598121,0.00944566646883931,0.00944566646883931
FLNA,4,0.000161921524175824,0.00712748774975988,-1.74852882323157,1.00496007208671,0.334986690695571,0.546226092737957,1.08022709872269,0.341597802219927,0,0.6,limma_2grp(mod_t),-2.29475491596953,2.29475491596953,1.47541022475221,1.47541022475221
FLNB,26,0.118170917293148,0.457809008254573,-0.23926399852352,0.383907509268151,0.12796916975605,0.11672333287356,0.540685781493969,0.170979856798906,0.444444444444444,0.7,limma_2grp(mod_t),-0.35598733139708,0.35598733139708,0.663118458484017,0.663118458484017
FLNB-AS1,53,0.533893386147632,1,-0.00181705349794482,0.043581582210901,0.0145271940703003,-0.0144096858631692,0.0432198663931149,0.0136673217970409,0.333333333333333,0.2,limma_2grp(mod_t),0.0125926323652244,-0.0125926323652244,0.0613784258436482,0.0613784258436482
FLNC,16,0.0250047065464809,0.159513492329747,-1.50628405120404,1.11393750252783,0.371312500842611,-0.184349731364756,1.2314666527094,0.389423948510526,0.111111111111111,0.4,limma_2grp(mod_t),-1.32193431983928,1.32193431983928,1.66053210636628,1.66053210636628
FLNC-AS1,40,0.302529659484838,0.744952101064093,-0.0387680267771333,0.1163040803314,0.0387680267771333,0,0,0,0,0,limma_2grp(mod_t),-0.0387680267771333,0.0387680267771333,0.1163040803314,0.1163040803314
FLOT1,14,0.00571822237129008,0.0596911611194157,-0.925487125200641,0.726183472587238,0.242061157529079,0.230554069037431,0.862767264507333,0.272830964647612,0.111111111111111,0.6,limma_2grp(mod_t),-1.15604119423807,1.15604119423807,1.12770110781374,1.12770110781374
