scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.TNBCCL","Fun","Fun_only",0.3,"CCDC88B",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.5316543647682,0.000392076657761381,0.0017163444094936,"YES",3.43005821240893,0.000301725885501523,0.00166312745320685,"YES",0.439,558,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CRISP3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.8242655856333,0.000540910069881367,0.00219960872407001,"YES",3.43001969190389,0.000301768723427783,0.00166312745320685,"YES",0.423,559,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SH3BP5",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.4953071637979,0.000628002680871685,0.00243245861774904,"YES",3.43094269779579,0.000300743821576832,0.00166312745320685,"YES",0.411,560,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"ANKRD55",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.1208147200038,0.000472706659163569,0.00199350341790349,"YES",3.42826549021219,0.000303725547029523,0.00167101598538734,"YES",0.431,561,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"NFKBID",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.3678180833709,0.000665368017917303,0.00253525453332724,"YES",3.41929958969024,0.000313912805497203,0.00172408069340433,"YES",0.408,562,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"MRNIP",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.6270103044301,0.000591582550958791,0.00234860488395625,"YES",3.41867366207705,0.000314635738734599,0.00172507180892418,"YES",0.418,563,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"FCER1A",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.3017197526429,0.000685597903997955,0.00259239159894589,"YES",3.41690046972709,0.000316692156336673,0.0017333581018083,"YES",0.405,564,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"KCNIP4",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.1332324252908,0.000739958395776518,0.00277157561668943,"YES",3.41636566664807,0.000317314831337211,0.00173378206813115,"YES",0.394,565,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"MYBPC3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.1917155724974,0.000720622860147347,0.00271192981688587,"YES",3.41439455032953,0.000319619663526684,0.00174337998287282,"YES",0.399,566,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CLDN18",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",21.7434539219892,0.000225415030839434,0.00114507954963163,"YES",3.41141852856389,0.000323129054751953,0.0017595040995055,"YES",0.457,567,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
