"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"quantiseq","B cell","Dys-CIM",11,11,0,0,11,0.0260432047177373,0.0225713015634436,0.0124170213900072,0.014250585575046,-0.0136261833277301,0.0195472612047442,0.0144832770523174,NA,0.0398290118938729
"quantiseq","Macrophage M1","Dys-CIM",11,11,0,0,11,0.0429617702448739,0.0296361884469117,0.0360686791066827,0.0315050645566476,-0.00689309113819124,0.0302313205716027,0.119722411520657,NA,0.219491087787871
"quantiseq","Macrophage M2","Dys-CIM",11,11,0,0,11,0.0498300518811102,0.0304190601340966,0.0308504527258498,0.0275877913244316,-0.0189795991552604,0.0210703405024608,0.0144832770523174,NA,0.0398290118938729
"quantiseq","Monocyte","Dys-CIM",11,11,0,3,8,0.0136678891326533,0.0165663829582056,0.00545827380130234,0.0107972455027743,-0.00820961533135092,0.0176539486403764,0.183430618982178,NA,0.288248115543423
"quantiseq","Myeloid dendritic cell","Dys-CIM",11,11,0,3,8,0.00913470128049262,0.014813566251026,0.00753150641511106,0.00903473589482909,-0.00160319486538156,0.0169847840458514,0.726286148878805,NA,0.866147139732896
"quantiseq","NK cell","Dys-CIM",11,11,0,0,11,0.00913692704837289,0.00425673154981323,0.00898047600921961,0.00596305813609844,-0.000156451039153278,0.00426632406125689,0.964541384555568,NA,0.964541384555568
"quantiseq","Neutrophil","Dys-CIM",11,11,0,0,11,0.0379673468133632,0.0209282150790092,0.042370777463351,0.0189316195604878,0.00440343064998787,0.0212454920495723,0.504879873834092,NA,0.694209826521876
"quantiseq","T cell CD4+ (non-regulatory)","Dys-CIM",11,11,0,6,5,0.00926515904669426,0.0226044148496555,0.0194671133643851,0.0315919879255915,0.0102019543176908,0.0328341522158674,0.787406490666269,NA,0.866147139732896
"quantiseq","T cell CD8+","Dys-CIM",11,11,0,0,11,0.0275784778838819,0.0179448782960071,0.0115134151551564,0.0101303670512082,-0.0160650627287256,0.0157671647325667,0.00385729282994253,NA,0.0368075608353217
"quantiseq","T cell regulatory (Tregs)","Dys-CIM",11,11,0,0,11,0.0244808598196516,0.012534896795408,0.0104904629817871,0.00558262969218763,-0.0139903968378645,0.0133201013976567,0.00669228378824031,NA,0.0368075608353217
"quantiseq","uncharacterized cell","Dys-CIM",11,11,0,0,11,0.749933612131169,0.0960505724789538,0.814851821587148,0.0821981804842477,0.0649182094559789,0.0809865613483673,0.0366712945648324,NA,0.0806768480426313
"quantiseq","B cell","Fun-CIM",25,25,0,0,25,0.0200836528648362,0.0108044485062865,0.0187632976231834,0.00785007634312481,-0.0013203552416528,0.00888935509769847,0.609189087616086,NA,0.670107996377695
"quantiseq","Macrophage M1","Fun-CIM",25,25,0,0,25,0.0294774596527291,0.0166000452643327,0.0424386403296502,0.0286681272213391,0.0129611806769211,0.0264159944696686,0.00836730782483202,NA,0.0184080772146304
"quantiseq","Macrophage M2","Fun-CIM",25,25,0,0,25,0.0456036089776635,0.0173838203605859,0.0736042496167308,0.04552664750179,0.0280006406390672,0.0471053814215247,0.00093446025255913,NA,0.00414695347076859
"quantiseq","Monocyte","Fun-CIM",25,25,0,15,10,0.00740637806547325,0.0176037703155423,0.00802081684718988,0.0270486687214452,0.000614438781716628,0.0131223116697293,1,NA,1
"quantiseq","Myeloid dendritic cell","Fun-CIM",25,25,0,2,23,0.00799925453307997,0.00768705742005267,0.0119867418155718,0.0154334528380618,0.0039874872824918,0.0168783067978601,0.456171159984014,NA,0.557542528869351
"quantiseq","NK cell","Fun-CIM",25,25,0,0,25,0.0117877952734518,0.00732467552182132,0.0159526854091819,0.00748672356351499,0.00416489013573015,0.00522009037095976,0.00113098731020962,NA,0.00414695347076859
