"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"xcell","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",0.00114052105617496,0.00849491545288936,2,NA,25,11,0.00406692922226854,0.0362753521689119,0.00729815740027865,0.049188072774428
"xcell","Myeloid dendritic cell activated","Biopsy","wilcox_rank_sum",0.000763453295141024,0.00849491545288936,2,NA,25,11,0.0334372570172065,0.119520807457759,0.0436249990972224,0.0705613497380022
"xcell","NK cell","Biopsy","wilcox_rank_sum",0.006976664500012,0.02843319871703,2,NA,25,11,0.00000000000000000134326498681667,0.00273713747923123,0.000000000000000003742841563074,0.00907805801822916
"xcell","Neutrophil","Biopsy","wilcox_rank_sum",0.878076011849487,0.938536295872181,2,NA,25,11,0.0000168017747465952,0.0000782331736494275,0.0000840088737329751,0.00025947008315387
"xcell","Plasmacytoid dendritic cell","Biopsy","wilcox_rank_sum",0.000193213678215303,0.00802363242062288,2,NA,25,11,0.00254497200500142,0.028811636116404,0.00988890003573549,0.0238817282055804
"xcell","T cell CD4+ (aggregated)","Biopsy","wilcox_rank_sum",0.000523324474622155,0.00802363242062288,2,NA,25,11,0.193901017059396,0.44769467669235,0.155839129512921,0.208171201512068
"xcell","T cell CD8+ (aggregated)","Biopsy","wilcox_rank_sum",0.00223995206830818,0.0130764769393126,2,NA,25,11,0.0460394821252508,0.183100713929247,0.0673560698238778,0.128442918565122
"xcell","T cell NK","Biopsy","wilcox_rank_sum",0.62800141189267,0.745320356971521,2,NA,25,11,0.00707339472932794,0.00360467878968455,0.01164144636948,0.00635248835618034
"xcell","T cell gamma delta","Biopsy","wilcox_rank_sum",0.175506439984651,0.305720895457134,2,NA,25,11,0.000145718768435228,0.00137067861271089,0.000632449811111991,0.00306519664624418
"xcell","T cell regulatory (Tregs)","Biopsy","wilcox_rank_sum",0.586088861629739,0.711208955685526,2,NA,25,11,0.00076966386446389,0.0000879224384294253,0.00262544232330004,0.000291605738923506
"xcell","immune score","Biopsy","wilcox_rank_sum",0.0110442595198971,0.0378660326396471,2,NA,25,11,0.0544384854237787,0.180159650037078,0.0528717220748537,0.139263800520496
"xcell","microenvironment score","Biopsy","wilcox_rank_sum",0.0256005023401145,0.0727593224403255,2,NA,25,11,0.111501470886972,0.215157286994102,0.0680540003865364,0.120406640222216
"xcell","stroma score","Biopsy","wilcox_rank_sum",0.0859624694303011,0.187554478757021,2,NA,25,11,0.0570629854631935,0.0349976369570241,0.0500160840313935,0.0430813250667508
"CIBERSORTx","B cells memory","Surgery","wilcox_rank_sum",0.779827881180483,0.867899216103095,2,NA,25,11,0.00269977548514133,0.00418292487386878,0.00751126051386824,0.00708047284652067
"CIBERSORTx","B cells naive","Surgery","wilcox_rank_sum",0.149201745949782,0.266343612604569,2,NA,25,11,0.0268162454169802,0.0158176760184542,0.0205971068743716,0.0115400328384876
"CIBERSORTx","Dendritic cells activated","Surgery","wilcox_rank_sum",0.790205252740151,0.870838441795268,2,NA,25,11,0.00678918529364347,0.0071212100092515,0.0188906905975039,0.0148493055513194
"CIBERSORTx","Dendritic cells resting","Surgery","wilcox_rank_sum",0.034753594681427,0.0926762524838054,2,NA,25,11,0.00688277674963407,0.0160693407393746,0.00807304483973876,0.013432280737696
"CIBERSORTx","Eosinophils","Surgery","wilcox_rank_sum",0.0101767753824668,0.0366363913768804,2,NA,25,11,0.0000644274982184324,0.00156794704071286,0.000322137491092162,0.00329786875094455
"CIBERSORTx","Macrophages M0","Surgery","wilcox_rank_sum",0.368192987495379,0.505246280458093,2,NA,25,11,0.0770542281277068,0.0812519952932911,0.0910349295853121,0.0473476902020694
"CIBERSORTx","Macrophages M1","Surgery","wilcox_rank_sum",0.00010418768956241,0.00562613523637015,2,NA,25,11,0.0416554281539002,0.0886963592071588,0.0273395594568114,0.0225094276104773
"CIBERSORTx","Macrophages M2","Surgery","wilcox_rank_sum",0.130778145161627,0.243517925473375,2,NA,25,11,0.33836768629618,0.298419691525964,0.0885749287584997,0.057712264795928
"CIBERSORTx","Mast cells activated","Surgery","wilcox_rank_sum",0.597427518864378,0.720918123322378,2,NA,25,11,0.010193616661284,0.0186988507253777,0.0174709648091098,0.0256387808830938
"CIBERSORTx","Mast cells resting","Surgery","wilcox_rank_sum",0.0254109633153238,0.0727593224403255,2,NA,25,11,0.130974789437636,0.053278849631773,0.104405166718872,0.0587166845544801
"CIBERSORTx","Monocytes","Surgery","wilcox_rank_sum",0.757111936596468,0.856381610441674,2,NA,25,11,0.0219452645792415,0.0220757373601044,0.0215657260343852,0.0223952458759907
"CIBERSORTx","NK cells activated","Surgery","wilcox_rank_sum",0.106513125144201,0.219112714582355,2,NA,25,11,0.0263572702694651,0.042489241136704,0.0199683515565911,0.0293183033775599
