"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"epic","uncharacterized cell","Fun-CIM",25,0.629010425845677,0.237079714934626,0.296749421975819,0.316457392657076,-0.332261003869858,0.289086279705769,0.0000269903587863338,0.000193830901027902,-2.78875204103706
"epic","uncharacterized cell","Dys-CIM",11,0.738953114952814,0.202447763905897,0.783477176454834,0.296693521878479,0.0445240615020196,0.137789732611804,0.266402424640499,0.355203232853999,0.373701896830634
"estimate","ESTIMATEScore","Fun-CIM",25,1207.66104080613,1087.57821796447,2065.38249840118,1370.58569766759,857.721457595044,1213.67509662534,0.00164330586388204,0.00240152777824142,1.25759920402101
"estimate","ESTIMATEScore","Dys-CIM",11,2318.20464145057,1158.10383949853,693.320817570712,1130.33853788799,-1624.88382387986,955.584570302213,0.00509932237899739,0.00679909650532985,-1.71726048926181
"estimate","ImmuneScore","Fun-CIM",25,756.925409035075,663.714112774433,1056.62729388795,951.458509622423,299.701884852875,781.443817253837,0.100730671039206,0.100730671039206,0.588934737945535
"estimate","ImmuneScore","Dys-CIM",11,1767.46865871973,753.261347865681,765.237171521056,449.022499179602,-1002.23148719867,659.56841103945,0.00509932237899739,0.00679909650532985,-0.971147785344257
"estimate","StromalScore","Fun-CIM",25,450.735631771057,638.659963940806,1008.75520451323,582.627430600242,558.019572742169,546.861523972384,0.0000543617014074554,0.000217446805629821,0.898472014571055
"estimate","StromalScore","Dys-CIM",11,550.735982730842,536.483984397391,-71.9163539503442,811.644858617859,-622.652336681187,563.063010314039,0.0144832770523174,0.0144832770523174,-0.516305155421974
"estimate","TumorPurity","Fun-CIM",25,0.70038598924924,0.105693765233262,0.603781794048212,0.161615596063957,-0.0966041952010287,0.140666714725167,0.00180114583368107,0.00240152777824142,0.229691789486824
"estimate","TumorPurity","Dys-CIM",11,0.577639199887204,0.132922188593435,0.751334219075286,0.114818044853206,0.173695019188081,0.0991660609089238,0.00509932237899739,0.00679909650532985,0.230015684003609
"mcp_counter","B cell","Fun-CIM",25,3.702275,4.16652368197373,2.51325,2.82517812629797,-1.189025,3.75562718890351,0.419547030252253,0.461501733277479,-0.256970591974169
"mcp_counter","B cell","Dys-CIM",11,7.05380681818182,7.20373340952532,2.20443181818182,2.76194966880488,-4.849375,8.37129215962954,0.0366712945648324,0.124979101701096,-0.273032352169657
"mcp_counter","Cancer associated fibroblast","Fun-CIM",25,834.07625,887.585890070869,1890.2732,1649.17202087741,1056.19695,1290.70509179499,0.00014831462356524,0.00075053875739647,4.38288077866582
