Category,gene,METABRIC_OS_HR,METABRIC_OS_CI_lower,METABRIC_OS_CI_upper,METABRIC_OS_p_value,METABRIC_OS_p_adj_BH,SCANB_OS_HR,SCANB_OS_CI_lower,SCANB_OS_CI_upper,SCANB_OS_p_value,SCANB_OS_p_adj_BH,METABRIC_DSS_HR,METABRIC_DSS_CI_lower,METABRIC_DSS_CI_upper,METABRIC_DSS_p_value,METABRIC_DSS_p_adj_BH,METABRIC_RFI_HR,METABRIC_RFI_CI_lower,METABRIC_RFI_CI_upper,METABRIC_RFI_p_value,METABRIC_RFI_p_adj_BH,SCANB_RFI_HR,SCANB_RFI_CI_lower,SCANB_RFI_CI_upper,SCANB_RFI_p_value,SCANB_RFI_p_adj_BH,SCANB_DRFI_HR,SCANB_DRFI_CI_lower,SCANB_DRFI_CI_upper,SCANB_DRFI_p_value,SCANB_DRFI_p_adj_BH
Fun-CIM,STAT5B,0.8471,0.7374,0.9731,0.01904,0.1286,0.9002,0.8011,1.0116,0.07725,0.1292,0.8587,0.7427,0.9928,0.03964,0.2763,0.884,0.7707,1.0139,0.07805,0.2366,0.8318,0.7331,0.9438,0.004265,0.02083,0.8238,0.7181,0.9449,0.005626,0.01796
Fun-CIM,TGFBR2,0.908,0.796,1.0357,0.1504,0.3026,0.8536,0.7531,0.9673,0.01314,0.03162,0.9122,0.7935,1.0487,0.1966,0.3909,0.94,0.822,1.0749,0.3661,0.5386,0.9348,0.8132,1.0745,0.3424,0.4621,0.9298,0.7985,1.0826,0.3484,0.4452
Fun-CIM,TLR4,0.9367,0.816,1.0752,0.3528,0.4964,0.8896,0.784,1.0095,0.06981,0.1182,0.9419,0.8144,1.0894,0.4202,0.6202,0.9521,0.8307,1.0912,0.4805,0.6194,0.9335,0.8117,1.0736,0.3348,0.4593,0.8975,0.7699,1.0463,0.167,0.2431
Fun-CIM,TLR8,0.8778,0.7659,1.006,0.06088,0.1847,0.9209,0.8091,1.0482,0.2123,0.2968,0.8799,0.7613,1.017,0.08327,0.2923,0.858,0.7471,0.9854,0.03011,0.1983,0.9012,0.7805,1.0406,0.1563,0.2495,0.854,0.7281,1.0017,0.05256,0.09281
Fun-CIM,TNFAIP3,0.8793,0.767,1.008,0.06501,0.1847,0.8381,0.7382,0.9515,0.006362,0.01821,0.9128,0.7911,1.0533,0.2115,0.4032,0.8939,0.7802,1.0242,0.1063,0.2617,0.854,0.7421,0.9827,0.0275,0.0754,0.8045,0.6892,0.9392,0.005868,0.01838
Fun-CIM,TNFRSF10B,1.0768,0.9429,1.2297,0.275,0.4159,1.0302,0.9091,1.1674,0.6412,0.7003,1.0536,0.9152,1.2129,0.4673,0.6534,1.0496,0.9176,1.2006,0.4804,0.6194,1.0371,0.9017,1.1927,0.61,0.7081,0.9757,0.8365,1.1381,0.7543,0.813
Fun-CIM,TNFRSF14,0.8305,0.7256,0.9506,0.00702,0.1226,0.9341,0.8207,1.0632,0.3022,0.395,0.8586,0.745,0.9896,0.03532,0.2763,0.88,0.7698,1.0059,0.06105,0.222,0.8609,0.7461,0.9934,0.04031,0.08761,0.8532,0.7297,0.9977,0.04671,0.0852
Fun-CIM,TNFRSF17,0.8761,0.7641,1.0044,0.05782,0.1847,0.8262,0.7327,0.9316,0.001834,0.007081,0.8887,0.7702,1.0254,0.106,0.2992,0.8667,0.7562,0.9934,0.03992,0.2047,0.7713,0.6744,0.8821,0.000149,0.002249,0.7282,0.6285,0.8438,0.00002452,0.0003391
Fun-CIM,TNFRSF1B,0.9233,0.8054,1.0583,0.2518,0.3883,0.9475,0.833,1.0777,0.4117,0.4952,0.9502,0.823,1.097,0.486,0.6695,0.9438,0.824,1.081,0.4037,0.5645,0.8985,0.7755,1.041,0.1542,0.2485,0.8656,0.7363,1.0176,0.08034,0.132
Fun-CIM,TNFSF10,1.0192,0.8867,1.1716,0.7889,0.8564,0.8197,0.7254,0.9262,0.001428,0.006237,1.0127,0.8753,1.1717,0.8652,0.9151,0.9819,0.8552,1.1274,0.7959,0.8632,0.8661,0.7546,0.9943,0.04117,0.08761,0.8557,0.7359,0.9951,0.04294,0.08008
Fun-CIM,TNFSF8,0.8831,0.7693,1.0137,0.0772,0.1996,0.7666,0.674,0.8718,0.00005119,0.001041,0.9016,0.7804,1.0417,0.16,0.3826,0.9032,0.7888,1.0342,0.1406,0.29,0.8835,0.7657,1.0194,0.08984,0.1604,0.8528,0.7286,0.9983,0.04761,0.0859
Fun-CIM,TNRC6A,1.0607,0.9286,1.2115,0.3853,0.5254,0.8185,0.727,0.9215,0.0009272,0.004736,1.0702,0.9308,1.2305,0.3408,0.5513,1.105,0.967,1.2627,0.1423,0.29,0.8711,0.7648,0.9922,0.03776,0.08358,0.8993,0.7787,1.0385,0.1483,0.2198
Fun-CIM,TXNIP,0.8254,0.7222,0.9434,0.004892,0.1226,0.7729,0.6793,0.8794,0.00009189,0.001271,0.8186,0.7115,0.9417,0.005116,0.1687,0.8374,0.7326,0.9573,0.009331,0.1711,0.8388,0.7278,0.9667,0.01522,0.05155,0.8354,0.7149,0.9762,0.02363,0.05227
Fun-CIM,VASH1,1.0216,0.8927,1.1691,0.7564,0.8376,0.9538,0.8429,1.0792,0.4531,0.5296,1.0568,0.9174,1.2172,0.444,0.6316,1.0573,0.9256,1.2077,0.412,0.5713,0.966,0.8358,1.1165,0.6394,0.727,0.972,0.8294,1.1392,0.7262,0.7983
Fun-CIM,VCAM1,0.9121,0.798,1.0426,0.1774,0.3289,0.8334,0.7353,0.9446,0.004351,0.01445,0.9188,0.7984,1.0573,0.2371,0.4347,0.9035,0.791,1.0321,0.135,0.29,0.8593,0.7468,0.9887,0.03405,0.08193,0.7771,0.6663,0.9063,0.001313,0.007029
