gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis,in_expression_matrix
FCER1A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00259239159894589,0.0017333581018083,0.405,0.405,3.1669215633667e-4,0.0017333581018083,0.405,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FCER1G,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00396847934109088,0.00263263012286878,0.385,0.385,5.4225557562234e-4,0.00263263012286878,0.385,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FCGR2B,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.98711880666107e-5,4.38757642293296e-5,0.537,0.537,1.72467626687616e-6,4.38757642293296e-5,0.537,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FCGR3A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00717016568114117,0.00659210382461724,0.374,0.374,0.00184703286406728,0.00659210382461724,0.374,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FCN3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0111413008405708,0.013037065773777,0.355,0.355,0.00446867977780408,0.013037065773777,0.355,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FCRL5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.02339645385533e-5,4.79988112665488e-6,0.543,0.543,4.09360649697757e-8,4.79988112665488e-6,0.543,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FFAR4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0052478299436534304,0.00656066940392208,0.393,0.393,0.00183409908807759,0.00656066940392208,0.393,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FGD5P1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0050266426430304,0.00434119236629444,0.39,0.39,0.0010812026270771,0.00434119236629444,0.39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FGF10,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0118517822319972,0.0100720580834945,0.346,0.346,0.0031807319690898,0.0100720580834945,0.346,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FGF14,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.019750980623449,0.0181318901509481,0.32,0.32,0.00662555231301941,0.0181318901509481,0.32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FGF7,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.2919955116473e-4,2.1516228620167e-4,0.494,0.494,1.8403818190835e-5,2.1516228620167e-4,0.494,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FIS1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00419816692096037,0.0053563597750486,0.431,-0.431,4.2109746659187e-4,0.0053563597750486,0.431,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FLCN,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00402999223829684,0.00425849618245127,0.405,0.405,0.00105391084766954,0.00425849618245127,0.405,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FLT3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0079310087269092,0.00855025404859633,0.372,0.372,0.00258927504679191,0.00855025404859633,0.372,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FLT4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,8.9794056865582e-4,0.00108483349723829,0.467,0.467,1.6988901937882e-4,0.00108483349723829,0.467,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FNBP4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.3361709871682e-4,4.8233467273517e-4,0.459,0.459,5.60829468923698e-5,4.8233467273517e-4,0.459,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FNDC5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00668152752179178,0.00760583525454346,0.381,0.381,0.00223086052800895,0.00760583525454346,0.381,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FOLR2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.8141175098389e-4,4.8556964947353e-4,0.452,0.452,5.68501346159811e-5,4.8556964947353e-4,0.452,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FOSB,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.84141226349328e-5,1.8714644557868e-4,0.571,0.571,1.47127708788275e-5,1.8714644557868e-4,0.571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FOXK2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00228355528026958,0.0031715245579053,0.456,-0.456,1.8749893612773e-4,0.0031715245579053,0.456,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FREM1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,9.70094089679246e-5,4.54587982681035e-5,0.491,0.491,1.84408332597023e-6,4.54587982681035e-5,0.491,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FRY,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00152279150500529,9.5139650542131e-4,0.423,0.423,1.4254113887046e-4,9.5139650542131e-4,0.423,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
