signature,gene,present
Fun-CIM,CYB561A3,TRUE
Fun-CIM,CYP20A1,TRUE
Fun-CIM,CYP26B1,TRUE
Fun-CIM,CYP39A1,TRUE
Fun-CIM,CYP46A1,TRUE
Fun-CIM,CYP4Z1,TRUE
Fun-CIM,CYP7A1,TRUE
Fun-CIM,CYSLTR2,TRUE
Fun-CIM,DAAM2,TRUE
Fun-CIM,DAO,TRUE
Fun-CIM,DBX2,TRUE
Fun-CIM,DCC,TRUE
Fun-CIM,DCSTAMP,TRUE
Fun-CIM,DDB2,TRUE
Fun-CIM,DDX60L,TRUE
Fun-CIM,DENND4B,TRUE
Fun-CIM,DERL3,TRUE
Fun-CIM,DHRS3,TRUE
Fun-CIM,DHRS9,TRUE
Fun-CIM,DIPK2B,TRUE
Fun-CIM,DIRAS3,TRUE
Fun-CIM,DIRC1,TRUE
Fun-CIM,DLEC1,TRUE
Fun-CIM,DLGAP1-AS5,TRUE
Fun-CIM,DLGAP2,TRUE
Fun-CIM,DLL1,TRUE
Fun-CIM,DMGDH,TRUE
Fun-CIM,DNAH7,TRUE
Fun-CIM,DNAH8,TRUE
Fun-CIM,DNAI3,TRUE
Fun-CIM,DNAJB4,TRUE
Fun-CIM,DNASE2B,TRUE
Fun-CIM,DNM1,TRUE
Fun-CIM,DOCK2,TRUE
Fun-CIM,DOCK3,TRUE
Fun-CIM,DOCK8,TRUE
Fun-CIM,DOK3,TRUE
Fun-CIM,DOK5,TRUE
Fun-CIM,DPT,TRUE
Fun-CIM,DPYS,TRUE
Fun-CIM,DRD1,TRUE
Fun-CIM,DRP2,TRUE
Fun-CIM,DSG1,TRUE
Fun-CIM,DTHD1,TRUE
Fun-CIM,DTX1,TRUE
Fun-CIM,DTX2,TRUE
Fun-CIM,DTX3,TRUE
Fun-CIM,DUSP1,TRUE
Fun-CIM,DYNLT5,TRUE
Fun-CIM,EBF2,TRUE
Fun-CIM,ECM2,TRUE
Fun-CIM,EEPD1,TRUE
Fun-CIM,EFCAB3,TRUE
Fun-CIM,EGFL6,TRUE
Fun-CIM,EGFLAM,TRUE
Fun-CIM,EGR1,TRUE
Fun-CIM,EGR2,TRUE
Fun-CIM,EGR3,TRUE
Fun-CIM,EID3,TRUE
Fun-CIM,ELMO1,TRUE
Fun-CIM,EMILIN2,TRUE
Fun-CIM,EML5,TRUE
Fun-CIM,EMP3,TRUE
Fun-CIM,ENO4,TRUE
Fun-CIM,ENPEP,TRUE
Fun-CIM,ENTHD1,TRUE
Fun-CIM,EPB41L3,TRUE
Fun-CIM,EPCIP-AS1,TRUE
Fun-CIM,EPHB6,TRUE
Fun-CIM,EPPIN,TRUE
Fun-CIM,EPSTI1,TRUE
Fun-CIM,EQTN,TRUE
Fun-CIM,ERG,TRUE
Fun-CIM,ERVFRD-1,TRUE
Fun-CIM,ESRRB,TRUE
Fun-CIM,EVX1,TRUE
Fun-CIM,F13A1,TRUE
Fun-CIM,F8,TRUE
Fun-CIM,F9,TRUE
Fun-CIM,FABP1,TRUE
Fun-CIM,FAM111A,TRUE
Fun-CIM,FAM117A,TRUE
Fun-CIM,FAM124B,TRUE
Fun-CIM,FAM13B,TRUE
Fun-CIM,FAM156A,TRUE
Fun-CIM,FAM161B,TRUE
Fun-CIM,FAM162B,TRUE
Fun-CIM,FAM167B,TRUE
Fun-CIM,FAM193B,TRUE
Fun-CIM,FAM217A,TRUE
Fun-CIM,FAM43A,TRUE
Fun-CIM,FAT2,TRUE
Fun-CIM,FBLN1,TRUE
Fun-CIM,FBLN7,TRUE
Fun-CIM,FBP1,TRUE
Fun-CIM,FBXO39,TRUE
Fun-CIM,FBXO48,TRUE
Fun-CIM,FCER1A,TRUE
Fun-CIM,FCER1G,TRUE
Fun-CIM,FCGR2B,TRUE
Fun-CIM,FCGR3A,TRUE
Fun-CIM,FCN3,TRUE
Fun-CIM,FCRL5,TRUE
Fun-CIM,FFAR4,TRUE
Fun-CIM,FGD5P1,TRUE
