analysis,sig_mode,group,group_members,cim,rho_threshold,gene
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HERC2P2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HERC2P3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HIC2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HLA-F-AS1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HP1BP3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HPS4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"HSPG2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ICAM1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IDUA"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IFFO1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IGDCC4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IKZF4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IL17RA"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IL4R"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"INO80D"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"INPP4A"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"INPP5B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"INPP5D"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"INPP5E"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IQSEC1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IRAK2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IRF2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"IRF5"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ITGA5"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ITGB2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ITPRIP"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"JADE1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"JAK3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"JAZF1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"JMY"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KCNAB2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KCND1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KCNJ2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KDM8"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KIAA0513"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KIRREL1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KLF13"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KLF3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"KMT2E"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LAT2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LCAT"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LENG8"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LINC00265"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LINC00667"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LINC00852"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LINC02693"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LIX1L"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LMBR1L"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LPCAT2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LPP"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LRP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LRRK1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LY6G5B"
