scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"NOMO2",3,2,"NO",1,"NO","YES","Dys","YES","Fun","NO",NA,6.78189151489135,0.147873053625895,0.369696309326131,"NO",-0.34729807391466,0.635816301181235,0.999999999998396,"NO",0.482
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"FAM234A",3,2,"NO",1,"NO","YES","Dys","YES","Fun","NO",NA,6.78129176962303,0.14790730157427,0.369696309326131,"NO",-0.656635480552831,0.744292335355542,0.999999999998396,"NO",0.52
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"PANX1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.78074545716949,0.147938504589539,0.369696309326131,"NO",-1.35334904373216,0.912027925926706,0.999999999998396,"NO",0.492
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"KCNMA1",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.77885576311446,0.148046482131571,0.369859031358809,"NO",-2.2207165179114,0.986814916023784,0.999999999998396,"NO",0.442
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"UBE2E4P",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.77447305575287,0.148297188010144,0.370367965693526,"NO",-0.54976230084529,0.708758790419164,0.999999999998396,"NO",0.399
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"YWHAG",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.77377961366738,0.148336890766049,0.370367965693526,"NO",-1.67311139275335,0.952847315420381,0.999999999998396,"NO",0.523
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"WRNIP1",3,3,"YES",1,"NO","YES","Dys","YES","Fun","YES","Fun",9.47896257483921,0.148378961339961,0.370367965693526,"NO",-0.595682251159543,0.724306241288562,0.999999999998396,"NO",0.472
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"CRIM1",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.4732455225395,0.148659893857404,0.370961892450995,"NO",-2.46486453124318,0.993146746907123,0.999999999998396,"NO",0.49
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"ZNF451",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.75934319045887,0.149165649058886,0.372116330074913,"NO",-0.729536084184929,0.76716309830403,0.999999999998396,"NO",0.421
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"MAGI1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.75703240827206,0.149298696783322,0.372340593798639,"NO",-0.829706153493323,0.796647529256364,0.999999999998396,"NO",0.433
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"VAPB",3,2,"NO",1,"NO","YES","Dys","YES","Fun","NO",NA,6.75491195574095,0.149420881167724,0.372537643339003,"NO",-0.0941125841944504,0.537490137994876,0.999999999998396,"NO",0.445
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"STX16",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.44764541401063,0.149923570878555,0.373682984723007,"NO",-2.09018444285258,0.98169938276051,0.999999999998396,"NO",0.458
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"LLGL1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.74494675343564,0.149996317134091,0.373756344369064,"NO",-1.61171080257687,0.94648755707101,0.999999999998396,"NO",0.516
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"MINDY3",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.7382328437268,0.150385147601451,0.374545586762088,"NO",-1.52386800604002,0.936229156447569,0.999999999998396,"NO",0.387
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"NUDT21",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.73797898440228,0.150399867670719,0.374545586762088,"NO",-0.915003143841339,0.819905010155036,0.999999999998396,"NO",0.443
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"OXCT2P1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.72479414293162,0.151166201065904,0.376084847644164,"NO",-1.0720893487888,0.858160048774787,0.999999999998396,"NO",0.46
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"CAHM",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.42243395077665,0.151177212470233,0.376084847644164,"NO",-1.74257672711014,0.959296210900203,0.999999999998396,"NO",0.41
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"RPL7A",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.72445612976206,0.15118589388608,0.376084847644164,"NO",-0.0717421309965773,0.528596436580273,0.999999999998396,"NO",0.328
