"","gene_id","H_value","p_value","stat_test_adj_p","cluster1_mean","cluster1_sd","cluster1_sem","cluster2_mean","cluster2_sd","cluster2_sem","cluster1_penetrance","cluster2_penetrance","cluster1_cluster2_pval","cluster1_cluster2_differential","cluster2_cluster1_differential","cluster1_cluster2_sd","cluster2_cluster1_sd"
"4501","WIPF1",80,0.610330007480275,0.747611880406029,-0.0623216488810989,0.386135797006867,0.103199132654899,-0.058131533898565,0.42518891469264,0.1179261872064,0.285714285714286,0.307692307692308,NA,-0.0041901149825339,0.0041901149825339,0.57435743828006,0.57435743828006
"4502","ORC2",36,0.00661820792390183,0.0579527117923767,-0.34155719616782,0.457254815172216,0.122206489773362,0.179961310869997,0.312844931727104,0.0867675725085464,0.285714285714286,0.615384615384615,NA,-0.521518507037817,0.521518507037817,0.55403422033798,0.55403422033798
"4503","COX7A2L",56,0.0944789937332675,0.249509320388267,-0.242739665740709,0.310771096607319,0.083057069229758,-0.0380505242829787,0.172337840216404,0.0477979168925357,0.285714285714286,0.461538461538462,NA,-0.20468914145773,0.20468914145773,0.35535757436274,0.35535757436274
"4504","PNO1",73,0.401961581988504,0.562508711057738,0.0177000675946586,0.513796507579227,0.13731789270589,0.201632295333206,0.5294392264193,0.14684002139206,0.571428571428571,0.538461538461538,NA,-0.183932227738547,0.183932227738547,0.737761984431346,0.737761984431346
"4505","ORC4",24,0.00066117268163304,0.0160073671196843,-0.131471751745037,0.301423296544264,0.0805587645757571,0.223917288011469,0.151913383885356,0.0421331919252227,0.214285714285714,1,NA,-0.355389039756506,0.355389039756506,0.337540634447337,0.337540634447337
"4506","PLEK",141,0.0162710435350103,0.100391235724959,0.324315256969822,0.337898815463507,0.090307257061514,0.0991318666826237,0.277312442423412,0.0769126331139822,0.857142857142857,0.384615384615385,NA,0.225183390287198,-0.225183390287198,0.437124467645634,0.437124467645634
"4507","RND3",71,0.34988438701186,0.534709839918087,0.0924218380778482,0.67168403034035,0.179515108121504,0.171860325491408,0.370905390862652,0.102870646546254,0.428571428571429,0.615384615384615,NA,-0.0794384874135598,0.0794384874135598,0.767287589880895,0.767287589880895
"4508","ATF2",42,0.0167543610375755,0.101200861467563,-0.320166030051561,0.511930966590843,0.136819305904496,-0.0272802740272023,0.165268520648463,0.0458372404167778,0.214285714285714,0.384615384615385,NA,-0.292885756024359,0.292885756024359,0.537947021993771,0.537947021993771
"4509","THADA",22,0.000418878967808837,0.0123836464430048,-0.788563984993428,0.545030476490695,0.145665522027024,-0.0244116419392481,0.254540333936466,0.0705967865908966,0.142857142857143,0.461538461538462,NA,-0.76415234305418,0.76415234305418,0.601538861507851,0.601538861507851
"4510","AAK1",103,0.58264369363306,0.726242370267696,0.123582320910019,0.331090405164012,0.0884876328694215,0.100186978611674,0.190204680220657,0.0527532867206777,0.714285714285714,0.692307692307692,NA,0.023395342298345,-0.023395342298345,0.381835929123376,0.381835929123376
"4511","TRAK2",53,0.0682643095376976,0.21627807892166,-0.298426628304022,0.4867377697376,0.130086140825755,0.0748078176301487,0.213661908010763,0.0592591511497134,0.357142857142857,0.692307692307692,NA,-0.373234445934171,0.373234445934171,0.531568497396086,0.531568497396086
"4512","C2orf42",142,0.0124673576524431,0.0834045622078427,0.295399154696568,0.326683905882591,0.087309946398983,-0.0699047384038111,0.338150306419845,0.0937860206623546,0.857142857142857,0.384615384615385,NA,0.365303893100379,-0.365303893100379,0.4701786937905,0.4701786937905
"4513","TIA1",46,0.0291028651480933,0.136317755767775,-0.309941564562245,0.465100394658651,0.12430330909043,0.0533923629935546,0.274847075854124,0.0762288634541066,0.285714285714286,0.538461538461538,NA,-0.3633339275558,0.3633339275558,0.540240032038718,0.540240032038718
"4514","PCYOX1",48,0.0376598216199778,0.161828057069798,-0.753156311564171,0.764121029431901,0.20421993529737,-0.112403686107952,0.206281284042323,0.0572121343679344,0.214285714285714,0.307692307692308,NA,-0.640752625456219,0.640752625456219,0.791475151704851,0.791475151704851
"4515","KISS1R",88,0.89749268471431,0.956977768142872,0.0131130289704849,0.0485362297816651,0.0129718530491946,0.114711973649302,0.227606415238956,0.0631266615975848,0.142857142857143,0.384615384615385,NA,-0.101598944678817,0.101598944678817,0.23272396924113,0.23272396924113
"4516","EPAS1",49,0.0426526674743124,0.171436818531097,-0.0701190320201351,0.5052690456138,0.13503883263065,0.265174859533099,0.296299187149279,0.0821786086265404,0.357142857142857,0.846153846153846,NA,-0.335293891553234,0.335293891553234,0.585738863966532,0.585738863966532
"4517","ARID3A",77,0.518594995587861,0.673270074235,-0.362891657302087,0.502683970972068,0.134347942371464,-0.176684230938372,0.48534449171402,0.134610342395301,0.142857142857143,0.230769230769231,NA,-0.186207426363715,0.186207426363715,0.698749204156532,0.698749204156532
"4518","SUMO1",63,0.185184786347796,0.375131375967038,0.0240966262753032,0.247252390818684,0.0660809810360176,0.0817084635756316,0.222402100936064,0.0616832445150691,0.428571428571429,0.692307692307692,NA,-0.0576118373003284,0.0576118373003284,0.332560429495649,0.332560429495649
"4519","CD207",93.5,0.922005492782277,0.971790446937417,0.0558890833945919,0.129968328481201,0.0347354968791677,0.0442606142621348,0.114248873345029,0.0316869362314996,0.5,0.461538461538462,NA,0.0116284691324571,-0.0116284691324571,0.17304499839292,0.17304499839292
"4520","GRIN3B",62,0.158558374452893,0.359932504164442,-0.0792915533333671,0.162363891582018,0.0433935753059444,-0.017658733696217,0.0693970383391003,0.0192472753920743,0.214285714285714,0.153846153846154,NA,-0.0616328196371501,0.0616328196371501,0.17657288076003,0.17657288076003
"4521","VAX2",123,0.127858691913073,0.309363069587668,0.280341931995111,0.534149161851781,0.142757368362988,-0.0725229290747029,0.404468553615604,0.112179393028755,0.714285714285714,0.461538461538462,NA,0.352864861069814,-0.352864861069814,0.670007565607179,0.670007565607179
"4522","ATP6V1B1",104,0.543885662423208,0.698259672511795,0.142071512169915,0.483526087466426,0.129227782633332,-0.238098512952108,0.822123852108417,0.22801613104299,0.5,0.538461538461538,NA,0.380170025122023,-0.380170025122023,0.953774137553631,0.953774137553631
"4523","NFE2L2",79,0.58264369363306,0.726242370267696,-0.166360388392985,0.266054690821036,0.0711061070854562,-0.0689101729211739,0.096587063090236,0.0267884314244862,0.428571428571429,0.230769230769231,NA,-0.0974502154718111,0.0974502154718111,0.283044447506526,0.283044447506526
"4524","MSH6",92,0.980971667588978,0.999266816243337,-0.266255241469193,0.347936699550117,0.0929899944286744,-0.243653618221649,0.342292945533854,0.0949349820270701,0.357142857142857,0.0769230769230769,NA,-0.022601623247544,0.022601623247544,0.488082377735634,0.488082377735634
"4525","PLEKHA3",83,0.720314184153193,0.820160425731276,-0.110060422605521,0.259787208029569,0.0694310518509439,-0.0390262450988833,0.156609641563527,0.0434356994530257,0.357142857142857,0.461538461538462,NA,-0.0710341775066377,0.0710341775066377,0.3033413478022,0.3033413478022
"4526","SPR",65,0.219882442679589,0.422685248592472,-0.173120525669487,0.413375201019811,0.110479169600353,-0.147271010567285,0.206525744803472,0.0572799355840238,0.285714285714286,0.0769230769230769,NA,-0.025849515102202,0.025849515102202,0.462095163450991,0.462095163450991
"4527","EPHA4",103,0.58264369363306,0.726242370267696,0.524464089493302,0.830582991884126,0.221982641922289,0.470115785118946,0.543216888596831,0.15066125734876,0.714285714285714,0.846153846153846,NA,0.0543483043743561,-0.0543483043743561,0.992447829593076,0.992447829593076
"4528","PARD3B",55,0.084899083804755,0.245336683564385,-0.396776937528032,0.489861236753491,0.130920922499494,-0.0886558856507635,0.232206589892779,0.0644025204891579,0.142857142857143,0.307692307692308,NA,-0.308121051877269,0.308121051877269,0.542110626775839,0.542110626775839
