Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
OB_0190_B,0.0151118223083448,0.0219937111089564,0,0.100285952249447,0,0.171677507523068,0,0.0507514306283465,0.00448741837570926,0.030895743625715,0.00922285722423404,0.000380798192663236,0.0378436526478754,0.0463904638720848,0.058206726445885,0.36115823079103,0.00338033788015586,0.0110221948427552,0.0757648625319337,0,0.000537062744226109,0.000889227007569139,0,0.615356553257194,0.809172795498269
OB_0190_S,0.00806399419015803,0.0164170250513578,0.00417437538369983,0.0360971505561966,0,0.107069711902609,0,0.065794320894776,0.00269421914552871,0.0394545164389318,0,0.00959661264230709,0.00924826071466189,0.174023113886573,0.0772687827001881,0.34135268435469,0,0,0.101679458546406,0,0,0.00706577359191665,0,0.359090359733943,0.937642741351623
OB_0235_B,0.00358597159650367,0.00501255163037673,0.00138965781433383,0.0436005334567631,0,0.0970112253482462,0,0.0340478371802672,0.000714539810912384,0.0182937934826634,0,0.00962688951851279,0.0148902775618959,0.0244897053198895,0.0646973692131956,0.301845398982915,0.0206885914730049,0,0.358300306773089,0,0,0.00180535083743114,0,0.789641884771068,0.689920606040673
OB_0235_S,0.00773864836134327,0,0.000225509674075337,0.102503885752522,0,0.25743541735917,0,0.0113735887028305,0,0,0.0112197765511981,0,0.0137115718148621,0,0.0263332341291673,0.268857065867832,0.0295549148761704,0,0.271046386910828,0,0,0,0,0.745120892626654,0.732361732554413
OB_0261_B,0,0.0301250907211018,0,0.143747941804194,0,0.116498851785383,0.0454925423891079,0.0573369486973954,0.0122092592527408,0.0873578243379153,0,0.0433851792496257,0,0.0434222059699816,0.101569546391609,0.233786376206753,0.080512592965624,0,0.00265163581119981,0.00167397676443082,0,0.000230027652937546,0,0.599324131614167,0.811862572463263
OB_0261_S,0.00483781562268727,0.0164441164743678,0.00482371890350759,0.127283588813078,0,0.11717260909982,0.000848709444290311,0.0699725155305173,0.0149834422818636,0.0114626524556763,0,0.0467552421391554,0.00727081960854763,0.0986685812816024,0.0950009829670333,0.304286099692348,0.0172240140193919,0.00898695929269834,0,0.0506168647368194,0,0.00336126763659489,0,0.461526038544695,0.886249065390908
OB_0273_B,0.00410830236046307,0.0172133856613885,0,0.147433100603332,0,0.10801173068238,0.0474229079681894,0.0643838070505569,0.0260988610007724,0.0824599803424967,0,0.0360600972698083,0,0.0383778017772885,0.0947076397368893,0.262093868950826,0.0626010223828561,0.0019309735198305,0.00709652069292237,0,0,0,0,0.597566635754418,0.813057745039877
OB_0273_S,0.00596639479540447,0.000770607681779512,0.00288074058436461,0.0594371064582331,0,0.111529214620588,0,0.041383797951805,0.000946437447919256,0,0,0.0198837462797749,0.0146637570229407,0.102420340354697,0.0450216455884942,0.4035824814352,0.0238611600272247,0.0147408824178987,0.124023136089774,0,0,0.0288885512439019,0,0.775015586343825,0.709738629181228
OB_0237_B,0.103877429413362,0.0796841253450168,0,0.122055788665007,0,0.0899888717072299,0.00118657988509595,0.0813976720621117,0.0245042059012772,0.0128619688984292,0,0.0568907433689397,0.0176259300349481,0.0642067259006456,0.121925277753769,0.180186729207469,0.00385263799459748,0,0.0397553138621022,0,0,0,0,0.727036272399509,0.744963625132171
OB_0237_S,0.028032085849872,0,0,0.157203685309817,0,0.131038329697305,0,0.117771027944414,0,0.000409748844590898,0,0.0740311676288616,0.0222815614764541,0.0459092562902867,0.0992582414782272,0.265341635121575,0.0127783380526408,0,0,0.0285068476657856,0.0110220241726589,0.00641605046751092,0,0.536181792439216,0.846362344883393
