family,test,scope,GeneSet,analysis_pool,standalone,n_scope_datasets,k_datasets,all_datasets_present,meta_direction,k_concordant,direction_concordant,n_up,n_down,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,stouffer_sig_nominal,fisher_stat,fisher_p,fisher_padj,fisher_sig,min_p_dataset,max_p_dataset,mean_n_genes,datasets,nki_smc_direction,nki_smc_p_value,neo_direction,neo_p_value,tnbc_cl_direction,tnbc_cl_p_value
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-3.46096189771277,0.000538248987901994,0.000852227564178157,"YES","YES",29.8686272258907,4.16345477069199e-05,6.08504928024214e-05,"YES",1.2276046104781e-06,0.774469262625979,67,"neo;nki_smc;tnbc_cl","Down",0.343595375551401,"Down",1.2276046104781e-06,"Down",0.774469262625979
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",2,"NO",1,2,-3.33561184577148,0.00085111909099579,0.00124394328684,"YES","YES",22.9307432822603,0.000820009385655525,0.000865565462636388,"YES",0.000261380386305093,0.769289318885828,48,"neo;nki_smc;tnbc_cl","Down",0.0521542452907258,"Down",0.000261380386305093,"Up",0.769289318885828
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","19 a priori immune/stress pathways",FALSE,3,2,"NO","Fun-CIM",2,"YES",0,2,-3.12362222816258,0.00178639651352262,0.00242439526835213,"YES","YES",25.5449025313572,3.90846420787142e-05,6.08504928024214e-05,"YES",4.80944558807913e-06,0.590065032939723,281.5,"neo;nki_smc","Down",0.590065032939723,"Down",4.80944558807913e-06,NA,NA
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-2.72119870625574,0.00650456494794287,0.00823911560072764,"YES","YES",24.7064816059681,0.000386925965740534,0.000432446667592361,"YES",6.3427515648368e-06,0.852071551537089,329.3,"neo;nki_smc;tnbc_cl","Down",0.79854964129205,"Down",6.3427515648368e-06,"Down",0.852071551537089
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","GOBP_CELLULAR_RESPONSE_TO_STRESS","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",3,"YES",0,3,-2.56086084706364,0.0104413168260563,0.0123990637309419,"YES","YES",22.6189369297486,0.000934685779341514,0.000934685779341514,"YES",1.63272583192266e-05,0.920727020878156,1904,"neo;nki_smc;tnbc_cl","Down",0.81529747968005,"Down",1.63272583192266e-05,"Down",0.920727020878156
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",2,"NO",1,2,-1.59922637785404,0.109770311270365,0.121521088451717,"NO","NO",25.2311288621248,0.000309390995268387,0.00039189526067329,"YES",5.02100200258411e-05,0.33735373415236,195,"neo;nki_smc;tnbc_cl","Up",0.19599909461155,"Down",5.02100200258411e-05,"Down",0.33735373415236
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","REACTOME_CELLULAR_RESPONSE_TO_MITOCHONDRIAL_STRESS","19 a priori immune/stress pathways",FALSE,3,3,"YES","Dys-CIM",2,"NO",2,1,1.57556866777206,0.1151252416911,0.121521088451717,"NO","NO",24.9491759662688,0.000348932692788926,0.000414357572686849,"YES",0.00950780163937233,0.0215953622305484,9,"neo;nki_smc;tnbc_cl","Up",0.00950780163937233,"Down",0.0215953622305484,"Up",0.0186172130756136
"zscore","Fry","ALL3_NKI.NEO.TNBCCL","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","19 a priori immune/stress pathways",FALSE,3,3,"YES","Fun-CIM",1,"NO",2,1,-0.324516589469712,0.745546964684118,0.745546964684118,"NO","NO",25.2635600717561,0.000305136121368842,0.00039189526067329,"YES",0.000239993890614916,0.176486248816664,112.7,"neo;nki_smc;tnbc_cl","Up",0.176486248816664,"Down",0.000239993890614916,"Up",0.0771216966239895
"zscore","Fry","NEO.TNBCCL","GOBP_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-4.37767336454259,1.19952938780966e-05,0.000138761826401781,"YES","YES",25.8887246565802,3.33221893553914e-05,0.000216594230810044,"YES",1.68771969308593e-05,0.14159064205253,60,"neo;tnbc_cl","Down",0.0153180440059157,"Down",1.68771969308593e-05,"Down",0.14159064205253
"zscore","Fry","NEO.TNBCCL","WP_OXIDATIVE_STRESS_RESPONSE","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-4.20850771469572,2.57062754260217e-05,0.000138761826401781,"YES","YES",23.3286252471996,0.000108851649630495,0.000318071559908434,"YES",0.00078964293841376,0.0108848547086725,33,"neo;tnbc_cl","Down",0.0307760111560423,"Down",0.00078964293841376,"Down",0.0108848547086725
