gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,cluster1_cluster2_pval,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd
MEGF6,6,0.000649505293468142,0.0101252126042148,-0.389585996086148,0.350605294957365,0.110871129178042,0.10789984784916,0.19602371309303,0.0653412376976768,0,0.666666666666667,,-0.497485843935308,0.497485843935308,0.401683169857687,0.401683169857687
MEGF8,6,0.000649505293468142,0.0101252126042148,-0.335380759338294,0.252117395966574,0.0797265209004921,0.119176698580956,0.169516726126224,0.0565055753754079,0.1,0.666666666666667,,-0.45455745791925,0.45455745791925,0.303807672361182,0.303807672361182
MEGF9,38,0.603780120807985,0.745739230214793,-0.399505042309161,0.852589568085924,0.269612494445072,-0.11841780426675,1.18364934887319,0.394549782957731,0.4,0.444444444444444,,-0.281087238042411,0.281087238042411,1.45874423827375,1.45874423827375
MEI1,42,0.842105263157895,0.921743320212092,-0.138489069510787,0.303144762111851,0.0958627909023365,-0.320919145021679,0.724823378709568,0.241607792903189,0.4,0.333333333333333,,0.182430075510892,-0.182430075510892,0.785662572049735,0.785662572049735
MEI4,45,,,0,0,0,0,0,0,0,0,,0,0,0,0
MEIG1,34,0.400181861482171,0.562113974409261,-0.0930942518911363,0.571913346231924,0.180854879834136,0.0936321176271872,0.614223711116245,0.204741237038748,0.3,0.444444444444444,,-0.186726369518323,0.186726369518323,0.839258984399696,0.839258984399696
MEIKIN,49.5,0.399075196548237,0.562113974409261,0.00872184110322679,0.0275808832762724,0.00872184110322679,0,0,0,0.1,0,,0.00872184110322679,-0.00872184110322679,0.0275808832762724,0.0275808832762724
MEIOB,35,0.387890870379185,0.562113974409261,-0.136712258548126,0.461553910780125,0.145956162102334,0.063525999948053,0.137771658775486,0.0459238862584953,0.2,0.333333333333333,,-0.200238258496179,0.200238258496179,0.48167732198867,0.48167732198867
MEIOC,42,0.820250099220475,0.916683910139419,-0.0797094995748246,0.199741585632167,0.0631638354051212,-0.0107788657330983,0.0459640711253606,0.0153213570417869,0.1,0.111111111111111,,-0.0689306338417263,0.0689306338417263,0.204961940040754,0.204961940040754
MEIOSIN,36,0.192975591010525,0.402392702375147,-0.00878565584037202,0.0277826831939363,0.00878565584037202,0.00605723424667395,0.0181717027400218,0.00605723424667395,0,0.111111111111111,,-0.014842890087046,0.014842890087046,0.0331977147696396,0.0331977147696396
MEIS1,10,0.00298772434995345,0.0248009666183238,-1.36386966068264,0.899928080378286,0.284582246433847,0.130549848505561,0.986071022354747,0.328690340784916,0.1,0.444444444444444,,-1.4944195091882,1.4944195091882,1.33499311270923,1.33499311270923
MEIS1-AS2,45,,,0,0,0,0,0,0,0,0,,0,0,0,0
MEIS1-AS3,45,,,0,0,0,0,0,0,0,0,,0,0,0,0
MEIS2,6,0.000649505293468142,0.0101252126042148,-1.59389719712951,0.861773651872018,0.272516756743661,0.532288524124447,1.11025923887724,0.370086412959078,0,0.777777777777778,,-2.12618572125396,2.12618572125396,1.40546412425686,1.40546412425686
MEIS3P1,6,0.000649505293468142,0.0101252126042148,-0.889059864543542,0.565714675721328,0.178894688106295,0.286198792112325,0.708061027106974,0.236020342368991,0.1,0.444444444444444,,-1.17525865665587,1.17525865665587,0.906302108810451,0.906302108810451
MELK,55,0.446967892788326,0.610214651452321,1.26981256335745,1.38808272682245,0.438950299749624,0.634876191295227,1.84656076826885,0.615520256089616,0.8,0.555555555555556,,0.634936372062223,-0.634936372062223,2.31009963581931,2.31009963581931
MELTF,6,0.000649505293468142,0.0101252126042148,-0.771673139181927,0.538819326936921,0.170389632043959,0.327962380422297,0.859146742518703,0.286382247506234,0.1,0.666666666666667,,-1.09963551960422,1.09963551960422,1.01412986952424,1.01412986952424
MELTF-AS1,14,0.010132282578103,0.055611275089125,-1.22928465060054,1.43448955641812,0.453625427800586,0.683287847272074,1.79607159791881,0.598690532639604,0.2,0.555555555555556,,-1.91257249787261,1.91257249787261,2.29861555557324,2.29861555557324
MEN1,7,0.000974257940202213,0.0126087553184561,-0.617869817549676,0.542550830570604,0.171569637101922,0.232697584714602,0.320075127864428,0.106691709288143,0.1,0.777777777777778,,-0.850567402264278,0.850567402264278,0.629928163547465,0.629928163547465
MEOX1,27,0.156400874667129,0.358192496107435,-0.875384659218258,1.4423422839359,0.456108678280675,0.0664505851123408,1.06197039035587,0.353990130118623,0.3,0.555555555555556,,-0.941835244330599,0.941835244330599,1.79112600729877,1.79112600729877
MEOX2,24,0.094719521964104,0.256735352238762,-0.658881338385168,1.17522400745316,0.371638462446268,0.146046266090064,0.895984417568681,0.298661472522893,0.4,0.666666666666667,,-0.804927604475232,0.804927604475232,1.47781580185764,1.47781580185764
MEP1A,22,0.0660736653504202,0.202803825642805,-0.0799950218912528,0.280952434135346,0.0888449606036132,0.0462959496892734,0.219307620158776,0.0731025400529254,0.2,0.333333333333333,,-0.126290971580526,0.126290971580526,0.356412825956477,0.356412825956477
MEP1B,43.5,0.93463864689513,0.995483918239593,6.61520375013373e-05,0.113426995819288,0.0358687654939346,-0.00386083306775873,0.0786715808348446,0.0262238602782815,0.4,0.333333333333333,,0.00392698510526007,-0.00392698510526007,0.138039490768556,0.138039490768556
MEPCE,3,0.000151551235142566,0.00507083818227341,-1.14011518930089,0.654332167107934,0.206917999437498,0.356716519155816,0.650134199974958,0.216711399991653,0,0.777777777777778,,-1.49683170845671,1.49683170845671,0.922401790376213,0.922401790376213
MEPE,39,0.603866406193636,0.745739230214793,-0.0303643582672571,0.123044260442082,0.0389100116007935,0.085093880608376,0.203638404517092,0.067879468172364,0.1,0.333333333333333,,-0.115458238875633,0.115458238875633,0.237925387090167,0.237925387090167
MERTK,32,0.315378120331681,0.552952426109067,-0.491589735866415,0.766131306169708,0.242271991425609,-0.355986148509908,1.61119172066957,0.537063906889857,0.3,0.444444444444444,,-0.135603587356507,0.135603587356507,1.78406724622349,1.78406724622349
MESD,3,0.000151551235142566,0.00507083818227341,-0.542218809091517,0.364573185524489,0.115288164008051,0.387716856421131,0.361332936830171,0.120444312276724,0,0.777777777777778,,-0.929935665512648,0.929935665512648,0.513298255249119,0.513298255249119
MESP1,40.5,0.399075196548237,0.562113974409261,-0.00946549649624631,0.0299325281124818,0.00946549649624631,0,0,0,0,0,,-0.00946549649624631,0.00946549649624631,0.0299325281124818,0.0299325281124818
MESP2,11,0.00413518370174717,0.0305335873048272,-0.464355254027332,0.885822456926068,0.280121656641277,0.51047477104724,1.0431301167008,0.347710038900266,0.2,0.777777777777778,,-0.974830025074572,0.974830025074572,1.36850351317151,1.36850351317151
MEST,30,0.24280672887484,0.467446442730091,-0.665627556449579,1.55951374547172,0.493161547803074,0.200749305867174,1.29989845949355,0.43329948649785,0.4,0.555555555555556,,-0.866376862316753,0.866376862316753,2.03022637341478,2.03022637341478
MESTIT1,20,0.0434735543094676,0.15273462637502,-0.142081767148317,0.161159044707299,0.0509629646811967,-0.0185258513311397,0.241685812229251,0.0805619374097504,0.2,0.666666666666667,,-0.123555915817177,0.123555915817177,0.29048970639918,0.29048970639918
MET,14,0.010132282578103,0.055611275089125,-1.21581681393934,0.827337610612615,0.261627124345736,0.0668600968958027,1.12567994115457,0.375226647051524,0.1,0.555555555555556,,-1.28267691083514,1.28267691083514,1.39701211585725,1.39701211585725
METAP1,21,0.053475935828877,0.175481589749425,-0.666154323710804,0.62041759084982,0.196193268751987,0.0794874912304368,0.740976975371541,0.246992325123847,0.1,0.333333333333333,,-0.745641814941241,0.745641814941241,0.966418576532266,0.966418576532266
METAP1D,11,0.00413518370174717,0.0305335873048272,-0.284861539390984,0.330895398334872,0.104638312600688,0.307686785601128,0.440249621221967,0.146749873740656,0.3,0.777777777777778,,-0.592548324992112,0.592548324992112,0.550737227382786,0.550737227382786
METAP2,40,0.719695165515599,0.829597315105435,-0.174080418677853,0.806865646101847,0.255153320742519,-0.0443453368592059,0.62444567191812,0.20814855730604,0.4,0.222222222222222,,-0.129735081818647,0.129735081818647,1.02027671150361,1.02027671150361
METRN,44,0.968239191149408,1,0.198127839371659,0.549939337455618,0.17390608812837,0.154575120913656,1.08457788801233,0.361525962670776,0.6,0.666666666666667,,0.043552718458003,-0.043552718458003,1.21603555459798,1.21603555459798
METRNL,2,8.66007057957522e-05,0.00391204054864174,-1.39966666976413,0.658783003273462,0.20832547741503,0.538091993232314,0.623642980089781,0.20788099336326,0,0.888888888888889,,-1.93775866299644,1.93775866299644,0.907152474514216,0.907152474514216
METTL1,13,0.0076208621100262,0.0459065798238578,-0.730481529087431,1.16162823847802,0.367339102795977,0.64296308796262,0.903166792818922,0.301055597606307,0.2,0.888888888888889,,-1.37344461705005,1.37344461705005,1.4714246226295,1.4714246226295
METTL13,23,0.0788932429799303,0.229426796638612,-0.53514648224932,1.23161761121171,0.389471685780475,0.238551754009421,0.615184176555073,0.205061392185024,0.3,0.555555555555556,,-0.773698236258741,0.773698236258741,1.37671112123444,1.37671112123444
