scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MEF2B",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.7486202507343,0.000000324528859292032,0.00000825416206697511,"YES",5.29889561131405,0.0000000582526075739283,0.00000265181247337434,"YES",0.548,5.57645719092273,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"FAM193B",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.7182314702985,0.00000032903025820048,0.00000830176052050275,"YES",5.29656048102109,0.0000000590021327572357,0.00000265181247337434,"YES",0.541,5.57645719092273,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"NFASC",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.6617711828619,0.00000033755907219979,0.00000840540770509296,"YES",4.99011593278887,0.00000030171532737749,0.00000699866010736657,"YES",0.556,5.15498509765383,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"RASSF5",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.6081370540503,0.000000345864521605095,0.00000855147552129045,"YES",5.29732206348982,0.0000000587566620252812,0.00000265181247337434,"YES",0.537,5.57645719092273,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PDE1B",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.5394086224047,0.000000356805134962479,0.00000872201560790718,"YES",5.18665730870385,0.000000107051090383732,0.00000368718638764867,"YES",0.527,5.43330490820855,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CELF6",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.4956351827213,0.000000363951996210432,0.00000882174655983094,"YES",5.27265008203591,0.0000000672338967960885,0.00000289587011538981,"YES",0.514,5.53822092087077,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"NBPF11",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.4642169206185,0.000000369169237774468,0.00000892314104413414,"YES",5.22689812249369,0.000000086188708172533,0.00000324769590751435,"YES",0.546,5.48842464195278,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"OXER1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.3988104659854,0.000000380270301623098,0.00000914025747271786,"YES",5.16250385788137,0.000000121834175788467,0.00000398222387454047,"YES",0.549,5.39987432825022,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"NXF1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.338398471144,0.000000390818369225577,0.00000926475743969096,"YES",5.25246190971111,0.0000000750397541402254,0.00000302941774339997,"YES",0.546,5.51864083523627,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MAFB",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.3252835664169,0.000000393146427668091,0.00000927630606086967,"YES",5.24654315850323,0.0000000774897781954491,0.00000306201904415091,"YES",0.502,5.51399211254568,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CCDC142",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.2552216022826,0.000000405818948859566,0.00000943884557873097,"YES",4.99667576423626,0.000000291635069997838,0.00000680778312727502,"YES",0.547,5.16699428784238,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"NBPF1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.1001385837866,0.000000435333030205402,0.00000991893083844001,"YES",5.0824634276204,0.000000186285530966166,0.00000512394342400636,"YES",0.544,5.29039567416105,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SLC9A1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",40.0427352876445,0.000000446790710869606,0.0000100399923023277,"YES",4.61383266787194,0.0000019765536275027,0.0000245149301441853,"YES",0.55,4.6105693399474,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"ROR2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.9748071787938,0.000000460737122689649,0.0000101528493106923,"YES",5.19418713482047,0.000000102808118941039,0.00000362094391160091,"YES",0.547,5.44117820234976,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"DLL1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.9617798794699,0.000000463460837135114,0.0000101528493106923,"YES",5.25146473645542,0.0000000754472123132458,0.00000302941774339997,"YES",0.534,5.51864083523627,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CD28",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.961216751785,0.00000046357893480273,0.0000101528493106923,"YES",5.04377980716159,0.000000228212256902032,0.00000577490781468514,"YES",0.47,5.238454944058,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MSC",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.9043378680226,0.000000475662900266683,0.0000103128019256312,"YES",5.11135756673169,0.000000159925965789907,0.0000047529218954423,"YES",0.557,5.32303932238884,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"ZNF592",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.841695883143,0.000000489333966810595,0.0000104504747312592,"YES",4.88803451688657,0.000000509238382855081,0.00000981365345955395,"YES",0.529,5.00816928192273,"Fun-CIM","background",NA,FALSE
