scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"NEO.TNBCCL","Fun","Fun_only",0.3,"IGFBPL1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8884412690568,0.0049382790657401,0.0105902757326559,"YES",2.69580327993194,0.00351095613504618,0.00934827751404571,"YES",0.416,2.02926840357231,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"CD3G",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8854408356976,0.00494481445284365,0.0105993334578252,"YES",2.51630227781553,0.0059296710649956,0.0139066710143247,"YES",0.395,1.85677681919118,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"PASK",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8811898492382,0.00495408827174524,0.0106142498719402,"YES",2.78887219722873,0.00264459663345319,0.00748024402491232,"YES",0.419,2.12608423409487,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"ALKBH6",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8743359684294,0.00496907646133741,0.0106256086692639,"YES",2.76970119301594,0.00280538699119422,0.00783832989312949,"YES",0.42,2.1057764622472,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"TACC3",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8731991998422,0.00497156666848035,0.0106256086692639,"YES",2.80321040217582,0.00252983246419976,0.00721527507189249,"YES",0.416,2.14174710740793,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"TRIM39-RPP21",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8635726036265,0.00499270389100393,0.0106571427623941,"YES",2.76329253771747,0.00286107278944353,0.00796479583460751,"YES",0.419,2.09882535219678,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"MYH14",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.861461264018,0.00499735156797108,0.0106571427623941,"YES",2.77300384885403,0.0027770731909068,0.00778769454453069,"YES",0.419,2.10859109107938,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"NUP50-DT",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8494059421304,0.00502397035199667,0.0107057349639175,"YES",2.72761877016044,0.00318966437478486,0.0086433872094495,"YES",0.418,2.06331603088972,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"DLL4",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8490278994358,0.00502480733748101,0.0107057349639175,"YES",2.63540029830325,0.00420190551714627,0.010781050249645,"YES",0.409,1.96733892974222,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"IFT122",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8329306702622,0.00506057387064599,0.010771927203766,"YES",2.77929032517894,0.00272389054297233,0.00766530793195335,"YES",0.419,2.11547039391307,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"SULT2B1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8298270035401,0.00506749861355817,0.0107816617833709,"YES",2.74360098485963,0.0030384676850966,0.00834214032105864,"YES",0.418,2.07872250926975,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"OXLD1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8085658939949,0.00511518610310053,0.0108637309286407,"YES",2.56593603929277,0.00514489001164951,0.0125009648666736,"YES",0.401,1.90305646538391,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"SRP14-DT",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8084045647172,0.00511554963466416,0.0108637309286407,"YES",2.57952221386452,0.00494685475456389,0.0121355425626942,"YES",0.403,1.91594080221489,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"P2RX1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.8036549881547,0.00512626347275706,0.0108814435289774,"YES",2.70216606697393,0.00344446725550782,0.00920331140239122,"YES",0.415,2.03605588297701,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"OR1J2",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.7998308719182,0.00513490571350215,0.0108947444222153,"YES",2.78193092806624,0.00270182696417943,0.00761393769561321,"YES",0.417,2.11839068131231,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"RDH11",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.7965415222788,0.00514235086033148,0.0109054943083348,"YES",2.7160019801867,0.00330377614199429,0.00891047859473165,"YES",0.416,2.05009896875,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"OR7D2",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.7811619354703,0.00517730201774705,0.0109694684618162,"YES",2.52668675878782,0.00575720750038591,0.0135785989656736,"YES",0.396,1.86714503807218,"Fun-CIM","background",NA,FALSE
"NEO.TNBCCL","Fun","Fun_only",0.3,"TES",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",14.7721753659215,0.00519783244189673,0.0109986906168301,"YES",2.77094420083589,0.00279470021233711,0.00781799906867948,"YES",0.417,2.10690438563918,"Fun-CIM","background",NA,FALSE
