scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MAP3K14",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.1492712678917,4.37120355775846e-08,2.5314842617381e-06,"YES",5.65145679723165,7.95468382837356e-09,8.26999599458259e-07,"YES",0.584,33,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SLC36A1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.1430474932814,2.77262145929627e-08,1.97872347898287e-06,"YES",5.6388039819128,8.56176613952768e-09,8.49189425494073e-07,"YES",0.56,34,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"HLA-E",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.5158639737478,2.33681019317685e-08,1.84690014211263e-06,"YES",5.62315948971145,9.37480727229784e-09,8.98905071406414e-07,"YES",0.572,35,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CLDN15",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.9004710683536,4.89823983556457e-08,2.62527400876315e-06,"YES",5.62314616100486,9.37553093366291e-09,8.98905071406414e-07,"YES",0.569,36,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TNFRSF1B",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.5305881748642,5.80088630367861e-08,2.99735616254148e-06,"YES",5.60883282523541,1.01847831741797e-08,9.65763670439525e-07,"YES",0.539,37,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"HAAO",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.251313240381,6.59050794589563e-08,3.19491534073783e-06,"YES",5.59898542884332,1.07804958648361e-08,9.93525294043402e-07,"YES",0.543,38,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"NBPF12",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.948574045002,4.79163143431402e-08,2.60043947463495e-06,"YES",5.58403054666214,1.17503700330844e-08,1.04529838160294e-06,"YES",0.586,39,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TSHZ2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",47.2787051873797,1.6462772444842e-08,1.49533961501622e-06,"YES",5.58111677871244,1.19489557234967e-08,1.04797016315776e-06,"YES",0.532,40,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TMEM91",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.1582285963419,6.8767837023183e-08,3.26042673446729e-06,"YES",5.57340988794422,1.24900445736817e-08,1.0670949963e-06,"YES",0.57,41,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"RANBP10",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.5445276832317,2.30627633965027e-08,1.84690014211263e-06,"YES",5.56562694436333,1.3060576993335e-08,1.08089057842259e-06,"YES",0.56,42,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SHOX2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",44.2167598821196,6.695362881198e-08,3.22761375988031e-06,"YES",5.56440302368977,1.31525681694717e-08,1.08089057842259e-06,"YES",0.552,43,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PIK3CG",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.4849919874683,2.37014688012475e-08,1.84690014211263e-06,"YES",5.5491665138319,1.43517350400019e-08,1.14667705240904e-06,"YES",0.513,44,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TRANK1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",43.2839772333521,1.02482384310383e-07,4.09407636210321e-06,"YES",5.52515272384848,1.64599560941721e-08,1.29120873760556e-06,"YES",0.563,45,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CASS4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",43.596263586875,8.88781371547203e-08,3.7229584733402e-06,"YES",5.52275898650036,1.66858682186206e-08,1.29713835007637e-06,"YES",0.543,46,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"COL6A6",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",46.0821475078774,2.85113182295698e-08,2.00019646343868e-06,"YES",5.51709465712157,1.72324911081049e-08,1.32767112296283e-06,"YES",0.489,47,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SYT11",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",52.0212769942104,1.84653608255181e-09,4.48524470840444e-07,"YES",5.51163638370409,1.77756396168089e-08,1.33379125437777e-06,"YES",0.617,48,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TMEM175",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",50.5849899052269,3.58814834904127e-09,6.62559841975379e-07,"YES",5.50964917634775,1.79774786523403e-08,1.33730744216418e-06,"YES",0.623,49,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"CCDC159",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.906078464491,3.09078829159757e-08,2.08363583323043e-06,"YES",5.50643613811088,1.8308535447586e-08,1.35029361006171e-06,"YES",0.599,50,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"TYK2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.4108926355152,3.87782657658178e-08,2.36086222565243e-06,"YES",5.50207330724788,1.87675406939091e-08,1.37241617498086e-06,"YES",0.589,51,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"ITIH4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",43.257983457113,1.0370410343457e-07,4.1237912835802e-06,"YES",5.49931439170522,1.9063540219963e-08,1.38234696267278e-06,"YES",0.531,52,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SIRPA",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",45.3115716713221,4.05823680270083e-08,2.43184203961843e-06,"YES",5.46654391838874,2.29447383150648e-08,1.51876971319672e-06,"YES",0.589,53,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"BLNK",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",42.9114024963387,1.21448174495607e-07,4.56466076043976e-06,"YES",5.45907235650138,2.39314344079587e-08,1.56442687504755e-06,"YES",0.568,54,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PHACTR4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",53.5332771006548,9.16170131477954e-10,3.75978561916524e-07,"YES",5.45091922329816,2.5055064315992e-08,1.57810328454522e-06,"YES",0.626,55,TRUE,TRUE,"ALL3_NKI.NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | top 200"
