cohort,gene,nonfinite_n,variance,finite_complete,variable,retained,exclusion_reason
METABRIC,ACSM2A.1,0,0.01612381581114398,TRUE,TRUE,TRUE,retained
METABRIC,ACSM2B,0,0.0213694986992692,TRUE,TRUE,TRUE,retained
METABRIC,ACSM3,0,0.20661671550451352,TRUE,TRUE,TRUE,retained
METABRIC,ACSM4,0,0.017087462146905256,TRUE,TRUE,TRUE,retained
METABRIC,ACSM5,0,0.06922803705754038,TRUE,TRUE,TRUE,retained
METABRIC,ACSS1,0,0.470924853611614,TRUE,TRUE,TRUE,retained
METABRIC,ACSS2,0,0.3285933245985292,TRUE,TRUE,TRUE,retained
METABRIC,ACSS3,0,0.02576864407470744,TRUE,TRUE,TRUE,retained
METABRIC,ACTA1,0,1.3635914954893742,TRUE,TRUE,TRUE,retained
METABRIC,ACTA2,0,0.775739581075514,TRUE,TRUE,TRUE,retained
METABRIC,ACTB,0,0.5459208727037036,TRUE,TRUE,TRUE,retained
METABRIC,ACTBL2,0,0.024187813366999166,TRUE,TRUE,TRUE,retained
METABRIC,ACTC1,0,0.047233529731868486,TRUE,TRUE,TRUE,retained
METABRIC,ACTG1,0,1.212325326767753,TRUE,TRUE,TRUE,retained
METABRIC,ACTG1P20,0,0.017378563075173513,TRUE,TRUE,TRUE,retained
METABRIC,ACTG2,0,3.5103863465913325,TRUE,TRUE,TRUE,retained
METABRIC,ACTL10,0,0.13001891654636802,TRUE,TRUE,TRUE,retained
METABRIC,ACTL6A,0,0.3700149911010033,TRUE,TRUE,TRUE,retained
METABRIC,ACTL6B,0,0.052608368892504837,TRUE,TRUE,TRUE,retained
METABRIC,ACTL7A,0,0.01909252415080054,TRUE,TRUE,TRUE,retained
METABRIC,ACTL7B,0,0.04658800310293522,TRUE,TRUE,TRUE,retained
METABRIC,ACTL8,0,0.24496377577490755,TRUE,TRUE,TRUE,retained
METABRIC,ACTL9,0,0.018632426567189515,TRUE,TRUE,TRUE,retained
METABRIC,ACTN1,0,0.5080904866257383,TRUE,TRUE,TRUE,retained
METABRIC,ACTN2,0,0.04184520316553258,TRUE,TRUE,TRUE,retained
METABRIC,ACTN3,0,0.023041516726236985,TRUE,TRUE,TRUE,retained
METABRIC,ACTN4,0,0.38360638404255226,TRUE,TRUE,TRUE,retained
METABRIC,ACTR10,0,0.30781770438516565,TRUE,TRUE,TRUE,retained
METABRIC,ACTR1A,0,0.16891959335531317,TRUE,TRUE,TRUE,retained
METABRIC,ACTR1B,0,0.09999235589543479,TRUE,TRUE,TRUE,retained
METABRIC,ACTR2,0,0.15349428647140734,TRUE,TRUE,TRUE,retained
METABRIC,ACTR3,0,0.6441437871833804,TRUE,TRUE,TRUE,retained
METABRIC,ACTR3B,0,0.8752950305555737,TRUE,TRUE,TRUE,retained
METABRIC,ACTR3BP2,0,0.01761351990404041,TRUE,TRUE,TRUE,retained
METABRIC,ACTR3BP5,0,0.016347390080367254,TRUE,TRUE,TRUE,retained
METABRIC,ACTR3C,0,0.04751583669578624,TRUE,TRUE,TRUE,retained
METABRIC,ACTR5,0,0.10831552473265327,TRUE,TRUE,TRUE,retained
METABRIC,ACTR6,0,0.2706235404813944,TRUE,TRUE,TRUE,retained
METABRIC,ACTR8,0,0.0542283734955999,TRUE,TRUE,TRUE,retained
METABRIC,ACTRT1,0,0.13130306184552046,TRUE,TRUE,TRUE,retained
METABRIC,ACTRT2,0,0.013889291801053102,TRUE,TRUE,TRUE,retained
METABRIC,ACTRT3,0,0.06767671876709906,TRUE,TRUE,TRUE,retained
METABRIC,ACVR1,0,0.23147815741016428,TRUE,TRUE,TRUE,retained
METABRIC,ACVR1B,0,0.344720603004988,TRUE,TRUE,TRUE,retained
METABRIC,ACVR1C,0,0.021209935514512557,TRUE,TRUE,TRUE,retained
METABRIC,ACVR2A,0,0.14415306739274636,TRUE,TRUE,TRUE,retained
METABRIC,ACVR2B,0,0.05344026428210363,TRUE,TRUE,TRUE,retained
METABRIC,ACVRL1,0,0.1363358154907838,TRUE,TRUE,TRUE,retained
METABRIC,ACY1,0,0.36554038390181115,TRUE,TRUE,TRUE,retained
METABRIC,ACY3,0,0.31351138966890685,TRUE,TRUE,TRUE,retained
METABRIC,ACYP1,0,0.21752801393883825,TRUE,TRUE,TRUE,retained
METABRIC,ACYP2,0,0.34162566324731547,TRUE,TRUE,TRUE,retained
METABRIC,ADA,0,0.3977933162687104,TRUE,TRUE,TRUE,retained
METABRIC,ADA2,0,0.8726597623899516,TRUE,TRUE,TRUE,retained
METABRIC,ADAD1,0,0.018187532928484594,TRUE,TRUE,TRUE,retained
METABRIC,ADAD2,0,0.026298926580445813,TRUE,TRUE,TRUE,retained
METABRIC,ADAL,0,0.0718455960854128,TRUE,TRUE,TRUE,retained
METABRIC,ADAM10,0,0.1514905009221065,TRUE,TRUE,TRUE,retained
METABRIC,ADAM11,0,0.024901960979314068,TRUE,TRUE,TRUE,retained
METABRIC,ADAM12,0,0.06877501450325639,TRUE,TRUE,TRUE,retained
METABRIC,ADAM15,0,0.5617088618677524,TRUE,TRUE,TRUE,retained
METABRIC,ADAM17,0,0.2925477022230351,TRUE,TRUE,TRUE,retained
METABRIC,ADAM18,0,0.020340592834276205,TRUE,TRUE,TRUE,retained
METABRIC,ADAM19,0,0.6016261433998623,TRUE,TRUE,TRUE,retained
METABRIC,ADAM2,0,0.03493224940830067,TRUE,TRUE,TRUE,retained
METABRIC,ADAM20,0,0.019225866376169305,TRUE,TRUE,TRUE,retained
METABRIC,ADAM20P1,0,0.013404916639969395,TRUE,TRUE,TRUE,retained
