column,normalized_symbol,selected_signature_gene,detection_method
FAM149A,FAM149A,FALSE,user-specified first gene-column index: 39
PM20D2,PM20D2,FALSE,user-specified first gene-column index: 39
SLU7,SLU7,FALSE,user-specified first gene-column index: 39
BUD13,BUD13,FALSE,user-specified first gene-column index: 39
MAML2,MAML2,FALSE,user-specified first gene-column index: 39
MYH15,MYH15,FALSE,user-specified first gene-column index: 39
TAT,TAT,FALSE,user-specified first gene-column index: 39
NECAB3,NECAB3,FALSE,user-specified first gene-column index: 39
LOC100128563,LOC100128563,FALSE,user-specified first gene-column index: 39
FEZF1,FEZF1,FALSE,user-specified first gene-column index: 39
ZFR2,ZFR2,FALSE,user-specified first gene-column index: 39
CCDC85C,CCDC85C,FALSE,user-specified first gene-column index: 39
FOCAD,FOCAD,FALSE,user-specified first gene-column index: 39
TTTY18,TTTY18,FALSE,user-specified first gene-column index: 39
DOK7,DOK7,FALSE,user-specified first gene-column index: 39
PIGR,PIGR,FALSE,user-specified first gene-column index: 39
PURA,PURA,FALSE,user-specified first gene-column index: 39
CRB1,CRB1,FALSE,user-specified first gene-column index: 39
KRT76,KRT76,FALSE,user-specified first gene-column index: 39
PLA2G3,PLA2G3,FALSE,user-specified first gene-column index: 39
LOC100128571,LOC100128571,FALSE,user-specified first gene-column index: 39
WNT2,WNT2,TRUE,user-specified first gene-column index: 39
FAM177B,FAM177B,FALSE,user-specified first gene-column index: 39
GSTM1,GSTM1,FALSE,user-specified first gene-column index: 39
MTHFSD,MTHFSD,FALSE,user-specified first gene-column index: 39
THORLNC,THORLNC,FALSE,user-specified first gene-column index: 39
CCZ1B,CCZ1B,FALSE,user-specified first gene-column index: 39
CD40LG,CD40LG,FALSE,user-specified first gene-column index: 39
TTYH1,TTYH1,FALSE,user-specified first gene-column index: 39
TCOF1,TCOF1,FALSE,user-specified first gene-column index: 39
LCE1B,LCE1B,FALSE,user-specified first gene-column index: 39
ADCY7,ADCY7,FALSE,user-specified first gene-column index: 39
C14orf184,C14ORF184,FALSE,user-specified first gene-column index: 39
GLIS1,GLIS1,FALSE,user-specified first gene-column index: 39
LRATD2,LRATD2,FALSE,user-specified first gene-column index: 39
LINC01602,LINC01602,FALSE,user-specified first gene-column index: 39
POMGNT2,POMGNT2,FALSE,user-specified first gene-column index: 39
HMGN2P46,HMGN2P46,FALSE,user-specified first gene-column index: 39
SMIM11A,SMIM11A,FALSE,user-specified first gene-column index: 39
RPL11,RPL11,FALSE,user-specified first gene-column index: 39
RIC1,RIC1,FALSE,user-specified first gene-column index: 39
NRN1L,NRN1L,FALSE,user-specified first gene-column index: 39
DNAJB1,DNAJB1,FALSE,user-specified first gene-column index: 39
PUS1,PUS1,FALSE,user-specified first gene-column index: 39
NCALD,NCALD,FALSE,user-specified first gene-column index: 39
MAPKAP1,MAPKAP1,FALSE,user-specified first gene-column index: 39
PTDSS1,PTDSS1,FALSE,user-specified first gene-column index: 39
CPVL,CPVL,FALSE,user-specified first gene-column index: 39
CTH,CTH,FALSE,user-specified first gene-column index: 39
BOLA2B,BOLA2B,FALSE,user-specified first gene-column index: 39
PTGES3L-AARSD1,PTGES3L-AARSD1,FALSE,user-specified first gene-column index: 39
ARHGAP33,ARHGAP33,FALSE,user-specified first gene-column index: 39
NDN,NDN,FALSE,user-specified first gene-column index: 39
WDR17,WDR17,FALSE,user-specified first gene-column index: 39
GCSH,GCSH,FALSE,user-specified first gene-column index: 39
RAD51AP2,RAD51AP2,FALSE,user-specified first gene-column index: 39
ELAC2,ELAC2,FALSE,user-specified first gene-column index: 39
BRICD5,BRICD5,FALSE,user-specified first gene-column index: 39
RFXANK,RFXANK,FALSE,user-specified first gene-column index: 39
DRD5,DRD5,FALSE,user-specified first gene-column index: 39
GLIS2,GLIS2,FALSE,user-specified first gene-column index: 39
MOSMO,MOSMO,FALSE,user-specified first gene-column index: 39
C8orfK29,C8ORFK29,FALSE,user-specified first gene-column index: 39
KCNJ8,KCNJ8,FALSE,user-specified first gene-column index: 39
USP45,USP45,FALSE,user-specified first gene-column index: 39
GRAPL,GRAPL,FALSE,user-specified first gene-column index: 39
AASS,AASS,FALSE,user-specified first gene-column index: 39
CST8,CST8,FALSE,user-specified first gene-column index: 39
FCF1,FCF1,FALSE,user-specified first gene-column index: 39
OCRL,OCRL,FALSE,user-specified first gene-column index: 39
TMEM248,TMEM248,FALSE,user-specified first gene-column index: 39
LINC00486,LINC00486,FALSE,user-specified first gene-column index: 39
IL34,IL34,FALSE,user-specified first gene-column index: 39
MAPK13,MAPK13,FALSE,user-specified first gene-column index: 39
PSMD3,PSMD3,FALSE,user-specified first gene-column index: 39
PCDHGB4,PCDHGB4,FALSE,user-specified first gene-column index: 39
LOC646999,LOC646999,FALSE,user-specified first gene-column index: 39
SPAG11A,SPAG11A,FALSE,user-specified first gene-column index: 39
URM1,URM1,FALSE,user-specified first gene-column index: 39
KCNJ4,KCNJ4,FALSE,user-specified first gene-column index: 39
RARS1,RARS1,FALSE,user-specified first gene-column index: 39
ZFAND2B,ZFAND2B,FALSE,user-specified first gene-column index: 39
NFRKB,NFRKB,FALSE,user-specified first gene-column index: 39
RTN4RL2,RTN4RL2,FALSE,user-specified first gene-column index: 39
NUCB2,NUCB2,FALSE,user-specified first gene-column index: 39
PLOD1,PLOD1,FALSE,user-specified first gene-column index: 39
NAG20,NAG20,FALSE,user-specified first gene-column index: 39
GAL,GAL,FALSE,user-specified first gene-column index: 39
OTUD5,OTUD5,FALSE,user-specified first gene-column index: 39
STX11,STX11,TRUE,user-specified first gene-column index: 39
GRXCR2,GRXCR2,FALSE,user-specified first gene-column index: 39
LINC02731,LINC02731,FALSE,user-specified first gene-column index: 39
DGCR5,DGCR5,FALSE,user-specified first gene-column index: 39
PCP4L1,PCP4L1,FALSE,user-specified first gene-column index: 39
DENND1A,DENND1A,FALSE,user-specified first gene-column index: 39
NAT14,NAT14,FALSE,user-specified first gene-column index: 39
NSUN5P2,NSUN5P2,FALSE,user-specified first gene-column index: 39
NDFIP1,NDFIP1,FALSE,user-specified first gene-column index: 39
PLXNC1,PLXNC1,FALSE,user-specified first gene-column index: 39
ZNF251,ZNF251,FALSE,user-specified first gene-column index: 39
C11orf76,C11ORF76,FALSE,user-specified first gene-column index: 39
TMEM220,TMEM220,FALSE,user-specified first gene-column index: 39
VIPR2,VIPR2,FALSE,user-specified first gene-column index: 39
GLRB,GLRB,FALSE,user-specified first gene-column index: 39
AFG3L1P,AFG3L1P,FALSE,user-specified first gene-column index: 39
KLRF1,KLRF1,FALSE,user-specified first gene-column index: 39
OR2A25,OR2A25,FALSE,user-specified first gene-column index: 39
GLA,GLA,FALSE,user-specified first gene-column index: 39
GPX1,GPX1,FALSE,user-specified first gene-column index: 39
PRR7,PRR7,FALSE,user-specified first gene-column index: 39
C17orf67,C17ORF67,FALSE,user-specified first gene-column index: 39
LXN,LXN,FALSE,user-specified first gene-column index: 39
ZNF217,ZNF217,FALSE,user-specified first gene-column index: 39
KMT2D,KMT2D,FALSE,user-specified first gene-column index: 39
FKBP10,FKBP10,FALSE,user-specified first gene-column index: 39
AAAS,AAAS,FALSE,user-specified first gene-column index: 39
RELL2,RELL2,FALSE,user-specified first gene-column index: 39
KCNJ2,KCNJ2,FALSE,user-specified first gene-column index: 39
TRHR,TRHR,FALSE,user-specified first gene-column index: 39
ACAP2,ACAP2,FALSE,user-specified first gene-column index: 39
FTHL17,FTHL17,FALSE,user-specified first gene-column index: 39
GJA5,GJA5,FALSE,user-specified first gene-column index: 39
FBXL12,FBXL12,FALSE,user-specified first gene-column index: 39
NCF2,NCF2,FALSE,user-specified first gene-column index: 39
SUGP2,SUGP2,FALSE,user-specified first gene-column index: 39
GUSBP14,GUSBP14,FALSE,user-specified first gene-column index: 39
ZFP42,ZFP42,FALSE,user-specified first gene-column index: 39
UPF3A,UPF3A,FALSE,user-specified first gene-column index: 39
JTB,JTB,FALSE,user-specified first gene-column index: 39
PRR26,PRR26,FALSE,user-specified first gene-column index: 39
ACBD4,ACBD4,FALSE,user-specified first gene-column index: 39
STAC2,STAC2,FALSE,user-specified first gene-column index: 39
LOC729609,LOC729609,FALSE,user-specified first gene-column index: 39
LOC100132874,LOC100132874,FALSE,user-specified first gene-column index: 39
UGT3A1,UGT3A1,FALSE,user-specified first gene-column index: 39
TCL1A,TCL1A,FALSE,user-specified first gene-column index: 39
SCML2,SCML2,FALSE,user-specified first gene-column index: 39
ARMH4,ARMH4,FALSE,user-specified first gene-column index: 39
TIGD3,TIGD3,FALSE,user-specified first gene-column index: 39
NR5A1,NR5A1,FALSE,user-specified first gene-column index: 39
ZNF214,ZNF214,FALSE,user-specified first gene-column index: 39
PKD2,PKD2,FALSE,user-specified first gene-column index: 39
TDG,TDG,FALSE,user-specified first gene-column index: 39
LY96,LY96,FALSE,user-specified first gene-column index: 39
MED29,MED29,FALSE,user-specified first gene-column index: 39
NAP1L4,NAP1L4,FALSE,user-specified first gene-column index: 39
CDX1,CDX1,FALSE,user-specified first gene-column index: 39
C6orf201,C6ORF201,FALSE,user-specified first gene-column index: 39
COL8A2,COL8A2,FALSE,user-specified first gene-column index: 39
ETV4,ETV4,FALSE,user-specified first gene-column index: 39
SLC22A24,SLC22A24,FALSE,user-specified first gene-column index: 39
FLJ13224,FLJ13224,FALSE,user-specified first gene-column index: 39
AGGF1,AGGF1,FALSE,user-specified first gene-column index: 39
CHID1,CHID1,FALSE,user-specified first gene-column index: 39
CACTIN,CACTIN,FALSE,user-specified first gene-column index: 39
UGT2B11,UGT2B11,FALSE,user-specified first gene-column index: 39
OR4M1,OR4M1,FALSE,user-specified first gene-column index: 39
AGMO,AGMO,FALSE,user-specified first gene-column index: 39
LINC01132,LINC01132,FALSE,user-specified first gene-column index: 39
H1-1,H1-1,FALSE,user-specified first gene-column index: 39
LYPLA1,LYPLA1,FALSE,user-specified first gene-column index: 39
SLC26A10,SLC26A10,FALSE,user-specified first gene-column index: 39
KRTAP9-4,KRTAP9-4,FALSE,user-specified first gene-column index: 39
CLCNKB,CLCNKB,FALSE,user-specified first gene-column index: 39
FRAT1,FRAT1,FALSE,user-specified first gene-column index: 39
FAM151B,FAM151B,FALSE,user-specified first gene-column index: 39
MIR99AHG,MIR99AHG,FALSE,user-specified first gene-column index: 39
CYP4F8,CYP4F8,FALSE,user-specified first gene-column index: 39
OR4C11,OR4C11,FALSE,user-specified first gene-column index: 39
BBOF1,BBOF1,FALSE,user-specified first gene-column index: 39
FAM75D3,FAM75D3,FALSE,user-specified first gene-column index: 39
TP53I11,TP53I11,FALSE,user-specified first gene-column index: 39
NDUFS7,NDUFS7,FALSE,user-specified first gene-column index: 39
FAM166C,FAM166C,FALSE,user-specified first gene-column index: 39
WAS,WAS,TRUE,user-specified first gene-column index: 39
BTN2A2,BTN2A2,TRUE,user-specified first gene-column index: 39
MREG,MREG,FALSE,user-specified first gene-column index: 39
NTS,NTS,FALSE,user-specified first gene-column index: 39
AKR7A3,AKR7A3,FALSE,user-specified first gene-column index: 39
ADAMTS19,ADAMTS19,FALSE,user-specified first gene-column index: 39
FGFR4,FGFR4,FALSE,user-specified first gene-column index: 39
REC8,REC8,FALSE,user-specified first gene-column index: 39
PCDHGA1,PCDHGA1,FALSE,user-specified first gene-column index: 39
IQCG,IQCG,FALSE,user-specified first gene-column index: 39
RGPD3,RGPD3,FALSE,user-specified first gene-column index: 39
CUL1,CUL1,FALSE,user-specified first gene-column index: 39
CCDC50,CCDC50,FALSE,user-specified first gene-column index: 39
MRPL42,MRPL42,FALSE,user-specified first gene-column index: 39
RNF144B,RNF144B,FALSE,user-specified first gene-column index: 39
RABAC1,RABAC1,FALSE,user-specified first gene-column index: 39
CAPN2,CAPN2,FALSE,user-specified first gene-column index: 39
TCIRG1,TCIRG1,FALSE,user-specified first gene-column index: 39
TM9SF4,TM9SF4,FALSE,user-specified first gene-column index: 39
PCK1,PCK1,FALSE,user-specified first gene-column index: 39
MTCH2,MTCH2,FALSE,user-specified first gene-column index: 39
TAS2R3,TAS2R3,FALSE,user-specified first gene-column index: 39
WDR6,WDR6,FALSE,user-specified first gene-column index: 39
CIB3,CIB3,FALSE,user-specified first gene-column index: 39
CLEC19A,CLEC19A,FALSE,user-specified first gene-column index: 39
GAS6,GAS6,FALSE,user-specified first gene-column index: 39
BRD7P3,BRD7P3,FALSE,user-specified first gene-column index: 39
SERHL2,SERHL2,FALSE,user-specified first gene-column index: 39
DMAC1,DMAC1,FALSE,user-specified first gene-column index: 39
C1orf167,C1ORF167,FALSE,user-specified first gene-column index: 39
BAIAP2,BAIAP2,FALSE,user-specified first gene-column index: 39
AGPAT4-IT1,AGPAT4-IT1,FALSE,user-specified first gene-column index: 39
DCAF12L2,DCAF12L2,FALSE,user-specified first gene-column index: 39
UBA5,UBA5,FALSE,user-specified first gene-column index: 39
RNASEL,RNASEL,FALSE,user-specified first gene-column index: 39
NUDT14,NUDT14,FALSE,user-specified first gene-column index: 39
CGNL1,CGNL1,TRUE,user-specified first gene-column index: 39
MOBKL3,MOBKL3,FALSE,user-specified first gene-column index: 39
SYT5,SYT5,FALSE,user-specified first gene-column index: 39
TP53TG3D,TP53TG3D,FALSE,user-specified first gene-column index: 39
UBIAD1,UBIAD1,FALSE,user-specified first gene-column index: 39
CPTP,CPTP,FALSE,user-specified first gene-column index: 39
EML4,EML4,FALSE,user-specified first gene-column index: 39
BCL10,BCL10,FALSE,user-specified first gene-column index: 39
NXPH3,NXPH3,FALSE,user-specified first gene-column index: 39
EFR3A,EFR3A,FALSE,user-specified first gene-column index: 39
TRAM1,TRAM1,FALSE,user-specified first gene-column index: 39
ARHGAP9,ARHGAP9,FALSE,user-specified first gene-column index: 39
CEMIP,CEMIP,FALSE,user-specified first gene-column index: 39
ONECUT2,ONECUT2,FALSE,user-specified first gene-column index: 39
HSP90AB3P,HSP90AB3P,FALSE,user-specified first gene-column index: 39
ESRP2,ESRP2,FALSE,user-specified first gene-column index: 39
BTG4,BTG4,FALSE,user-specified first gene-column index: 39
CHST11,CHST11,FALSE,user-specified first gene-column index: 39
CALCR,CALCR,FALSE,user-specified first gene-column index: 39
C12orf29,C12ORF29,FALSE,user-specified first gene-column index: 39
