gene,signature,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,source_p_adjust,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,selected,selection_source
MIR3667HG,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00543517900755493,0.00312869416759326,0.349,0.349,0.00312869416759326,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MKNK1-AS1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00143266385741228,7.9912711982479e-4,0.409,0.409,7.9912711982479e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MOB3C,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,5.9569237459011e-6,1.7211885242812e-6,0.544,0.544,1.7211885242812e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MOCS1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00275618848561874,0.0012879096997104,0.38,0.38,0.0012879096997104,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MOXD1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,6.39806898577959e-5,3.4590709956643e-5,0.501,0.501,3.4590709956643e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MPEG1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.8564776756454e-6,8.06880315883187e-7,0.526,0.526,8.06880315883187e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MPL,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.0033881212978465,0.00165626869605345,0.373,0.373,0.00165626869605345,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MPP4,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00880491211065701,0.00541904380220234,0.327,0.327,0.00541904380220234,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MR1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,8.47148156584435e-5,2.67079504511182e-5,0.477,0.477,2.67079504511182e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MRGPRX2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.0011612580191954,5.7292644607861e-4,0.415,0.415,5.7292644607861e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MSC,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.03128019256312e-5,4.7529218954423e-6,0.557,0.557,4.7529218954423e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MTX2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00279135619323198,0.00264771368050526,0.437,0.437,0.00264771368050526,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MUC20,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00130091330557782,6.3351951982132e-4,0.41,0.41,6.3351951982132e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MYH11,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,6.489238397583e-6,4.88174835564415e-6,0.526,0.526,4.88174835564415e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MYH3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.12135033945882e-5,4.66379447951408e-6,0.53,0.53,4.66379447951408e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
