cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,parameters_n,events_per_parameter,concordance,concordance_se,aic,log_likelihood,lr_chisq,lr_df,lr_p,wald_chisq,wald_df,wald_p,score_chisq,score_df,score_p,global_ph_p,max_vif,model_status,warning_text
SCANB,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,8,32.625,0.707800868454869,0.016529622164467826,3766.3839604960126,-1875.1919802480063,142.08823673404595,8,8.726277777895315e-27,143.23,8,5.04692756267312e-27,150.61372766591444,8,1.460191465304643e-28,2.691576320193774e-6,1.198085413163293,converged,NA
SCANB,DRFi,DRFi,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,1,177,0.5130200586249707,0.02222994492355304,2552.050552647189,-1275.0252763235944,0.4380605892592939,1,0.5080600146896522,0.44,1,0.5073209515935524,0.43973951767722613,1,0.5072482058744702,0.530046761599777,NA,converged,NA
SCANB,DRFi,DRFi,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,8,22.125,0.6756230390581927,0.018773439260856728,2512.1473457308352,-1248.0736728654176,54.341267505612905,8,5.92733772164862e-9,58.65,8,8.584158074741853e-10,64.48204736236593,8,6.10905936215878e-11,0.0013609711945934896,1.209217806697469,converged,NA
SCANB,DRFi,DRFi,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,1,177,0.5037225666472308,0.019413075819447276,2552.4837891200286,-1275.2418945600143,0.004824116419513302,1,0.9446267667730411,0,1,0.9446195732003398,0.004825415926538172,1,0.9446193211185655,0.68828399427414,NA,converged,NA
SCANB,DRFi,DRFi,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,8,22.125,0.6755159433741487,0.01876902910901053,2512.170847698132,-1248.085423849066,54.31776553831605,8,5.989918052886563e-9,58.59,8,8.785792883862607e-10,64.43698994580735,8,6.235578763186288e-11,0.0013428842534657466,1.2059451182265897,converged,NA
SCANB,DRFi,DRFi,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.12885907966821492,-0.055289421812261076,1867,177,1690,808,1059,77,100,1867,0,1,177,0.5398693432654664,0.021699595937355355,2548.4879678674038,-1273.2439839337019,4.000645369044378,1,0.045482845360257526,3.95,1,0.0467327372920187,3.9552054769943603,1,0.046726613180394894,0.9395540584173535,NA,converged,NA
SCANB,DRFi,DRFi,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,1867,177,1690,808,1059,77,100,1867,0,8,22.125,0.6810055888081044,0.018706327428938727,2509.470401096112,-1246.735200548056,57.018212140336345,8,1.7860630518406544e-9,61.18,8,2.7369295846546335e-10,67.07628673890693,8,1.872522247252798e-11,0.0014403990844368772,1.2206916357439617,converged,NA
SCANB,DRFi,DRFi,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.12885907966821492,-0.055289421812261076,1867,177,1690,808,1059,77,100,1867,0,1,177,0.515669685178354,0.01929051272425103,2551.746208535109,-1274.8731042675545,0.7424047013391828,1,0.3888916537863204,0.75,1,0.3873957154299035,0.7481630811911326,1,0.38705843402363294,0.6831812089806375,NA,converged,NA
SCANB,DRFi,DRFi,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,1867,177,1690,808,1059,77,100,1867,0,8,22.125,0.6760038237125711,0.018842557453947015,2511.8705545919634,-1247.9352772959817,54.61805864448479,8,5.2374972339589816e-9,58.79,8,8.061572286735019e-10,64.68143035121466,8,5.5792164705017814e-11,0.0012636734523431812,1.2110829125524214,converged,NA
SCANB,RFi,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.3886774662091883,-0.05189421448763552,1866,214,1652,981,885,110,104,1866,0,1,214,0.5303580437033694,0.020588164609438964,3072.5666783458337,-1535.2833391729168,1.8431757254011245,1,0.17457918849849197,1.85,1,0.1733525599738437,1.8559072062428354,1,0.1730979114511017,0.24395544520614731,NA,converged,NA
SCANB,RFi,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1866,214,1652,981,885,110,104,1866,0,8,26.75,0.6565262990202586,0.017980863187126734,3041.5057213882014,-1512.7528606941007,46.90413268303337,8,1.599282528218756e-7,50.96,8,2.672983585368576e-8,54.06490251948161,8,6.706279966563558e-9,0.0023428667865190386,1.2091469128655918,converged,NA
SCANB,RFi,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.3886774662091883,-0.05189421448763552,1866,214,1652,981,885,110,104,1866,0,1,214,0.5175586782784165,0.017737435810393585,3073.816015923738,-1535.908007961869,0.5938381474966263,1,0.44093875706207436,0.59,1,0.44060937754384877,0.5952450540840695,1,0.4403980260827568,0.4008299898872045,NA,converged,NA
SCANB,RFi,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1866,214,1652,981,885,110,104,1866,0,8,26.75,0.6546411597589146,0.018042531132984537,3041.9469629186906,-1512.9734814593453,46.462891152544216,8,1.940761336837793e-7,50.44,8,3.3657370829477204e-8,53.55136855403361,8,8.434066314342606e-9,0.0026939871001705872,1.2059207497005813,converged,NA
SCANB,RFi,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,1,214,0.5435506996256273,0.020117171948439535,3070.1680191363403,-1534.0840095681701,4.241834934894541,1,0.039439519159548554,4.2,1,0.04049446527808786,4.197215945929447,1,0.04049040241373964,0.6832217925462876,NA,converged,NA
SCANB,RFi,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,8,26.75,0.6612922496880227,0.018103046867045017,3039.081002541564,-1511.540501270782,49.32885152967083,8,5.498498673962301e-8,53.23,8,9.731355688970452e-9,56.406225617737576,8,2.3509301539174003e-9,0.0028916485816732644,1.220586469388924,converged,NA
SCANB,RFi,RFI,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,1,214,0.5252668401348803,0.017657417974016605,3072.49621641433,-1535.248108207165,1.913637656904939,1,0.16655974111553828,1.93,1,0.16488146843790363,1.9346969964237677,1,0.16424548465075373,0.33643796027241835,NA,converged,NA
SCANB,RFi,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,8,26.75,0.6576845976156971,0.018098361003474204,3041.0960864000663,-1512.5480432000331,47.313767671168534,8,1.335994367398578e-7,51.09,8,2.5257899067971176e-8,54.312331395889274,8,6.004481275442823e-9,0.0019840566279889847,1.2109703206947393,converged,NA
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,0,1,216,0.5223027527674007,0.02044306072870976,2368.1226081055147,-1183.0613040527574,0.6457106632769865,1,0.4216504167667494,0.64,1,0.42211457269764885,0.6446950369897696,1,0.4220157522829389,0.23044620471532223,NA,converged,NA
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,common,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,8,27,0.6126672060874205,0.019042101828345204,2350.05445291315,-1167.027226456575,32.71386585564187,8,6.93441420980317e-5,32.61,8,7.246226302778449e-5,33.44425144713692,8,5.1209726695583724e-5,9.701307097233116e-8,1.5100452907187658,converged,NA
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,common,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,0,1,216,0.5169487148587464,0.018045950892086954,2367.865509659123,-1182.9327548295614,0.9028091096688513,1,0.3420296007013579,0.9,1,0.34260995625217466,0.9018913379687696,1,0.34227507969112403,0.9160421354830702,NA,converged,NA
