cohort,endpoint_original,endpoint_harmonized,signature,model_id,variable,variable_type,level,reference_level,n_model,events_model,level_n,level_events,mean,sd,minimum,maximum
SCANB,RFi,RFI,Dys-CIM,M2,grade,categorical,1-2,1-2,1866,214,738,65,NA,NA,NA,NA
SCANB,RFi,RFI,Dys-CIM,M2,grade,categorical,3,1-2,1866,214,1128,149,NA,NA,NA,NA
SCANB,RFi,RFI,Dys-CIM,M2,clinical_subtype,categorical,HR+/HER2-,HR+/HER2-,1866,214,1068,109,NA,NA,NA,NA
SCANB,RFi,RFI,Dys-CIM,M2,clinical_subtype,categorical,HR+/HER2+,HR+/HER2-,1866,214,332,31,NA,NA,NA,NA
SCANB,RFi,RFI,Dys-CIM,M2,clinical_subtype,categorical,HR-/HER2+,HR+/HER2-,1866,214,137,19,NA,NA,NA,NA
SCANB,RFi,RFI,Dys-CIM,M2,clinical_subtype,categorical,HR-/HER2-,HR+/HER2-,1866,214,329,55,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,age_5y,continuous,NA,per 5-year increase,1866,214,1866,NA,11.646302250803858,2.2944810210111686,5,17
SCANB,RFi,RFI,Fun-CIM,M2,tumor_size,categorical,≤20 mm,≤20 mm,1866,214,1048,90,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,tumor_size,categorical,21-50 mm,≤20 mm,1866,214,759,108,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,tumor_size,categorical,>50 mm,≤20 mm,1866,214,59,16,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,grade,categorical,1-2,1-2,1866,214,738,65,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,grade,categorical,3,1-2,1866,214,1128,149,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,clinical_subtype,categorical,HR+/HER2-,HR+/HER2-,1866,214,1068,109,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,clinical_subtype,categorical,HR+/HER2+,HR+/HER2-,1866,214,332,31,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,clinical_subtype,categorical,HR-/HER2+,HR+/HER2-,1866,214,137,19,NA,NA,NA,NA
SCANB,RFi,RFI,Fun-CIM,M2,clinical_subtype,categorical,HR-/HER2-,HR+/HER2-,1866,214,329,55,NA,NA,NA,NA
