rowname,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045986,GO:0045986,negative regulation of smooth muscle contraction,6/1487,13/16754,0.461538461538462,5.20014484506751,4.72792056545868,0.000480089144883962,0.00410217709336235,0.00307645788875439,ADRB2/DOCK4/GUCY1A1/IRAG1/PRKG1/RGS2,6
GO:0043304,GO:0043304,regulation of mast cell degranulation,9/1487,28/16754,0.321428571428571,3.62152944567202,4.33274006744467,0.000485388776039206,0.00412209367296904,0.00309139447414637,ADGRE2/CD84/FCER1G/FES/FGR/IL4R/LGALS9/RAC2/SYK,9
GO:0090594,GO:0090594,inflammatory response to wounding,9/1487,28/16754,0.321428571428571,3.62152944567202,4.33274006744467,0.000485388776039206,0.00412209367296904,0.00309139447414637,AGER/ALOX5/CCR2/F2R/HIF1A/HMOX1/IL33/PPARG/TLR4,9
GO:0140894,GO:0140894,endolysosomal toll-like receptor signaling pathway,12/1487,46/16754,0.260869565217391,2.93921230373381,4.11023796354298,0.000512782983895631,0.00433485036918772,0.00325095292361614,EPG5/HAVCR2/HCFC2/LILRA4/PIK3AP1/PTPN22/RFTN1/SCIMP/TLR7/TLR8/TNFAIP3/WDFY1,12
GO:0034113,GO:0034113,heterotypic cell-cell adhesion,14/1487,59/16754,0.23728813559322,2.67352079605166,4.01873004085614,0.000519009260203982,0.00438081676470048,0.00328542576008184,AGER/CD1D/CD200R1/IL10/ITGA4/ITGA5/ITGAM/ITGAX/ITGB2/JAM3/LILRB2/PTPRC/SIRPA/VCAM1,14
GO:0002828,GO:0002828,regulation of type 2 immune response,10/1487,34/16754,0.294117647058824,3.31381779342537,4.21478479053417,0.000529799475351952,0.00444487354396486,0.00333346561292363,BCL6/CCR2/CD74/CD86/HLX/IL18/IL33/IL4R/NLRP3/STAT6,10
GO:0090075,GO:0090075,relaxation of muscle,10/1487,34/16754,0.294117647058824,3.31381779342537,4.21478479053417,0.000529799475351952,0.00444487354396486,0.00333346561292363,GSTM2/GUCY1A1/IRAG1/P2RY1/PDE4B/PDE4D/PRKG1/RGS2/SLC8A1/TIFAB,10
GO:0039531,GO:0039531,regulation of cytoplasmic pattern recognition receptor signaling pathway,24/1487,132/16754,0.181818181818182,2.04854190866296,3.77447058830881,0.000543177153204968,0.00452294738965576,0.00339201766784827,BIRC3/BTK/CARD8/CD36/GBP2/HCFC2/IFI16/LILRA4/NEK9/NLRP3/OGT/P2RX7/PRKD1/PTPN22/RICTOR/RNF125/SEC14L1/SLC15A3/SMPDL3A/STING1/TLR4/TLR6/TNFAIP3/WDFY1,24
GO:0042698,GO:0042698,ovulation cycle,15/1487,66/16754,0.227272727272727,2.5606773858287,3.96467767626223,0.000544269684615311,0.00452526022208598,0.00339375219354363,AXL/FZD4/HAS2/MMP19/MMP2/NCOA1/NCOR2/NOTCH1/NOTCH4/NPR2/NR5A2/PDGFRA/SLIT2/STAT5A/STAT5B,15
GO:0010721,GO:0010721,negative regulation of cell development,41/1487,272/16754,0.150735294117647,1.6983316191305,3.62381592631744,0.000547128968798998,0.00454223362138959,0.00340648151921585,ARHGAP4/BCL6/BTG2/C1QC/CCL3/CD69/CD74/CLEC12A/CR1/DTX1/EDNRB/FCGR2B/FGL2/HLX/IGDCC4/IGF1/IL4R/INPP5D/JAK3/LAG3/LILRB1/LILRB3/LILRB4/LTF/MAFB/NEGR1/NOTCH1/NPR2/PROX1/PTEN/RAPGEF2/RUNX3/SEMA5A/SEMA6D/SNAI2/SPART/STAT5A/TLR4/TMEM178A/TRPC6/WNT5A,41
