gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,r_rb,p_value.y,padj,trajectory
NAA38,176,1.99933271403768e-05,0.00777395713223755,0.51731361485517,0.373427949924632,0.0964186820710985,-0.192025931586592,0.170314001702833,0.0491654173649465,1,0.0833333333333333,limma_dupcor_2grp(mod_t),0.709339546441762,-0.709339546441762,0.410433055395086,0.410433055395086,-0.721489562250774,1.99933271403768e-05,0.00777395713223754,Fun-CIM
CCDC159,156,0.000484693116030951,0.0475252137075218,0.862218115091331,0.302223020495637,0.0780336483480071,0.132051896518426,0.501800161366498,0.144857229122172,1,0.583333333333333,limma_dupcor_2grp(mod_t),0.730166218572905,-0.730166218572905,0.585783369570142,0.585783369570142,-0.623460659385083,0.000484693116030951,0.0475252137075218,Fun-CIM
CCR3,165.5,0.000492961525614202,0.0477549550795269,0.461058036233302,0.333341735237091,0.0860684659446089,-0.0388701335950953,0.213383171645185,0.0615984157949417,0.933333333333333,0.25,limma_dupcor_2grp(mod_t),0.499928169828397,-0.499928169828397,0.395789199438582,0.395789199438582,-0.622835150254524,0.000492961525614202,0.0477549550795269,Fun-CIM
NDUFB1,179,1.5311832875887e-06,0.00203700281278017,0.574008182570476,0.298362730138199,0.0770369256636148,-0.0919528381525465,0.147246403412175,0.0425063753236119,1,0.25,limma_dupcor_2grp(mod_t),0.665961020723023,-0.665961020723023,0.332718833331299,0.332718833331299,-0.77900873191245,1.5311832875887e-06,0.00203700281278017,Fun-CIM
ZNF703,178,1.87739677246914e-06,0.00214763307310919,0.818479808963724,0.327047904255073,0.0844434057727956,-0.140231580360098,0.290413726229323,0.083835221507431,1,0.333333333333333,limma_dupcor_2grp(mod_t),0.958711389323822,-0.958711389323822,0.437379085073847,0.437379085073847,-0.774978146426067,1.87739677246914e-06,0.00214763307310919,Fun-CIM
TTC32,172,1.20876853270071e-05,0.00614359134689065,0.950554090754844,0.374548954422682,0.0967081241878966,0.00210558406683039,0.385024844994062,0.111147098951008,1,0.25,limma_dupcor_2grp(mod_t),0.948448506688014,-0.948448506688014,0.537150863837922,0.537150863837922,-0.734002013510971,1.20876853270071e-05,0.00614359134689063,Fun-CIM
UQCR10,176,2.73575561249526e-05,0.00922694835408195,0.409039761678306,0.223348012810936,0.0576682089350185,-0.0731100206148596,0.129472619808915,0.0373755259496815,1,0.25,limma_dupcor_2grp(mod_t),0.482149782293166,-0.482149782293166,0.258161759574841,0.258161759574841,-0.713341984737811,2.73575561249526e-05,0.00922694835408196,Fun-CIM
TSPYL2,168,0.000213179299483246,0.0302094586477766,0.911480530348423,0.589098248541321,0.152104513725366,-0.0787134324117799,0.354832008680398,0.102431177864362,0.933333333333333,0.416666666666667,limma_dupcor_2grp(mod_t),0.990193962760203,-0.990193962760203,0.687708150903141,0.687708150903141,-0.65231335965648,0.000213179299483246,0.0302094586477766,Fun-CIM
STING1,168,5.34170192470107e-05,0.0134710664835193,0.578897221853079,0.248067791735051,0.0640508284080201,-0.00619713842928228,0.271864164036752,0.0784804241448157,1,0.416666666666667,limma_dupcor_2grp(mod_t),0.585094360282361,-0.585094360282361,0.368032271660661,0.368032271660661,-0.694990937295163,5.34170192470107e-05,0.0134710664835193,Fun-CIM
USP18,158,0.000179770566016279,0.0279874759700137,1.76427069843411,1.28174167559556,0.330944277581438,0.0113126180889035,0.198901422191264,0.0574178948221628,0.866666666666667,0.666666666666667,limma_dupcor_2grp(mod_t),1.75295808034521,-1.75295808034521,1.2970826876912,1.2970826876912,-0.657949186544864,0.000179770566016279,0.0279874759700137,Fun-CIM
NDUFA6,172,0.000154157158654305,0.0256167007303192,0.316107147358377,0.220480077093977,0.0569277111170333,-0.05287976945402,0.135366267897134,0.0390768756048026,1,0.333333333333333,limma_dupcor_2grp(mod_t),0.368986916812397,-0.368986916812397,0.258718941865038,0.258718941865038,-0.662934529635712,0.000154157158654305,0.0256167007303191,Fun-CIM
NELFA,179,0.000336414154051475,0.0389461137701165,0.172908681396065,0.132163669075658,0.0341245126202461,-0.127785386109328,0.0813931471375808,0.0234961777050365,0.866666666666667,0,limma_dupcor_2grp(mod_t),0.300694067505393,-0.300694067505393,0.155216235698782,0.155216235698782,-0.636647641891742,0.000336414154051475,0.0389461137701165,Fun-CIM
ZNF829,180,0.000165373969956665,0.0269696243731807,0.71004591372031,0.364311898439438,0.0940649276987434,0.043238691445812,0.0982412031684215,0.0283597925474004,1,0.333333333333333,limma_dupcor_2grp(mod_t),0.666807222274498,-0.666807222274498,0.377325447517824,0.377325447517824,-0.660667727078871,0.000165373969956665,0.0269696243731807,Fun-CIM
EDARADD,169.5,0.000179002407559361,0.0279229605404654,0.365263294334743,0.229192761406336,0.0591773165332019,-0.123332374470494,0.230421111799087,0.0665168454620878,0.866666666666667,0.25,limma_dupcor_2grp(mod_t),0.488595668805237,-0.488595668805237,0.324997247132632,0.324997247132632,-0.658089304183056,0.000179002407559361,0.0279229605404654,Fun-CIM
KIF24,180,9.59502728978043e-05,0.019320272807065,0.680784391104252,0.289775026729817,0.0748195901780926,-0.0628700074662127,0.233890009399438,0.0675182299437647,1,0.5,limma_dupcor_2grp(mod_t),0.743654398570465,-0.743654398570465,0.372389718726411,0.372389718726411,-0.677759156240046,9.59502728978043e-05,0.019320272807065,Fun-CIM
C11orf96,172,5.79440455837076e-05,0.0142926231437913,0.88282942332506,0.367895924465558,0.0949903192395124,0.128243952101188,0.227324896046828,0.0656230449630699,1,0.416666666666667,limma_dupcor_2grp(mod_t),0.754585471223872,-0.754585471223872,0.432462737818033,0.432462737818033,-0.692665388258129,5.79440455837076e-05,0.0142926231437913,Fun-CIM
C2orf88,161,0.000388274093468851,0.0420978719034112,0.895425836072341,0.58461007846087,0.150945673193597,0.074056991583595,0.216686011141813,0.0625518634311761,0.933333333333333,0.666666666666667,limma_dupcor_2grp(mod_t),0.821368844488746,-0.821368844488746,0.623475557871016,0.623475557871016,-0.631541515091664,0.000388274093468851,0.0420978719034112,Fun-CIM
HES4,172,0.000118512082161748,0.0217544085330025,0.814632994313229,0.718624942326217,0.185548162253247,-0.237763487803658,0.223953944464754,0.0646499350614022,0.866666666666667,0.166666666666667,limma_dupcor_2grp(mod_t),1.05239648211689,-1.05239648211689,0.752713210309664,0.752713210309664,-0.671257108097713,0.000118512082161748,0.0217544085330025,Fun-CIM
