"gene_id","r_rb","p_value","padj","trajectory"
"FMO5",-0.270221260850923,0.17100279898904,0.730349706715161,"NS"
"PIAS3",0.16733301666043,0.402142895243773,1,"NS"
"PRKAB2",0.460423637812193,0.0152240411238462,0.282811017648253,"NS"
"CLUHP3",0.0049402590987519,0.980406091574471,1,"NS"
"FSHB",-0.333565604469133,0.0877166408057238,0.578326623324139,"NS"
"PDHA1",-0.0383202498215917,0.848860380739581,1,"NS"
"RAI2",-0.420749425575126,0.0281842107343518,0.374959737347692,"NS"
"MCCC2",0.332965409016146,0.0883238822234762,0.579957971514217,"NS"
"ZNF304",-0.135967362900592,0.49707162500981,1,"NS"
"ZSCAN5A",-0.365863513651252,0.0594601699445842,0.487215715220292,"NS"
"ZNF132",-0.0473176759570236,0.813926311774473,1,"NS"
"USP29",-0.390894628827223,0.0429046253559891,0.417781273368339,"NS"
"SELENOS",-0.125388754311394,0.531427763244743,1,"NS"
"CHSY1",0.406158387684363,0.0347617956214414,0.407450806351243,"NS"
"SNRPA1",-0.235666186594102,0.234673467771063,0.82837487260545,"NS"
"KRT17P1",-0.395283890870491,0.0404220304987495,0.407450806351243,"NS"
"LLGL1",0.354255144317038,0.0686549922308082,0.518671118564525,"NS"
"NR0B2",-0.505130053640847,0.00695750133028043,0.192853492056737,"NS"
"LIN28A",0.0573687311999335,0.775311230397729,1,"NS"
"THAP1",-0.287043421240743,0.144874928844389,0.67817224651257,"NS"
"RHPN2",0.136812204477325,0.494376656598601,1,"NS"
"C19orf12",0.453552622263029,0.0170227751109547,0.297265859526079,"NS"
"FAAP24",-0.493638523223537,0.00859249582154155,0.21599454782991,"NS"
"LRRC9",-0.311900280499003,0.111714731139977,0.606372380576307,"NS"
"ACTR10",0.0364010280294955,0.856350633732977,1,"NS"
"ABHD12B",-0.325164098945168,0.0965091053741393,0.59274693831858,"NS"
"GCH1",-0.624270985831356,0.000474162128097776,0.0471019224693272,"Fun-CIM"
"LGALS3",-0.154984056785868,0.43823322760189,1,"NS"
"UBE2L2",-0.107327364937762,0.592573245681359,1,"NS"
"PODNL1",-0.24620898821617,0.213781255342963,0.799332869942553,"NS"
"DNAJB1",0.0240291363553211,0.90489984629265,1,"NS"
"ZSWIM4",0.13086076474971,0.513516275637751,1,"NS"
"FBXW9",0.0661333770646562,0.742055798886882,1,"NS"
"RFX1",-0.379769122326727,0.0497411907211988,0.448090808720116,"NS"
"ZNF20",-0.222204755691258,0.263262641349573,0.867959288840086,"NS"
"BRME1",-0.627151417676865,0.000438330164581241,0.0453645316293689,"Fun-CIM"
"DCAF15",-0.222444339609,0.262734930887961,0.867162599408261,"NS"
