gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,r_rb,p_value.y,padj,trajectory
GULP1,8,0.000144521255283347,0.0246379086868794,-1.06021872604717,0.846310049728658,0.218516315221804,0.127381422428253,0.264893532557116,0.076468176164221,0.0666666666666667,0.333333333333333,limma_dupcor_2grp(mod_t),-1.18760014847542,1.18760014847542,0.886797205601321,0.886797205601321,0.6650012002387,0.000144521255283347,0.0246379086868794,Dys-CIM
TAMM41,1,2.02822544155894e-05,0.00784764169378089,-1.01526374067257,0.38224076109621,0.0986941401311512,-0.166166962530396,0.265840168281767,0.0767414463594468,0,0.333333333333333,limma_dupcor_2grp(mod_t),-0.849096778142174,0.849096778142174,0.465595311956089,0.465595311956089,0.721122801372191,2.02822544155894e-05,0.00784764169378091,Dys-CIM
RAB5A,4,0.000291444536844553,0.0361582920306013,-0.215784545032273,0.235868086068191,0.0609008779495947,0.179270682625551,0.11807655038537,0.0340857640749877,0.133333333333333,1,limma_dupcor_2grp(mod_t),-0.395055227657824,0.395055227657824,0.263772299107356,0.263772299107356,0.641668941100438,0.000291444536844553,0.0361582920306014,Dys-CIM
RBMS3,4,1.6324983283149e-05,0.00723912123879504,-1.14695102912138,0.636445924151014,0.164329630999898,0.017306613486276,0.252531130520894,0.0728994580924992,0,0.5,limma_dupcor_2grp(mod_t),-1.16425764260766,1.16425764260766,0.684715551342745,0.684715551342745,0.726610979775546,1.6324983283149e-05,0.00723912123879504,Dys-CIM
CTDSPL,3,1.68576173304989e-06,0.00214613782440474,-0.57153522364444,0.197277566636681,0.0509368486776128,-0.0649157390460333,0.155510866701486,0.0448921203760074,0,0.333333333333333,limma_dupcor_2grp(mod_t),-0.506619484598407,0.506619484598407,0.251201249917944,0.251201249917944,0.777117306635406,1.68576173304989e-06,0.00214613782440474,Dys-CIM
PTPRG,23,0.000455725455331343,0.0461762793840996,-1.57520572606492,1.16857219192823,0.301724042545276,-0.0469315242704867,0.36481294394761,0.105312425696006,0.2,0.416666666666667,limma_dupcor_2grp(mod_t),-1.52827420179443,1.52827420179443,1.22419338824373,1.22419338824373,0.625728315981367,0.000455725455331343,0.0461762793840995,Dys-CIM
IL17RD,0,5.90652281825276e-05,0.0144338594145612,-0.8220913435912,0.602752467091479,0.155630017795382,0.119382819310041,0.148554949225544,0.0428841199624096,0,0.833333333333333,limma_dupcor_2grp(mod_t),-0.941474162901241,0.941474162901241,0.620789102291808,0.620789102291808,0.692114418063338,5.90652281825276e-05,0.0144338594145612,Dys-CIM
PHLDB2,7,2.43897702441281e-05,0.00874792537097834,-0.425408055511781,0.419364593197583,0.108279472362886,0.403336750293123,0.315664897295521,0.0911246067136422,0.133333333333333,0.833333333333333,limma_dupcor_2grp(mod_t),-0.828744805804904,0.828744805804904,0.524891407257126,0.524891407257126,0.716357635236627,2.43897702441281e-05,0.00874792537097835,Dys-CIM
LPP,0,8.74886373929463e-05,0.0187653617573371,-0.943275446881271,0.629478126414188,0.162530553360267,0.185055927505141,0.234308215676934,0.0676389556972095,0,0.666666666666667,limma_dupcor_2grp(mod_t),-1.12833137438641,1.12833137438641,0.671671833239734,0.671671833239734,0.680552222356914,8.74886373929463e-05,0.0187653617573371,Dys-CIM
SLIT2,0,3.16680933421203e-07,0.000802102685795539,-0.945189189973102,0.30409923401051,0.0785180845944758,0.31557042442182,0.467676608976716,0.135006608043199,0,0.583333333333333,limma_dupcor_2grp(mod_t),-1.26075961439492,1.26075961439492,0.557851014796728,0.557851014796728,0.807572303986968,3.16680933421203e-07,0.000802102685795539,Dys-CIM
RASA1,0,3.29657606972294e-05,0.0099695533461828,-1.31835984927835,0.806810380201228,0.208317544404442,0.0248651305105133,0.188528645993449,0.0544235322571367,0,0.416666666666667,limma_dupcor_2grp(mod_t),-1.34322497978886,1.34322497978886,0.828544531066721,0.828544531066721,0.708363369618521,3.29657606972294e-05,0.00996955334618281,Dys-CIM
CDKAL1,2,1.21421001636211e-05,0.00614359134689065,-1.01631744862587,0.604191350330969,0.156001535850294,0.0248567799392991,0.176798148104025,0.0510372292000432,0,0.416666666666667,limma_dupcor_2grp(mod_t),-1.04117422856517,1.04117422856517,0.62952742036211,0.62952742036211,0.733893274250966,1.21421001636211e-05,0.00614359134689063,Dys-CIM
TNFRSF21,0,2.88221126393701e-05,0.00941105748899101,-0.450851382754216,0.343872687454959,0.0887875461152429,0.408337890380068,0.32572980307403,0.0940300947439375,0,1,limma_dupcor_2grp(mod_t),-0.859189273134284,0.859189273134284,0.473654230201887,0.473654230201887,0.71195988885302,2.88221126393701e-05,0.00941105748899101,Dys-CIM
PHIP,18,0.000299580746874504,0.036775283844943,-0.548542980872373,0.39950861570956,0.103152681020634,0.0358787447464784,0.129790150257764,0.0374671890947411,0.133333333333333,0.583333333333333,limma_dupcor_2grp(mod_t),-0.584421725618851,0.584421725618851,0.420062634770223,0.420062634770223,0.640712243893498,0.000299580746874504,0.036775283844943,Dys-CIM
TLK2,7,0.000147207131694818,0.0249365937414545,-0.494157512967045,0.343769975844144,0.0887610260913665,0.0552816552659142,0.0878002882721195,0.0253457600344175,0.0666666666666667,0.666666666666667,limma_dupcor_2grp(mod_t),-0.549439168232959,0.549439168232959,0.35480513935476,0.35480513935476,0.664413205921435,0.000147207131694818,0.0249365937414544,Dys-CIM
LRP12,10,0.000531474796971747,0.049543249856578,-0.682150376227304,0.617148380539523,0.159347026664563,0.143042300519728,0.190863816908496,0.0550976380353399,0.133333333333333,0.75,limma_dupcor_2grp(mod_t),-0.825192676747032,0.825192676747032,0.645988483030027,0.645988483030027,0.620037217390834,0.000531474796971747,0.049543249856578,Dys-CIM
NAPRT,1,2.98521402195829e-06,0.0026180990353468,-1.35032611143259,0.298842166961573,0.0771607157191138,-0.293657985092455,0.331676550450132,0.0957467728431352,0,0.25,limma_dupcor_2grp(mod_t),-1.05666812634014,1.05666812634014,0.446448177141298,0.446448177141298,0.765493705748645,2.98521402195829e-06,0.0026180990353468,Dys-CIM
RSU1,17,0.000318070429717995,0.0381549166542565,-0.470029112439097,0.40235337289871,0.103887194168472,0.141037592266031,0.209442764732873,0.0604609182991718,0.133333333333333,0.75,limma_dupcor_2grp(mod_t),-0.611066704705128,0.611066704705128,0.453601706766981,0.453601706766981,0.638620223595191,0.000318070429717995,0.0381549166542565,Dys-CIM
PARD3,4,3.6015093052435e-05,0.0103032078294354,-1.09796615229348,0.730085800881676,0.188507343207816,0.0227836887253735,0.161056301420964,0.0464929494900397,0,0.416666666666667,limma_dupcor_2grp(mod_t),-1.12074984101885,1.12074984101885,0.747639223741263,0.747639223741263,0.705965507181745,3.6015093052435e-05,0.0103032078294354,Dys-CIM
ZEB1,0,3.37420682587575e-05,0.0100165549355566,-1.03694707856717,0.598518510639781,0.154536814940316,0.127763572350155,0.26860496224929,0.0775395736301486,0,0.666666666666667,limma_dupcor_2grp(mod_t),-1.16471065091732,1.16471065091732,0.656028226011202,0.656028226011202,0.707734759979835,3.37420682587575e-05,0.0100165549355566,Dys-CIM
HERC4,6,9.27973748488457e-06,0.00546618088923066,-0.302939787826327,0.23245333144807,0.0600191920979206,0.243391451248354,0.209457615149592,0.0604652052452169,0.2,0.916666666666667,limma_dupcor_2grp(mod_t),-0.546331239074681,0.546331239074681,0.312901012854642,0.312901012854642,0.740311790792394,9.27973748488457e-06,0.00546618088923066,Dys-CIM
GLUD1,0,1.93661327869461e-07,0.000587925997361242,-0.547021785203356,0.180687612925301,0.0466533410483775,0.0898835978687792,0.159218272758938,0.04596235631864,0,0.583333333333333,limma_dupcor_2grp(mod_t),-0.636905383072135,0.636905383072135,0.240828718895781,0.240828718895781,0.815626332054378,1.93661327869461e-07,0.000587925997361242,Dys-CIM
EIF3M,12,0.000331420146206018,0.0387550444153088,-0.199176955068618,0.199188847361009,0.0514303392386294,0.179323308071841,0.163628978205077,0.0472356173069624,0.133333333333333,0.833333333333333,limma_dupcor_2grp(mod_t),-0.378500263140459,0.378500263140459,0.257780215341374,0.257780215341374,0.637175134399517,0.000331420146206018,0.0387550444153088,Dys-CIM
ITGB1,6,0.000148410207402981,0.0250841852049938,-1.08780339732963,0.685515378513742,0.176999309636853,-0.0939454901542783,0.174881286700808,0.0504838789764697,0,0.5,limma_dupcor_2grp(mod_t),-0.993857907175352,0.993857907175352,0.70747070512988,0.70747070512988,0.664152892710526,0.000148410207402981,0.0250841852049937,Dys-CIM
VEGFC,0,2.21732805584731e-06,0.00233668621860235,-0.78095630194041,0.423372634054596,0.109314344062228,0.0498506942341791,0.0675711846973906,0.0195061208372502,0,0.5,limma_dupcor_2grp(mod_t),-0.830806996174589,0.830806996174589,0.428730978899048,0.428730978899048,0.771625902640845,2.21732805584731e-06,0.00233668621860236,Dys-CIM
MTMR12,0,7.71377211192044e-06,0.00483224968522305,-0.487887905877467,0.192198332958575,0.0496253961811592,0.0876251173627652,0.173394765392124,0.0500547572376073,0,0.583333333333333,limma_dupcor_2grp(mod_t),-0.575513023240232,0.575513023240232,0.258855063418595,0.258855063418595,0.744620224824683,7.71377211192044e-06,0.00483224968522305,Dys-CIM
DOCK1,11,0.000490561207391066,0.0476272782555863,-1.04332113353446,0.790045608280631,0.203988898907679,-0.0024370811359534,0.175837427703182,0.0507598931090216,0.0666666666666667,0.5,limma_dupcor_2grp(mod_t),-1.04088405239851,1.04088405239851,0.809376836921334,0.809376836921334,0.623015784632958,0.000490561207391066,0.0476272782555863,Dys-CIM
DLAT,19,0.000522779553754379,0.0489490340888976,-0.475336904442377,0.32042829255915,0.0827342293823511,0.0454322499192555,0.228835794650739,0.0660592038209131,0.0666666666666667,0.5,limma_dupcor_2grp(mod_t),-0.520769154361633,0.520769154361633,0.3937513321702,0.3937513321702,0.620653045851785,0.000522779553754379,0.0489490340888975,Dys-CIM
TWF1,19,0.000452578995212234,0.0460347490336238,-0.212210530542978,0.293057870036537,0.0756672166751018,0.291027929452778,0.240113304743199,0.0693147405647483,0.266666666666667,0.833333333333333,limma_dupcor_2grp(mod_t),-0.503238459995756,0.503238459995756,0.378863186790499,0.378863186790499,0.625982164373882,0.000452578995212234,0.0460347490336237,Dys-CIM
