"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"xcell","Macrophage","C1",14,14,0,0,0,0,""
"xcell","Macrophage M1","C1",14,14,0,0,0,0,""
"xcell","Macrophage M2","C1",14,14,0,0,0,0,""
"xcell","Mast cell","C1",14,14,0,0,0,0,""
"xcell","Monocyte","C1",14,14,0,0,0,0,""
"xcell","Myeloid dendritic cell","C1",14,14,0,0,0,0,""
"xcell","Myeloid dendritic cell activated","C1",14,14,0,0,0,0,""
"xcell","NK cell","C1",14,14,0,0,0,0,""
"xcell","Neutrophil","C1",14,14,0,0,0,0,""
"xcell","Plasmacytoid dendritic cell","C1",14,14,0,0,0,0,""
"xcell","T cell CD4+ (aggregated)","C1",14,14,0,0,0,0,""
"xcell","T cell CD8+ (aggregated)","C1",14,14,0,0,0,0,""
"xcell","T cell NK","C1",14,14,0,0,0,0,""
"xcell","T cell gamma delta","C1",14,14,0,0,0,0,""
"xcell","T cell regulatory (Tregs)","C1",14,14,0,0,0,0,""
"xcell","immune score","C1",14,14,0,0,0,0,""
"xcell","microenvironment score","C1",14,14,0,0,0,0,""
"xcell","stroma score","C1",14,14,0,0,0,0,""
"xcell","B cell","C2",11,11,0,0,0,0,""
"xcell","B cell memory","C2",11,11,0,0,0,0,""
"xcell","B cell naive","C2",11,11,0,0,0,0,""
"xcell","B cell plasma","C2",11,11,0,0,0,0,""
"xcell","Cancer associated fibroblast","C2",11,11,0,0,0,0,""
"xcell","Class-switched memory B cell","C2",11,11,0,0,0,0,""
"xcell","Common lymphoid progenitor","C2",11,11,0,0,0,0,""
"xcell","Common myeloid progenitor","C2",11,11,0,0,0,0,""
"xcell","Endothelial cell","C2",11,11,0,0,0,0,""
"xcell","Eosinophil","C2",11,11,0,0,0,0,""
"xcell","Granulocyte-monocyte progenitor","C2",11,11,0,0,0,0,""
"xcell","Hematopoietic stem cell","C2",11,11,0,0,0,0,""
"xcell","Macrophage","C2",11,11,0,0,0,0,""
"xcell","Macrophage M1","C2",11,11,0,0,0,0,""
"xcell","Macrophage M2","C2",11,11,0,0,0,0,""
"xcell","Mast cell","C2",11,11,0,0,0,0,""
"xcell","Monocyte","C2",11,11,0,0,0,0,""
"xcell","Myeloid dendritic cell","C2",11,11,0,0,0,0,""
"xcell","Myeloid dendritic cell activated","C2",11,11,0,0,0,0,""
"xcell","NK cell","C2",11,11,0,0,0,0,""
"xcell","Neutrophil","C2",11,11,0,0,0,0,""
"xcell","Plasmacytoid dendritic cell","C2",11,11,0,0,0,0,""
"xcell","T cell CD4+ (aggregated)","C2",11,11,0,0,0,0,""
"xcell","T cell CD8+ (aggregated)","C2",11,11,0,0,0,0,""
"xcell","T cell NK","C2",11,11,0,0,0,0,""
"xcell","T cell gamma delta","C2",11,11,0,0,0,0,""
"xcell","T cell regulatory (Tregs)","C2",11,11,0,0,0,0,""
"xcell","immune score","C2",11,11,0,0,0,0,""
"xcell","microenvironment score","C2",11,11,0,0,0,0,""
"xcell","stroma score","C2",11,11,0,0,0,0,""
"xcell","B cell","C3",11,11,0,0,0,0,""
"xcell","B cell memory","C3",11,11,0,0,0,0,""
"xcell","B cell naive","C3",11,11,0,0,0,0,""
"xcell","B cell plasma","C3",11,11,0,0,0,0,""
"xcell","Cancer associated fibroblast","C3",11,11,0,0,0,0,""
"xcell","Class-switched memory B cell","C3",11,11,0,0,0,0,""
"xcell","Common lymphoid progenitor","C3",11,11,0,0,0,0,""
"xcell","Common myeloid progenitor","C3",11,11,0,0,0,0,""
"xcell","Endothelial cell","C3",11,11,0,0,0,0,""
"xcell","Eosinophil","C3",11,11,0,0,0,0,""
"xcell","Granulocyte-monocyte progenitor","C3",11,11,0,0,0,0,""
"xcell","Hematopoietic stem cell","C3",11,11,0,0,0,0,""
"xcell","Macrophage","C3",11,11,0,0,0,0,""
"xcell","Macrophage M1","C3",11,11,0,0,0,0,""
"xcell","Macrophage M2","C3",11,11,0,0,0,0,""
"xcell","Mast cell","C3",11,11,0,0,0,0,""
"xcell","Monocyte","C3",11,11,0,0,0,0,""
"xcell","Myeloid dendritic cell","C3",11,11,0,0,0,0,""
"xcell","Myeloid dendritic cell activated","C3",11,11,0,0,0,0,""
"xcell","NK cell","C3",11,11,0,0,0,0,""
"xcell","Neutrophil","C3",11,11,0,0,0,0,""
"xcell","Plasmacytoid dendritic cell","C3",11,11,0,0,0,0,""
"xcell","T cell CD4+ (aggregated)","C3",11,11,0,0,0,0,""
"xcell","T cell CD8+ (aggregated)","C3",11,11,0,0,0,0,""
"xcell","T cell NK","C3",11,11,0,0,0,0,""
"xcell","T cell gamma delta","C3",11,11,0,0,0,0,""
"xcell","T cell regulatory (Tregs)","C3",11,11,0,0,0,0,""
"xcell","immune score","C3",11,11,0,0,0,0,""
"xcell","microenvironment score","C3",11,11,0,0,0,0,""
"xcell","stroma score","C3",11,11,0,0,0,0,""
