"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"consensus_tme","Myeloid dendritic cell","C1",14,0.0546330710779878,0.0776439177565666,0.0425920961966806,0.090666120122352,-0.0120409748813072,0.0433420231406898,0.285881444542875,0.428822166814313,-0.0615082132539684
"consensus_tme","Myeloid dendritic cell","C2",11,0.231645802923711,0.116390486667437,0.0933407487228423,0.0673358165035492,-0.138305054200869,0.106946403736214,0.00509932237899739,0.00834434571108664,-1.14114984825987
"consensus_tme","Myeloid dendritic cell","C3",11,0.0424915987029916,0.12732932541501,0.177665415359885,0.16643143049977,0.135173816656893,0.104723200410683,0.00385729282994253,0.0049593764956404,1.19727590880102
"consensus_tme","NK cell","C1",14,-0.138745866213857,0.0953785614225522,-0.201911282132672,0.0917587873967291,-0.0631654159188148,0.0579584277642275,0.0038804738522969,0.017462132335336,-0.498656097339051
"consensus_tme","NK cell","C2",11,0.0322786050773546,0.110757533889851,-0.110837049871232,0.0940871205912265,-0.143115654948586,0.10797292742714,0.00385729282994253,0.00834434571108664,-1.18228367574759
"consensus_tme","NK cell","C3",11,-0.1711105137723,0.134776063152826,-0.0447626313565625,0.197730901142426,0.126347882415737,0.141025842424165,0.00385729282994253,0.0049593764956404,1.12180831638735
"consensus_tme","Neutrophil","C1",14,-0.0469431296243017,0.0644354502481428,-0.0340664084664666,0.0826267270547309,0.0128767211578352,0.0578493308145484,0.530158014945287,0.681631733501083,0.151554616944897
"consensus_tme","Neutrophil","C2",11,0.104291841627489,0.0784473166988402,0.018495860170712,0.0617131270955428,-0.0857959814567766,0.0911884134307146,0.00871925545288926,0.0104631065434671,-0.692162444593016
"consensus_tme","Neutrophil","C3",11,-0.0523453816413718,0.0999401500953954,0.0687208603412411,0.145362869884039,0.121066241982613,0.089422884032121,0.00385729282994253,0.0049593764956404,1.07664678712692
"consensus_tme","T cell CD4+","C1",14,0.00956577746508167,0.0959680477155523,-0.0379502497783364,0.08575159330433,-0.0475160272434181,0.0524821042419917,0.00837384906674997,0.0251215472002499,-0.364843443198622
"consensus_tme","T cell CD4+","C2",11,0.171098555905008,0.113820269889862,0.0089644442324372,0.0721568937792198,-0.162134111672571,0.105687718812663,0.00385729282994253,0.00834434571108664,-1.34490409656263
"consensus_tme","T cell CD4+","C3",11,-0.0212508810484737,0.13308852382277,0.120670744449204,0.186242314093405,0.141921625497677,0.131525029437107,0.00385729282994253,0.0049593764956404,1.25497415052449
"consensus_tme","T cell CD8+","C1",14,0.00524391182698505,0.0949175912124893,-0.0490471677517532,0.0873571938621202,-0.0542910795787382,0.0469084167778855,0.0038804738522969,0.017462132335336,-0.42277463487225
"consensus_tme","T cell CD8+","C2",11,0.156509683146624,0.11418020761691,-0.00319419277129106,0.0829343908640907,-0.159703875917916,0.0984855160562371,0.00385729282994253,0.00834434571108664,-1.32412396877217
"consensus_tme","T cell CD8+","C3",11,-0.0375252131563462,0.130578290240156,0.111605762061494,0.194096295443861,0.14913097521784,0.137889956599569,0.00385729282994253,0.0049593764956404,1.31661887292813
"consensus_tme","T cell gamma delta","C1",14,-0.0836715831296931,0.102478161801772,-0.150159241807873,0.0914635528121764,-0.0664876586781802,0.0533721103972385,0.00317265532163019,0.017462132335336,-0.52706347672943
"consensus_tme","T cell gamma delta","C2",11,0.108622392170843,0.124877505167848,-0.0576283273638028,0.0885371978783277,-0.166250719534645,0.117303113653069,0.00509932237899739,0.00834434571108664,-1.38010382452041
"consensus_tme","T cell gamma delta","C3",11,-0.118847004692078,0.148258592054659,0.0166609775950255,0.209896378832958,0.135507982287103,0.137958867359858,0.00385729282994253,0.0049593764956404,1.20013324660688
"consensus_tme","T cell regulatory (Tregs)","C1",14,-0.00974746001367447,0.10797013843128,-0.0728629679844891,0.0826504883663681,-0.0631155079708147,0.0564742015149388,0.0038804738522969,0.017462132335336,-0.498229351277392
"consensus_tme","T cell regulatory (Tregs)","C2",11,0.150646543180562,0.136993527522454,-0.0234161105558643,0.0862391867293173,-0.174062653736426,0.124635779566702,0.00509932237899739,0.00834434571108664,-1.44690104396414
"consensus_tme","T cell regulatory (Tregs)","C3",11,-0.0536002063984052,0.158887835133723,0.105535131739782,0.205913101655237,0.159135338138187,0.135971572952024,0.00385729282994253,0.0049593764956404,1.40216281225532
"consensus_tme","cytotoxicity score","C1",14,-0.117515418180833,0.100183391220173,-0.173373620947532,0.112308311022696,-0.0558582027666991,0.0764303274118279,0.0238241460165172,0.0536043285371638,-0.436174577674855
"consensus_tme","cytotoxicity score","C2",11,0.104455680332559,0.113478430606282,-0.0276056456096623,0.118157400278954,-0.132061325942221,0.123987086097018,0.00385729282994253,0.00834434571108664,-1.08776182989371
