"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"CIBERSORTx","T cells CD8+ (total)","C2",11,11,0,0,11,0.120083996038496,0.0304767576438416,0.105712894057535,0.0396909190400078,-0.0143711019809608,0.0424920563541908,0.398304593395588,NA,0.724190169810159
"CIBERSORTx","T cells follicular helper","C2",11,11,0,0,11,0.074103393514171,0.0291139262836468,0.0770565939174742,0.0256080558234649,0.0029532004033032,0.0264118151074794,0.563317799720071,NA,0.866642768800109
"CIBERSORTx","T cells gamma delta","C2",11,11,0,4,7,0.0212611900715018,0.0329275626461239,0.0069074557741824,0.0123504351969726,-0.0143537342973194,0.0325538954734972,0.352542137499713,NA,0.705084274999426
"CIBERSORTx","T cells regulatory (Tregs)","C2",11,11,0,1,10,0.0201356891828751,0.0148367914938519,0.0157962930166333,0.0161680592413847,-0.0043393961662418,0.0136814914553723,0.262192602406773,NA,0.655481506016933
"CIBERSORTx","B cells memory","C3",11,11,0,4,7,0.00905349650964005,0.0194844760543362,0.00427826196637441,0.0110695890470234,-0.00477523454326564,0.00891040588764286,0.0759269629825577,NA,0.394872927828819
"CIBERSORTx","B cells naive","C3",11,11,0,0,11,0.0235250898431259,0.0177642247605011,0.0199157886815904,0.0168447277892265,-0.00360930116153541,0.0125905613817695,0.563317799720071,NA,0.823310630360104
"CIBERSORTx","Dendritic cells activated","C3",11,11,0,6,5,0.00100198654501351,0.00289074847913995,0.00422131357343334,0.00844407949764119,0.00321932702841982,0.00829992319382081,0.177529852412153,NA,0.468649356595117
"CIBERSORTx","Dendritic cells resting","C3",11,11,0,1,10,0.00733150779034588,0.00619209899024235,0.00890369611037632,0.00961217135352332,0.00157218832003043,0.00531204156929694,0.414823067184775,NA,0.656803189709226
"CIBERSORTx","Eosinophils","C3",11,11,0,11,0,0,0,0,0,0,0,NA,"skipped_all_zero_deltas",NA
"CIBERSORTx","Macrophages M0","C3",11,11,0,0,11,0.089791819525869,0.0766375883548996,0.101900408836108,0.084615876322793,0.0121085893102395,0.0882927586412121,0.893903721815722,NA,0.943565039694373
"CIBERSORTx","Macrophages M1","C3",11,11,0,0,11,0.0588018327327176,0.0321675110260583,0.0408614563028932,0.0243007236222577,-0.0179403764298244,0.0211255111444975,0.0233763900464205,NA,0.222075705440995
"CIBERSORTx","Macrophages M2","C3",11,11,0,0,11,0.307647598115033,0.0620570587292194,0.317513309986728,0.0712116357593101,0.00986571187169492,0.0742562156081092,0.755657737671463,NA,0.921050893921975
"CIBERSORTx","Mast cells activated","C3",11,11,0,3,8,0.00480801838761939,0.00781990009692088,0.00549959129774843,0.0109051960624536,0.000691572910129036,0.0142521197824234,0.726286148878805,NA,0.921050893921975
"CIBERSORTx","Mast cells resting","C3",11,11,0,0,11,0.127835557879919,0.119954964218189,0.117329768505827,0.0974228503315905,-0.0105057893740924,0.0904230382537613,0.350528908982333,NA,0.656803189709226
"CIBERSORTx","Monocytes","C3",11,11,0,0,11,0.0100165974755036,0.00902219833013993,0.00987786158313045,0.00867284900123022,-0.000138735892373145,0.00962109088001174,0.964541384555568,NA,0.964541384555568
"CIBERSORTx","NK cells activated","C3",11,11,0,0,11,0.015193602562867,0.0102136044142065,0.0200418937713984,0.0162395660873861,0.00484829120853133,0.0213025945472268,0.824098168245978,NA,0.921050893921975
"CIBERSORTx","NK cells resting","C3",11,11,0,5,6,0.00739553174859477,0.0107187801216324,0.00195714145512066,0.00435912709477985,-0.00543839029347411,0.00973764951736892,0.142213241936393,NA,0.468649356595117
"CIBERSORTx","Neutrophils","C3",11,11,0,1,10,0.00403702262586266,0.00373739582642968,0.00283337813456487,0.0029402084808826,-0.00120364449129779,0.00387394292721031,0.414823067184775,NA,0.656803189709226
"CIBERSORTx","Plasma cells","C3",11,11,0,1,10,0.0114288923274988,0.0186066914260361,0.00791030698910075,0.0176200699107001,-0.00351858533839802,0.00618753838500504,0.0831311427008039,NA,0.394872927828819
"CIBERSORTx","T cells CD4+ (general)","C3",11,11,0,0,11,0.145709065788034,0.0504247851302615,0.171123419875154,0.0503402016705592,0.0254143540871207,0.0701691076375328,0.230024245060274,NA,0.485606739571689
