"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"xcell","NK cell","Biopsy","kruskal",0.0065395714701195,0.0349545608276773,3,NA,14,11,11,0.000000000000000000537897292998276,0.00273713747923123,0.00000000000000000236827841531281,0.00000000000000000164797634138588,0.00907805801822916,0.00000000000000000529404529052767
"xcell","Neutrophil","Biopsy","kruskal",0.958216018812735,0.962672837504887,3,NA,14,11,11,0.0000300031691903484,0.0000782331736494275,0.000000000000000000224895750390083,0.000112261579627695,0.00025947008315387,0.000000000000000000418544027739103
"xcell","Plasmacytoid dendritic cell","Biopsy","kruskal",0.000899612847537255,0.0203930327944857,3,NA,14,11,11,0.000608027363048873,0.028811636116404,0.00501017427657738,0.00186833538671186,0.0238817282055804,0.0147723235924376
"xcell","T cell CD4+ (aggregated)","Biopsy","kruskal",0.00228283124481272,0.0203930327944857,3,NA,14,11,11,0.193707370028958,0.44769467669235,0.194147476916317,0.163425967492439,0.208171201512068,0.153510332121288
"xcell","T cell CD8+ (aggregated)","Biopsy","kruskal",0.0083598877056832,0.038467811971295,3,NA,14,11,11,0.0441885785175211,0.183100713929247,0.0483951776259978,0.0528876313249168,0.128442918565122,0.0850957338326946
"xcell","T cell NK","Biopsy","kruskal",0.820020916782053,0.859827757402541,3,NA,14,11,11,0.00674402480479512,0.00360467878968455,0.00749259281509698,0.00753410333694204,0.00635248835618034,0.0158467394580849
"xcell","T cell gamma delta","Biopsy","kruskal",0.161514190288069,0.249193322158735,3,NA,14,11,11,0.00000000000000000102989566298074,0.00137067861271089,0.000331179019170971,0.00000000000000000184693309750424,0.00306519664624418,0.00094467985807583
"xcell","T cell regulatory (Tregs)","Biopsy","kruskal",0.686662869166167,0.730636353398483,3,NA,14,11,11,0.00061053620690205,0.0000879224384294253,0.000972189974088049,0.00228441730844799,0.000291605738923506,0.00311100848740622
"xcell","immune score","Biopsy","kruskal",0.0141383720091899,0.0517608195590682,3,NA,14,11,11,0.0588590524047289,0.180159650037078,0.0488123092662056,0.0395003980903999,0.139263800520496,0.0679592707650497
"xcell","microenvironment score","Biopsy","kruskal",0.0582736306383634,0.123402982528299,3,NA,14,11,11,0.120498129090567,0.215157286994102,0.100051178627852,0.0712309421085014,0.120406640222216,0.0652816632940304
