"Method","Cell_Type","Timepoint","comparison","cluster1","cluster2","n1","mean1","sd1","n2","mean2","sd2","z","p_unadj","fdr"
"timer","B cell","Biopsy","C1 - C3","C1","C3",14,0.0990890249088847,0.0212149175742824,11,0.0983425938100251,0.0274265895760673,0.312060150261992,0.75499481077526,0.75499481077526
"timer","Macrophage","Biopsy","C1 - C2","C1","C2",14,0.054035800213992,0.0356228583068661,11,0.038110115617313,0.0795421047939025,2.28936158581126,0.0220583521492654,0.0661750564477961
"timer","Macrophage","Biopsy","C3 - C2","C3","C2",11,0.037118973058912,0.0223789046860926,11,0.038110115617313,0.0795421047939025,1.28483545212507,0.198849790843202,0.298274686264804
"timer","Macrophage","Biopsy","C1 - C3","C1","C3",14,0.054035800213992,0.0356228583068661,11,0.037118973058912,0.0223789046860926,0.929619553026389,0.352568099978354,0.352568099978354
"timer","Myeloid dendritic cell","Biopsy","C1 - C2","C1","C2",14,0.472619599583727,0.0640181872583246,11,0.526349028103039,0.0719649386452868,-2.06357422893837,0.03905810314163,0.0585871547124449
"timer","Myeloid dendritic cell","Biopsy","C3 - C2","C3","C2",11,0.452853172932387,0.0626537158478783,11,0.526349028103039,0.0719649386452868,-2.65093125664106,0.00802701773079008,0.0240810531923702
"timer","Myeloid dendritic cell","Biopsy","C1 - C3","C1","C3",14,0.472619599583727,0.0640181872583246,11,0.452853172932387,0.0626537158478783,0.741907710181698,0.458143254060608,0.458143254060608
"timer","Neutrophil","Biopsy","C1 - C2","C1","C2",14,0.114509686786334,0.0157542375489293,11,0.131426715391355,0.0233083411899462,-2.29608963501594,0.0216707568204273,0.0650122704612819
"timer","Neutrophil","Biopsy","C3 - C2","C3","C2",11,0.12109417918252,0.0134859540826222,11,0.131426715391355,0.0233083411899462,-1.8414865981247,0.0655502827646737,0.0983254241470105
"timer","Neutrophil","Biopsy","C1 - C3","C1","C3",14,0.114509686786334,0.0157542375489293,11,0.12109417918252,0.0134859540826222,-0.347243402497414,0.728408466539854,0.728408466539854
"timer","T cell CD4+","Biopsy","C1 - C2","C1","C2",14,0.122728229552663,0.0241264808306848,11,0.126184239665368,0.0353209991766167,-0.119317116276644,0.905024123541445,0.905024123541445
"timer","T cell CD4+","Biopsy","C3 - C2","C3","C2",11,0.103325986421082,0.0168579693979962,11,0.126184239665368,0.0353209991766167,-1.94266718043925,0.0520563840914512,0.156169152274354
"timer","T cell CD4+","Biopsy","C1 - C3","C1","C3",14,0.122728229552663,0.0241264808306848,11,0.103325986421082,0.0168579693979962,1.93660857956707,0.0527932084117631,0.0791898126176446
"timer","T cell CD8+","Biopsy","C1 - C2","C1","C2",14,0.202015927183902,0.023850516451892,11,0.201590198732194,0.0222130201390754,-0.327357216451306,0.743397721633912,1
"timer","T cell CD8+","Biopsy","C3 - C2","C3","C2",11,0.203076487690319,0.0183910517837368,11,0.201590198732194,0.0222130201390754,0.161888931703271,0.871393319064525,0.871393319064525
"timer","T cell CD8+","Biopsy","C1 - C3","C1","C3",14,0.202015927183902,0.023850516451892,11,0.203076487690319,0.0183910517837368,-0.498684357771616,0.618001765970983,1
"xcell","B cell","Biopsy","C1 - C2","C1","C2",14,0.031242444781086,0.0426344618602874,11,0.101535870706712,0.129312319654907,-1.5154494537727,0.129658621622327,0.19448793243349
"xcell","B cell","Biopsy","C3 - C2","C3","C2",11,0.0181922634162573,0.0378085435377339,11,0.101535870706712,0.129312319654907,-1.81508500379573,0.0695108473861987,0.208532542158596
"xcell","B cell","Biopsy","C1 - C3","C1","C3",14,0.031242444781086,0.0426344618602874,11,0.0181922634162573,0.0378085435377339,0.405455957621792,0.685142385926352,0.685142385926352
"xcell","B cell memory","Biopsy","C1 - C2","C1","C2",14,0.00783494755661822,0.0209381414567709,11,0.0311537396984106,0.0541578072077812,-0.836696704485963,0.402763072026951,0.604144608040427
"xcell","B cell memory","Biopsy","C3 - C2","C3","C2",11,0.00416179140670421,0.0138031005517633,11,0.0311537396984106,0.0541578072077812,-0.994917484430184,0.319776398364763,0.959329195094287
"xcell","B cell memory","Biopsy","C1 - C3","C1","C3",14,0.00783494755661822,0.0209381414567709,11,0.00416179140670421,0.0138031005517633,0.216224991046935,0.82881237424645,0.82881237424645
"xcell","B cell naive","Biopsy","C1 - C2","C1","C2",14,0.00271974265609285,0.00701741010836374,11,0.00350240207841751,0.011354100249201,0.897417006148284,0.369496441284717,0.554244661927075
"xcell","B cell naive","Biopsy","C3 - C2","C3","C2",11,0.000000000000000000770429354554472,0.00000000000000000177559276932327,11,0.00350240207841751,0.011354100249201,-0.834228347774333,0.404152319736803,0.404152319736803
"xcell","B cell naive","Biopsy","C1 - C3","C1","C3",14,0.00271974265609285,0.00701741010836374,11,0.000000000000000000770429354554472,0.00000000000000000177559276932327,1.78028130408876,0.0750299352456423,0.225089805736927
"xcell","B cell plasma","Biopsy","C1 - C2","C1","C2",14,0.00509042061587369,0.0111284446263123,11,0.0337579115505797,0.0403587276160827,-3.05329528440807,0.0022634309641628,0.0067902928924884
"xcell","B cell plasma","Biopsy","C3 - C2","C3","C2",11,0.0128355852652367,0.0184491615937298,11,0.0337579115505797,0.0403587276160827,-1.20676994754332,0.227520752697716,0.227520752697716
"xcell","B cell plasma","Biopsy","C1 - C3","C1","C3",14,0.00509042061587369,0.0111284446263123,11,0.0128355852652367,0.0184491615937298,-1.77617001606164,0.0757048987136773,0.113557348070516
"xcell","Cancer associated fibroblast","Biopsy","C1 - C2","C1","C2",14,0.0661832240999897,0.0693876253652131,11,0.0341151339182139,0.0278351438398915,0.943828983880634,0.345257046868789,0.517885570303183
"xcell","Cancer associated fibroblast","Biopsy","C3 - C2","C3","C2",11,0.0736202219756645,0.0520108069373099,11,0.0341151339182139,0.0278351438398915,1.67959766642143,0.0930356220338646,0.279106866101594
"xcell","Cancer associated fibroblast","Biopsy","C1 - C3","C1","C3",14,0.0661832240999897,0.0693876253652131,11,0.0736202219756645,0.0520108069373099,-0.833690107317579,0.404455634185853,0.404455634185853
"xcell","Class-switched memory B cell","Biopsy","C1 - C2","C1","C2",14,0.0250515653367699,0.0203569630751785,11,0.0426771864272712,0.0416567903747515,-0.50239076518027,0.615392673764715,0.615392673764715
"xcell","Class-switched memory B cell","Biopsy","C3 - C2","C3","C2",11,0.0188225927624418,0.0250664754923362,11,0.0426771864272712,0.0416567903747515,-1.41835475297212,0.156087218683471,0.468261656050412
"xcell","Class-switched memory B cell","Biopsy","C1 - C3","C1","C3",14,0.0250515653367699,0.0203569630751785,11,0.0188225927624418,0.0250664754923362,0.998654813711999,0.317961937116577,0.476942905674866
"xcell","Common lymphoid progenitor","Biopsy","C1 - C2","C1","C2",14,0.0104930593553101,0.0115580035582977,11,0.008250663749513,0.00817321163953562,0.246282765647945,0.805463350165068,0.805463350165068
"xcell","Common lymphoid progenitor","Biopsy","C3 - C2","C3","C2",11,0.00972396710871136,0.00817592228547517,11,0.008250663749513,0.00817321163953562,0.465430678646903,0.641623068758283,1
"xcell","Common lymphoid progenitor","Biopsy","C1 - C3","C1","C3",14,0.0104930593553101,0.0115580035582977,11,0.00972396710871136,0.00817592228547517,-0.246282765647945,0.805463350165068,1
"xcell","Common myeloid progenitor","Biopsy","C1 - C2","C1","C2",14,0.00834364682338413,0.010706933642743,11,0.000877354147832005,0.00201561139600976,2.33085422039838,0.0197610479379534,0.0592831438138601
"xcell","Common myeloid progenitor","Biopsy","C3 - C2","C3","C2",11,0.00774322284616331,0.0117864124218996,11,0.000877354147832005,0.00201561139600976,1.39596045754768,0.162726403061992,0.244089604592988
"xcell","Common myeloid progenitor","Biopsy","C1 - C3","C1","C3",14,0.00834364682338413,0.010706933642743,11,0.00774322284616331,0.0117864124218996,0.853508536097943,0.393377355987437,0.393377355987437
"xcell","Endothelial cell","Biopsy","C1 - C2","C1","C2",14,0.0390357515222503,0.0443182823663829,11,0.0191835187654726,0.038029220517562,1.51173931168507,0.13060019366433,0.391800580992989
"xcell","Endothelial cell","Biopsy","C3 - C2","C3","C2",11,0.0194104357104949,0.0195796673554498,11,0.0191835187654726,0.038029220517562,0.931101053797662,0.351801293564488,0.527701940346732
"xcell","Endothelial cell","Biopsy","C1 - C3","C1","C3",14,0.0390357515222503,0.0443182823663829,11,0.0194104357104949,0.0195796673554498,0.526354578157554,0.59864186858186,0.59864186858186
"xcell","Eosinophil","Biopsy","C1 - C2","C1","C2",14,0.0047973384075681,0.00608910439725597,11,0.00422706528275579,0.0104544192042184,1.41091847142159,0.158268654986005,0.474805964958016
"xcell","Eosinophil","Biopsy","C3 - C2","C3","C2",11,0.00105116235272074,0.0017704425114272,11,0.00422706528275579,0.0104544192042184,0.0102272312207362,0.991839992360506,0.991839992360506
"xcell","Eosinophil","Biopsy","C1 - C3","C1","C3",14,0.0047973384075681,0.00608910439725597,11,0.00105116235272074,0.0017704425114272,1.40009498725726,0.161484875956207,0.24222731393431
"xcell","Granulocyte-monocyte progenitor","Biopsy","C1 - C2","C1","C2",14,0.00257964858288337,0.00772393558788444,11,0.00109826874926603,0.00364254536028833,1.32756960423608,0.184320331526325,0.552960994578974
"xcell","Granulocyte-monocyte progenitor","Biopsy","C3 - C2","C3","C2",11,0.00224811935966634,0.00745616839994727,11,0.00109826874926603,0.00364254536028833,0.294102071131098,0.768679908305127,0.768679908305127
"xcell","Granulocyte-monocyte progenitor","Biopsy","C1 - C3","C1","C3",14,0.00257964858288337,0.00772393558788444,11,0.00224811935966634,0.00745616839994727,1.01632122812331,0.309476442986046,0.46421466447907
"xcell","Hematopoietic stem cell","Biopsy","C1 - C2","C1","C2",14,0.155933372563959,0.116591705459868,11,0.0902685667876781,0.0929423560347986,1.55810645885867,0.1192080138698,0.357624041609399
"xcell","Hematopoietic stem cell","Biopsy","C3 - C2","C3","C2",11,0.140328561767423,0.095056871185045,11,0.0902685667876781,0.0929423560347986,1.30531351156887,0.191786115060733,0.287679172591099
"xcell","Hematopoietic stem cell","Biopsy","C1 - C3","C1","C3",14,0.155933372563959,0.116591705459868,11,0.140328561767423,0.095056871185045,0.17669248502521,0.859749944080812,0.859749944080812
"xcell","Macrophage","Biopsy","C1 - C2","C1","C2",14,0.0189027383318757,0.0175139181055102,11,0.0527505661717588,0.05672828566624,-1.95546846187603,0.0505278023329745,0.0757917034994618
"xcell","Macrophage","Biopsy","C3 - C2","C3","C2",11,0.0144169956205777,0.0278952723588481,11,0.0527505661717588,0.05672828566624,-2.91475112493181,0.00355972288784439,0.0106791686635332
"xcell","Macrophage","Biopsy","C1 - C3","C1","C3",14,0.0189027383318757,0.0175139181055102,11,0.0144169956205777,0.0278952723588481,1.1292141822101,0.258807492412113,0.258807492412113
"xcell","Macrophage M1","Biopsy","C1 - C2","C1","C2",14,0.0184328364493298,0.0183356453212989,11,0.0523037029714511,0.0360721748146199,-2.45599521340839,0.0140495028763832,0.0210742543145749
"xcell","Macrophage M1","Biopsy","C3 - C2","C3","C2",11,0.016018495497671,0.030127587771141,11,0.0523037029714511,0.0360721748146199,-2.84500571547531,0.00444106261808981,0.0133231878542694
"xcell","Macrophage M1","Biopsy","C1 - C3","C1","C3",14,0.0184328364493298,0.0183356453212989,11,0.016018495497671,0.030127587771141,0.55487582727363,0.57897959696478,0.57897959696478
"xcell","Macrophage M2","Biopsy","C1 - C2","C1","C2",14,0.00720579674065639,0.00893963445905977,11,0.0165626179110699,0.0441866842631735,1.33256087105742,0.182675953148411,0.274013929722617
"xcell","Macrophage M2","Biopsy","C3 - C2","C3","C2",11,0.00228078184035628,0.0040849310571317,11,0.0165626179110699,0.0441866842631735,-0.243146529080934,0.807891887529035,0.807891887529035
"xcell","Macrophage M2","Biopsy","C1 - C3","C1","C3",14,0.00720579674065639,0.00893963445905977,11,0.00228078184035628,0.0040849310571317,1.5898829702961,0.11186118697319,0.335583560919569
"xcell","Mast cell","Biopsy","C1 - C2","C1","C2",14,0.0172592111059448,0.00933295300361141,11,0.0119331743348348,0.0154325796183235,1.89683620747486,0.0578495589842845,0.173548676952854
"xcell","Mast cell","Biopsy","C3 - C2","C3","C2",11,0.0185616905462666,0.0135152971091902,11,0.0119331743348348,0.0154325796183235,1.65936154995852,0.0970429593523809,0.145564439028571
"xcell","Mast cell","Biopsy","C1 - C3","C1","C3",14,0.0172592111059448,0.00933295300361141,11,0.0185616905462666,0.0135152971091902,0.140733008941683,0.888080867238811,0.888080867238811
"xcell","Monocyte","Biopsy","C1 - C2","C1","C2",14,0.00046742996189573,0.00118831307062307,11,0.00529372892232717,0.00963964981406912,-1.13354921470517,0.256983686097226,0.385475529145838
"xcell","Monocyte","Biopsy","C3 - C2","C3","C2",11,0.00123572393384561,0.00357146756084415,11,0.00529372892232717,0.00963964981406912,-1.23050257257847,0.218508964242417,0.65552689272725
"xcell","Monocyte","Biopsy","C1 - C3","C1","C3",14,0.00046742996189573,0.00118831307062307,11,0.00123572393384561,0.00357146756084415,0.168692303161965,0.866038673202923,0.866038673202923
"xcell","Myeloid dendritic cell","Biopsy","C1 - C2","C1","C2",14,0.00277237800063198,0.00495512574578042,11,0.0362753521689119,0.049188072774428,-3.24364766097433,0.00118009625059911,0.00354028875179732
"xcell","Myeloid dendritic cell","Biopsy","C3 - C2","C3","C2",11,0.00571453986798779,0.00951734732030112,11,0.0362753521689119,0.049188072774428,-2.40651719604378,0.0161054457835005,0.0241581686752508
"xcell","Myeloid dendritic cell","Biopsy","C1 - C3","C1","C3",14,0.00277237800063198,0.00495512574578042,11,0.00571453986798779,0.00951734732030112,-0.696829250361406,0.48590965834705,0.48590965834705
"xcell","Myeloid dendritic cell activated","Biopsy","C1 - C2","C1","C2",14,0.032742128218163,0.035881662008462,11,0.119520807457759,0.0705613497380022,-2.74905970208054,0.00597664991291185,0.00896497486936778
"xcell","Myeloid dendritic cell activated","Biopsy","C3 - C2","C3","C2",11,0.0343219663978072,0.0537797180589385,11,0.119520807457759,0.0705613497380022,-3.21774958665813,0.00129200563318843,0.0038760168995653
"xcell","Myeloid dendritic cell activated","Biopsy","C1 - C3","C1","C3",14,0.032742128218163,0.035881662008462,11,0.0343219663978072,0.0537797180589385,0.656286372950781,0.511639883771152,0.511639883771152
"xcell","NK cell","Biopsy","C1 - C2","C1","C2",14,0.000000000000000000537897292998276,0.00000000000000000164797634138588,11,0.00273713747923123,0.00907805801822916,-3.15974307292692,0.00157908320130168,0.00473724960390504
"xcell","NK cell","Biopsy","C3 - C2","C3","C2",11,0.00000000000000000236827841531281,0.00000000000000000529404529052767,11,0.00273713747923123,0.00907805801822916,-1.43837768725815,0.150326920016726,0.150326920016726
"xcell","NK cell","Biopsy","C1 - C3","C1","C3",14,0.000000000000000000537897292998276,0.00000000000000000164797634138588,11,0.00000000000000000236827841531281,0.00000000000000000529404529052767,-1.63750721217921,0.101524533221393,0.152286799832089
