"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"quantiseq","uncharacterized cell","Dys-CIM",9,9,0,0,0,0,""
"quantiseq","B cell","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","Macrophage M1","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","Macrophage M2","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","Monocyte","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","Myeloid dendritic cell","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","NK cell","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","Neutrophil","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","T cell CD4+ (non-regulatory)","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","T cell CD8+","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","T cell regulatory (Tregs)","Fun-CIM",10,10,0,0,0,0,""
"quantiseq","uncharacterized cell","Fun-CIM",10,10,0,0,0,0,""
"timer","B cell","Dys-CIM",9,9,0,0,0,0,""
"timer","Macrophage","Dys-CIM",9,9,0,0,0,0,""
"timer","Myeloid dendritic cell","Dys-CIM",9,9,0,0,0,0,""
"timer","Neutrophil","Dys-CIM",9,9,0,0,0,0,""
"timer","T cell CD4+","Dys-CIM",9,9,0,0,0,0,""
"timer","T cell CD8+","Dys-CIM",9,9,0,0,0,0,""
"timer","B cell","Fun-CIM",10,10,0,0,0,0,""
