"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Dys-CIM_n","Fun-CIM_n","Dys-CIM_mean","Fun-CIM_mean","Dys-CIM_sd","Fun-CIM_sd"
"mcp_counter","Neutrophil","Biopsy","wilcox_rank_sum",0.0941663754378798,0.97332032972522,2,NA,9,10,9.89882484126984,5.79435978571429,5.84613843693021,2.73000292731287
"mcp_counter","T cell","Biopsy","wilcox_rank_sum",0.0941663754378798,0.97332032972522,2,NA,9,10,12.6888205925926,7.34799,9.54899999511938,10.4606830939415
"mcp_counter","T cell CD8+","Biopsy","wilcox_rank_sum",0.15304188415882,0.97332032972522,2,NA,9,10,2.69854444444444,1.728471,2.51186880285929,2.45660353328398
"mcp_counter","cytotoxicity score","Biopsy","wilcox_rank_sum",0.487668353458931,0.97332032972522,2,NA,9,10,13.1507396825397,9.56849242857143,14.8063163779144,11.1418176404898
"quantiseq","B cell","Biopsy","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.00788874592875145,0.0114832448608857,0.00546741341481669,0.020701019581569
"quantiseq","Macrophage M1","Biopsy","wilcox_rank_sum",0.0290395403290796,0.97332032972522,2,NA,9,10,0.0177332508419618,0.00572933169908616,0.0254253388882304,0.00896928717447748
"quantiseq","Macrophage M2","Biopsy","wilcox_rank_sum",0.902523250177679,1,2,NA,9,10,0.0705964321646495,0.0882415850876884,0.0314291884053531,0.0896166846150397
"quantiseq","Monocyte","Biopsy","wilcox_rank_sum",0.342781711147911,0.97332032972522,2,NA,9,10,0.00101941163532101,0,0.00305823490596304,0
"quantiseq","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",0.342781711147911,0.97332032972522,2,NA,9,10,0.00144458152129133,0,0.004333744563874,0
"quantiseq","NK cell","Biopsy","wilcox_rank_sum",0.27034414065478,0.97332032972522,2,NA,9,10,0.00282235512170403,0.00161749318640301,0.00219828633518101,0.00116262349578983
"quantiseq","Neutrophil","Biopsy","wilcox_rank_sum",0.769474405750435,0.97332032972522,2,NA,9,10,0.0117809247047936,0.0155207113898761,0.0159377958323199,0.035399329168658
