"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"epic","Endothelial cell","Dys-CIM",9,9,0,0,9,0.0164817984159713,0.0141702204018366,0.0054434294298529,0.00421116933696531,-0.0110383689861184,0.0146063038202959,0.155131568727114,NA,0.310263137454228
"epic","Macrophage","Dys-CIM",9,9,0,0,9,0.0189541029948409,0.0174138542673756,0.0105787011552293,0.0127418723017301,-0.00837540183961154,0.0101068003421979,0.0329693812442201,NA,0.13187752497688
"epic","NK cell","Dys-CIM",9,9,0,0,9,0.00302295668995351,0.00461028200889807,0.00152025273458091,0.00219372165868526,-0.0015027039553726,0.00558509345579959,0.635586122278767,NA,0.726384139747162
"epic","T cell CD4+","Dys-CIM",9,9,0,0,9,0.0369864584477118,0.0207728406798812,0.0266604330846997,0.0432274572603658,-0.0103260253630121,0.0326672501582479,0.343252562436031,NA,0.54920409989765
"epic","T cell CD8+","Dys-CIM",9,9,0,0,9,0.00439777489528807,0.00624082673369917,0.00294875152678378,0.0017239433177469,-0.0014490233685043,0.00622361746936801,0.905695442034309,NA,0.905695442034309
"epic","uncharacterized cell","Dys-CIM",9,9,0,0,9,0.749330207832701,0.136299208911142,0.879772776083755,0.0781647383296219,0.130442568251054,0.0947673240667382,0.0128512401874965,NA,0.102809921499972
"epic","B cell","Fun-CIM",10,10,0,0,10,0.0182394482449923,0.0447593563355179,0.00778917012710597,0.00854723093264355,-0.0104502781178863,0.0412917210047341,0.918812683274642,NA,1
"epic","Cancer associated fibroblast","Fun-CIM",10,10,0,0,10,0.0692488391852625,0.0654824153764539,0.0977552413085686,0.0883944990987364,0.0285064021233061,0.086302728705227,0.475532659596901,NA,1
"epic","Endothelial cell","Fun-CIM",10,10,0,0,10,0.0124797886363227,0.00794052617811643,0.0103081512364005,0.00547968345124128,-0.00217163739992226,0.0116649703224471,1,NA,1
"epic","Macrophage","Fun-CIM",10,10,0,0,10,0.0127920250206504,0.0116383084069684,0.0137565783580588,0.0134881874756085,0.00096455333740842,0.0168337708632462,0.838463781922464,NA,1
"epic","NK cell","Fun-CIM",10,10,0,0,10,0.000995229782718612,0.00199286338635287,0.00521664637020542,0.00639246051310452,0.00422141658748681,0.0072324578169275,0.185143724157873,NA,1
"epic","T cell CD4+","Fun-CIM",10,10,0,0,10,0.0359805283314016,0.0404324320036546,0.0439796633855666,0.0421644566439541,0.00799913505416501,0.0479408745137972,1,NA,1
"epic","T cell CD8+","Fun-CIM",10,10,0,0,10,0.00757317186453379,0.00647904889163239,0.00578017667321371,0.00556009033534744,-0.00179299519132008,0.0101053879352618,0.759765825978067,NA,1
"epic","uncharacterized cell","Fun-CIM",10,10,0,0,10,0.842690968934118,0.104054778648648,0.81541437254088,0.102546789953491,-0.0272765963932377,0.132076037111881,0.759765825978067,NA,1
"estimate","ESTIMATEScore","Dys-CIM",9,9,0,0,9,2956.67201043665,1547.47321429495,2882.24548106421,609.921431819321,-74.4265293724373,1392.09328296799,0.812703686128436,NA,0.905695442034309
"estimate","ImmuneScore","Dys-CIM",9,9,0,0,9,1942.82614329569,722.948938016706,1870.8919500765,412.896320318462,-71.9341932191921,844.34490322976,0.905695442034309,NA,0.905695442034309
"estimate","StromalScore","Dys-CIM",9,9,0,0,9,1013.84586714095,1052.64250711009,1011.35353098771,327.632642286339,-2.49233615324527,817.73507896684,0.47719661998877,NA,0.905695442034309
"estimate","TumorPurity","Dys-CIM",9,9,0,0,9,0.493189483758619,0.167351490997813,0.514691768312442,0.0776867210228452,0.0215022845538234,0.153412763381356,0.722282962716192,NA,0.905695442034309
