"version","plot_type","Method","Cell_Type","Timepoint","cluster","n_values","n_groups","output_file","file_exists","status","error_message"
"AGGREGATED","paired","CIBERSORTx","T cells CD8+ (total)",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_CD8_total_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells CD8+ (total)",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_CD8_total_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells follicular helper",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_follicular_helper_clusterFun_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells follicular helper",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_follicular_helper_clusterDys_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells gamma delta",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_gamma_delta_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells gamma delta",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_gamma_delta_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells regulatory (Tregs)",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_regulatory_Tregs_clusterFun_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","CIBERSORTx","T cells regulatory (Tregs)",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_CIBERSORTx_T_cells_regulatory_Tregs_clusterDys_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","consensus_tme","B cell",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_B_cell_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","B cell",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_B_cell_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Cancer associated fibroblast",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Cancer_associated_fibroblast_clusterFun_CIM.png",FALSE,"saved",NA
