"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"xcell","Monocyte","Biopsy","wilcox",0.184420649503086,0.326165446228599,2,NA,25,11,0.000805479309553676,0.00529372892232717,0.00249622253486458,0.00963964981406912
"xcell","Myeloid dendritic cell","Biopsy","wilcox",0.00114052105617496,0.00841625882832557,2,NA,25,11,0.00406692922226854,0.0362753521689119,0.00729815740027865,0.049188072774428
"xcell","Myeloid dendritic cell activated","Biopsy","wilcox",0.000763453295141024,0.00841625882832557,2,NA,25,11,0.0334372570172065,0.119520807457759,0.0436249990972224,0.0705613497380022
"xcell","NK cell","Biopsy","wilcox",0.006976664500012,0.0287116577500494,2,NA,25,11,0.00000000000000000134326498681667,0.00273713747923123,0.000000000000000003742841563074,0.00907805801822916
"xcell","Neutrophil","Biopsy","wilcox",0.878076011849487,0.953092298609088,2,NA,25,11,0.0000168017747465952,0.0000782331736494275,0.0000840088737329751,0.00025947008315387
"xcell","Plasmacytoid dendritic cell","Biopsy","wilcox",0.000193213678215303,0.00794933952783934,2,NA,25,11,0.00254497200500142,0.028811636116404,0.00988890003573549,0.0238817282055804
"xcell","T cell CD4+ (aggregated)","Biopsy","wilcox",0.000523324474622155,0.00794933952783934,2,NA,25,11,0.193901017059396,0.44769467669235,0.155839129512921,0.208171201512068
"xcell","T cell CD8+ (aggregated)","Biopsy","wilcox",0.00223995206830818,0.0129553984491338,2,NA,25,11,0.0460394821252508,0.183100713929247,0.0673560698238778,0.128442918565122
"xcell","T cell NK","Biopsy","wilcox",0.62800141189267,0.756731904939965,2,NA,25,11,0.00707339472932794,0.00360467878968455,0.01164144636948,0.00635248835618034
"xcell","T cell gamma delta","Biopsy","wilcox",0.175506439984651,0.321011779117225,2,NA,25,11,0.000145718768435228,0.00137067861271089,0.000632449811111991,0.00306519664624418
"xcell","T cell regulatory (Tregs)","Biopsy","wilcox",0.586088861629739,0.716702950792938,2,NA,25,11,0.00076966386446389,0.0000879224384294253,0.00262544232330004,0.000291605738923506
"xcell","immune score","Biopsy","wilcox",0.0110442595198971,0.037515421226317,2,NA,25,11,0.0544384854237787,0.180159650037078,0.0528717220748537,0.139263800520496
