"analysis","Method","Cell_Type","Timepoint","reason","k","n_total","n_unique_value","min_cluster_n"
"unpaired_dunn","xcell","T cell CD8+","Biopsy","k<3_after_filter",2,36,28,11
"unpaired_dunn","xcell","T cell CD8+ central memory","Biopsy","k<3_after_filter",2,36,32,11
"unpaired_dunn","xcell","T cell CD8+ effector memory","Biopsy","k<3_after_filter",2,36,21,11
"unpaired_dunn","xcell","T cell CD8+ naive","Biopsy","k<3_after_filter",2,36,31,11
"unpaired_dunn","xcell","T cell NK","Biopsy","k<3_after_filter",2,36,28,11
"unpaired_dunn","xcell","T cell gamma delta","Biopsy","k<3_after_filter",2,36,22,11
"unpaired_dunn","xcell","T cell regulatory (Tregs)","Biopsy","k<3_after_filter",2,36,20,11
"unpaired_dunn","xcell","immune score","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","microenvironment score","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","stroma score","Biopsy","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","B cells memory","Surgery","k<3_after_filter",2,36,7,11
"unpaired_dunn","CIBERSORTx","B cells naive","Surgery","k<3_after_filter",2,36,32,11
"unpaired_dunn","CIBERSORTx","Dendritic cells activated","Surgery","k<3_after_filter",2,36,4,11
"unpaired_dunn","CIBERSORTx","Dendritic cells resting","Surgery","k<3_after_filter",2,36,19,11
"unpaired_global","CIBERSORTx","Eosinophils","Surgery","no_variation",2,36,1,11
"unpaired_dunn","CIBERSORTx","Eosinophils","Surgery","k<3_after_filter",2,36,1,11
"unpaired_dunn","CIBERSORTx","Macrophages M0","Surgery","k<3_after_filter",2,36,24,11
"unpaired_dunn","CIBERSORTx","Macrophages M1","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","Macrophages M2","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","Mast cells activated","Surgery","k<3_after_filter",2,36,12,11
"unpaired_dunn","CIBERSORTx","Mast cells resting","Surgery","k<3_after_filter",2,36,32,11
"unpaired_dunn","CIBERSORTx","Monocytes","Surgery","k<3_after_filter",2,36,30,11
"unpaired_dunn","CIBERSORTx","NK cells activated","Surgery","k<3_after_filter",2,36,35,11
"unpaired_dunn","CIBERSORTx","NK cells resting","Surgery","k<3_after_filter",2,36,9,11
"unpaired_dunn","CIBERSORTx","Neutrophils","Surgery","k<3_after_filter",2,36,21,11
"unpaired_dunn","CIBERSORTx","Plasma cells","Surgery","k<3_after_filter",2,36,24,11
"unpaired_dunn","CIBERSORTx","T cells CD4 memory activated","Surgery","k<3_after_filter",2,36,4,11
"unpaired_dunn","CIBERSORTx","T cells CD4 memory resting","Surgery","k<3_after_filter",2,36,36,11
"unpaired_global","CIBERSORTx","T cells CD4 naive","Surgery","no_variation",2,36,1,11
"unpaired_dunn","CIBERSORTx","T cells CD4 naive","Surgery","k<3_after_filter",2,36,1,11
"unpaired_dunn","CIBERSORTx","T cells CD8","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","T cells follicular helper","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","CIBERSORTx","T cells gamma delta","Surgery","k<3_after_filter",2,36,6,11
"unpaired_dunn","CIBERSORTx","T cells regulatory (Tregs)","Surgery","k<3_after_filter",2,36,20,11
"unpaired_dunn","consensus_tme","B cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Cancer associated fibroblast","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Endothelial cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Eosinophil","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Macrophage","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Macrophage M1","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Macrophage M2","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Mast cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Monocyte","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","Myeloid dendritic cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","consensus_tme","NK cell","Surgery","k<3_after_filter",2,36,36,11
