scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NEO.TNBCCL","Fun","Fun_only",0.3,"NPIPB2",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.1645082504345,0.000729555096718035,0.00268472657686894,"YES",3.39568851057153,0.00034228107953004,0.00161456661486135,"YES",0.481,972,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"C1QTNF2",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",24.1452394103177,7.46948238223788e-05,0.000578506363556768,"YES",3.39511712918461,0.000342996230487069,0.00161627720121604,"YES",0.511,973,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"GSTP1",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",24.2378476270144,7.15676029066735e-05,0.000568695770064295,"YES",3.39474850526759,0.000343458343426048,0.00161679312588134,"YES",0.511,974,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"TRAF4",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.1389111760687,0.000738058627938514,0.00269966433811143,"YES",3.39369855960285,0.000344777745882924,0.00162133945115201,"YES",0.493,975,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"ZNF346",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.2810213245024,0.000692057035211651,0.00259416526450931,"YES",3.3933467006052,0.000345220958409952,0.00162176034253036,"YES",0.499,976,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"MRPS18A",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",21.0660578321505,0.000307260720732573,0.00143607584562574,"YES",3.39220890469084,0.000346657788967591,0.00162611952824789,"YES",0.512,977,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"ZBED3",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.1590915111894,0.000731346454636707,0.00268472657686894,"YES",3.39205054295607,0.000346858211259856,0.00162611952824789,"YES",0.495,978,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"JUND",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",20.0197659018397,0.000494932270810561,0.00204622584460453,"YES",3.39108937927205,0.000348076970337643,0.00163016640347099,"YES",0.508,979,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"CEBPA",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",25.2538789759374,4.47288965562906e-05,0.000410163981421185,"YES",3.38868568348706,0.000351142308817202,0.00164162554281203,"YES",0.508,980,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NEO.TNBCCL","Fun","Fun_only",0.3,"RASSF5",2,2,"YES",2,"YES","NO",NA,"YES","Fun","YES","Fun",19.2519646621408,0.000701226112523904,0.0026075601994502,"YES",3.3886095261221,0.000351239838058583,0.00164162554281203,"YES",0.498,981,TRUE,TRUE,"NEO.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
